Symbol,CompanyName,Mkt cap,Price,Chg %,Vol,Rel vol,P/E,EPS dil,EPS dil growth,Div yield %,Sector,Analyst rating
QRVO,"QRVOQorvo, Inc.",7.97 B USD,90.31 USD,−0.47%,119.56 K,0.09,20.96,4.31 USD,403.00%,0.00%,Electronic technology,Neutral
ALGM,"ALGMAllegro MicroSystems, Inc.",7.72 B USD,41.44 USD,−0.02%,287.62 K,0.12,551.8,0.08 USD,—,0.00%,Electronic technology,Strong buy
AAOI,"AAOIApplied Optoelectronics, Inc.",7.47 B USD,93.10 USD,3.32%,4.83 M,0.55,—,−0.66 USD,82.92%,0.00%,Electronic technology,Buy
SLAB,"SLABSilicon Laboratories, Inc.",7.17 B USD,217.44 USD,0.24%,29.88 K,0.09,—,−1.53 USD,70.00%,0.00%,Electronic technology,Neutral
CRUS,"CRUSCirrus Logic, Inc.",6.58 B USD,130.44 USD,−1.08%,127.25 K,0.19,16.63,7.84 USD,30.62%,0.00%,Electronic technology,Buy
MXL,"MXLMaxLinear, Inc",6.1 B USD,67.29 USD,0.55%,977.83 K,0.18,—,−1.19 USD,51.95%,0.00%,Electronic technology,Buy
PI,"PIImpinj, Inc.",4.53 B USD,148.20 USD,0.48%,85.64 K,0.18,—,−0.91 USD,"−12,797.22%",0.00%,Electronic technology,Buy
SYNA,SYNASynaptics Incorporated,4.23 B USD,108.33 USD,−0.48%,72.13 K,0.1,—,−1.24 USD,−130.03%,0.00%,Electronic technology,Neutral
LASR,"LASRnLIGHT, Inc.",3.81 B USD,67.61 USD,2.89%,223.09 K,0.26,—,−0.29 USD,74.14%,0.00%,Electronic technology,Strong buy
DIOD,DIODDiodes Incorporated,3.81 B USD,82.88 USD,1.07%,100.75 K,0.21,44.93,1.84 USD,235.00%,0.00%,Electronic technology,Neutral
IPGP,IPGPIPG Photonics Corporation,3.59 B USD,84.57 USD,−0.39%,61.86 K,0.16,124.59,0.68 USD,—,0.00%,Electronic technology,Buy
POWI,"POWIPower Integrations, Inc.",3.41 B USD,61.11 USD,0.39%,66.15 K,0.1,205.27,0.30 USD,−54.18%,1.40%,Electronic technology,Buy
AMBA,"AMBAAmbarella, Inc.",3.3 B USD,75.14 USD,1.41%,300.83 K,0.16,—,−1.62 USD,34.98%,0.00%,Electronic technology,Buy
NVTS,NVTSNavitas Semiconductor Corporation,2.83 B USD,10.85 USD,−1.45%,4.48 M,0.27,—,−1.33 USD,−104.24%,0.00%,Electronic technology,Neutral
PENG,"PENGPenguin Solutions, Inc.",2.67 B USD,52.08 USD,1.26%,780.94 K,0.22,"37,200.00",0.00 USD,—,0.00%,Electronic technology,Buy
COHU,"COHUCohu, Inc.",2.31 B USD,48.93 USD,5.34%,698.76 K,0.69,—,−0.83 USD,55.60%,0.00%,Electronic technology,Strong buy
RUN,RUNSunrun Inc.,2.31 B USD,9.67 USD,1.58%,1.54 M,0.17,4.52,2.14 USD,—,0.00%,Electronic technology,Buy
OUST,"OUSTOuster, Inc.",2.3 B USD,36.11 USD,1.63%,823.35 K,0.25,—,−0.97 USD,50.42%,0.00%,Electronic technology,Buy
HIMX,"HIMXHimax Technologies, Inc.",2.19 B USD,12.52 USD,−0.16%,307.12 K,0.24,67.82,0.18 USD,−63.12%,1.93%,Electronic technology,Neutral
AMBQ,"AMBQAmbiq Micro, Inc.",1.51 B USD,63.13 USD,−0.17%,53.4 K,0.09,—,−2.04 USD,8.98%,0.00%,Electronic technology,Buy
SHLS,"SHLSShoals Technologies Group, Inc.",1.48 B USD,8.84 USD,−0.67%,972.11 K,0.17,44.38,0.20 USD,76.28%,0.00%,Electronic technology,Buy
IMOS,IMOSChipMOS TECHNOLOGIES INC.,1.44 B USD,48.37 USD,2.81%,18 K,0.13,63.94,0.76 USD,−23.92%,1.57%,Electronic technology,Strong buy
AIP,"AIPArteris, Inc.",1.35 B USD,29.27 USD,−0.10%,97.5 K,0.17,—,−0.80 USD,2.16%,0.00%,Electronic technology,Strong buy
WOLF,"WOLFWolfspeed, Inc.",1.25 B USD,24.00 USD,0.88%,1.18 M,0.27,—,−17.25 USD,−106.57%,0.00%,Electronic technology,Sell
AEVA,"AEVAAeva Technologies, Inc.",1.17 B USD,17.26 USD,4.86%,267.8 K,0.19,—,−5.00 USD,−77.07%,0.00%,Electronic technology,Buy
CSIQ,CSIQCanadian Solar Inc.,995.37 M USD,14.66 USD,−0.68%,281.19 K,0.13,—,−1.51 USD,−662.87%,0.00%,Electronic technology,Neutral
AOSL,AOSLAlpha and Omega Semiconductor Limited,946.37 M USD,31.62 USD,1.64%,63.28 K,0.1,—,−3.55 USD,−359.56%,0.00%,Electronic technology,Buy
CEVA,"CEVACEVA, Inc.",908.08 M USD,32.60 USD,−0.90%,140.33 K,0.19,—,−0.46 USD,−64.99%,0.00%,Electronic technology,Strong buy
JKS,JKSJinkoSolar Holding Company Limited,745.84 M USD,14.72 USD,−0.81%,43.43 K,0.07,—,−9.64 USD,−91.76%,9.97%,Electronic technology,Neutral
INDI,"INDIindie Semiconductor, Inc.",688.65 M USD,3.04 USD,−3.96%,1.34 M,0.34,—,−0.76 USD,−1.78%,0.00%,Electronic technology,Buy
KOPN,KOPNKopin Corporation,646.7 M USD,3.49 USD,−2.38%,735.63 K,0.17,276.98,0.01 USD,—,0.00%,Electronic technology,Strong buy
NVEC,NVECNVE Corporation,551.22 M USD,113.96 USD,−0.75%,32.02 K,0.1,30.62,3.72 USD,23.83%,3.48%,Electronic technology,No rating
LAES,LAESSEALSQ Corp,545.75 M USD,2.37 USD,0.42%,3.03 M,0.17,—,−0.29 USD,57.71%,0.00%,Electronic technology,Strong buy
QNC,QNCQuantum eMotion Corp.,450.8 M USD,2.06 USD,−3.52%,76.41 K,0.11,—,−0.04 USD,−45.08%,0.00%,Electronic technology,No rating
MRAM,"MRAMEverspin Technologies, Inc.",336 M USD,14.33 USD,−0.90%,331.71 K,0.31,"1,447.47",0.01 USD,—,0.00%,Electronic technology,Strong buy
QUIK,QUIKQuickLogic Corporation,232.28 M USD,12.75 USD,−0.97%,48.86 K,0.15,—,−0.89 USD,−113.45%,0.00%,Electronic technology,Buy
