Airbus Group SE
BAE Systems PLC
Chemring Group PLC
Dassault Aviation SA
Elbit Systems Ltd
Hensoldt Ag
Indra A
Kongsberg Gruppen ASA
Leonardo SpA
Melrose Industries PLC
MTU Aero Engines NA O.N.
Rheinmetall AG
Rocket Lab Corp
Rolls-Royce Holdings PLC
SAAB AB ser. B
Safran SA
Thales
