Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF, MarketCap ,TrailingPE,ForwardPE,Sector,Industry
HIMX,HIMX,"Himax Technologies, Inc. - American depositary shares, each of which represents two ordinary shares.",Q,Q,N,"3,58,27,08,274.00",,,Technology,Semiconductors
OSIS,OSIS,"OSI Systems, Inc. - Common Stock",Q,Q,N,"3,57,73,64,031.00",,,Technology,Semiconductors
AMBA,AMBA,"Ambarella, Inc. - Ordinary Shares",Q,Q,N,"3,57,18,58,860.00",,,Technology,Semiconductors
WOLF,WOLF,"Wolfspeed, Inc. Common Stock New",N, ,N,"3,28,65,74,117.00",,,Technology,Semiconductors
PLAB,PLAB,"Photronics, Inc. - Common Stock",Q,Q,N,"3,08,04,04,423.00",,,Technology,Semiconductors
POET,POET,POET Technologies Inc. - Common Shares,Q,S,N,"2,99,95,33,672.00",,,Technology,Semiconductors
SEDG,SEDG,"SolarEdge Technologies, Inc. - Common Stock",Q,Q,N,"2,94,60,33,705.00",,,Technology,Semiconductors
ICHR,ICHR,Ichor Holdings - Ordinary Shares,Q,Q,N,"2,59,01,14,356.00",,,Technology,Semiconductors
PENG,PENG,"Penguin Solutions, Inc. - Common Stock",Q,Q,N,"2,44,62,83,623.00",,,Technology,Semiconductors
IMOS,IMOS,ChipMOS TECHNOLOGIES INC. - American Depositary Shares,Q,Q,N,"1,88,90,79,445.00",,,Technology,Semiconductors
SKYT,SKYT,"SkyWater Technology, Inc. - Common Stock",Q,S,N,"1,75,31,59,969.00",,,Technology,Semiconductors
AIP,AIP,"Arteris, Inc.  - Common Stock",Q,G,N,"1,70,76,70,754.00",,,Technology,Semiconductors
SHLS,SHLS,"Shoals Technologies Group, Inc. - Class A Common Stock",Q,G,N,"1,56,61,49,912.00",,,Technology,Semiconductors
AMBQ,AMBQ,"Ambiq Micro, Inc. Common Stock",N, ,N,"1,49,22,41,387.00",,,Technology,Semiconductors
JKS,JKS,JinkoSolar Holding Company Limited American Depositary Shares (each representing 4 Common Shares),N, ,N,"1,29,24,96,240.00",,,Technology,Semiconductors
DQ,DQ,"DAQO New Energy Corp. American Depositary Shares, each representing five ordinary shares",N, ,N,"1,27,61,83,344.00",,,Technology,Semiconductors
AOSL,AOSL,Alpha and Omega Semiconductor Limited - Common Shares,Q,Q,N,"1,22,50,17,628.00",,,Technology,Semiconductors
CSIQ,CSIQ,Canadian Solar Inc. - Common Shares,Q,Q,N,"1,20,98,50,356.00",,,Technology,Semiconductors
INDI,INDI,"indie Semiconductor, Inc. - Class A Common Stock",Q,S,N,"99,27,03,854.00",,,Technology,Semiconductors
KOPN,KOPN,Kopin Corporation - Common Stock,Q,S,N,"98,31,96,666.00",,,Technology,Semiconductors
MRAM,MRAM,"Everspin Technologies, Inc. - Common Stock",Q,G,N,"93,22,75,662.00",,,Technology,Semiconductors
LPTH,LPTH,"LightPath Technologies, Inc. - Class A Common Stock",Q,S,N,"76,60,30,765.00",,,Technology,Semiconductors
LAES,LAES,SEALSQ Corp - Ordinary Shares,Q,Q,N,"67,61,19,087.00",,,Technology,Semiconductors
