Ticker,Company-Name,Region,Sector,Industry
,Expand Energy Corporation,US,Energy,Oil & Gas E&P
,PBF Energy Inc.,US,Energy,Oil & Gas Refining & Marketing
,ConocoPhillips,US,Energy,Oil & Gas E&P
,Murphy Oil Corporation,US,Energy,Oil & Gas E&P
,BP p.l.c.,US,Energy,Oil & Gas Integrated
,Cenovus Energy Inc.,US,Energy,Oil & Gas Integrated
,EQT Corporation,US,Energy,Oil & Gas E&P
,California Resources Corporation,US,Energy,Oil & Gas E&P
,Diversified Energy Company,US,Energy,Oil & Gas Integrated
,"Alliance Resource Partners, L.P.",US,Energy,Thermal Coal
,"Viper Energy, Inc.",US,Energy,Oil & Gas Midstream
,Shell plc,US,Energy,Oil & Gas Integrated
,"Core Natural Resources, Inc.",US,Energy,Thermal Coal
,Presidio Production Company,US,Energy,Oil & Gas E&P
,"Kimbell Royalty Partners, LP",US,Energy,Oil & Gas E&P
,Matador Resources Company,US,Energy,Oil & Gas E&P
,"SandRidge Energy, Inc.",US,Energy,Oil & Gas E&P
,Marathon Petroleum Corporation,US,Energy,Oil & Gas Refining & Marketing
,Phillips 66,US,Energy,Oil & Gas Refining & Marketing
,Eni S.p.A.,US,Energy,Oil & Gas Integrated
,Golar LNG Limited,US,Energy,Oil & Gas Midstream
,"Black Stone Minerals, L.P.",US,Energy,Oil & Gas E&P
,Sprott Physical Uranium Trust Fund,US,Energy,Uranium
,ARKO Petroleum Corp.,US,Energy,Oil & Gas Refining & Marketing
,Devon Energy Corporation,US,Energy,Oil & Gas E&P
,SLB N.V.,US,Energy,Oil & Gas Equipment & Services
,"TXO Partners, L.P.",US,Energy,Oil & Gas E&P
,"Select Water Solutions, Inc.",US,Energy,Oil & Gas Equipment & Services
,"Cheniere Energy Partners, L.P.",US,Energy,Oil & Gas Midstream
,"Vitesse Energy, Inc.",US,Energy,Oil & Gas E&P
,CrossAmerica Partners LP,US,Energy,Oil & Gas Refining & Marketing
,HF Sinclair Corporation,US,Energy,Oil & Gas Refining & Marketing
,WhiteHawk Minerals Corp.,US,Energy,Oil & Gas Midstream
,"Delek Logistics Partners, LP",US,Energy,Oil & Gas Refining & Marketing
,Equinor ASA,US,Energy,Oil & Gas Integrated
,Imperial Oil Limited,US,Energy,Oil & Gas Integrated
,Energy Transfer LP,US,Energy,Oil & Gas Midstream
,"Genesis Energy, L.P.",US,Energy,Oil & Gas Midstream
