Ticker,Security Name,Asset Class,Strategy,Theme,Geography,Category Flags
CONSUMBEES.NS,NIPINDETFCONSUMPTION,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CONSUMER.NS,MIRAEAMC - CONSUMER,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CONSUMIETF.NS,ICICIPRAMC-ICICICONSU,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
CPSEETF.NS,CPSEETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
DEFENCE.NS,MIRAEAMC - DEFENCE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
DIVOPPBEES.NS,NIPINDETFDIVOPP,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EBBETF0430.NS,EDELAMC-EBBETF0430,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EBBETF0431.NS,EDELAMC-EBBETF0431,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EBBETF0433.NS,EDELAMC-EBBETF0433,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ECAPINSURE.NS,EDELAMC - ECAPINSURE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EGOLD.NS,EDELAMC-EGOLD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ELIQUID.NS,EDELAMC - ELIQUID,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ELM250.NS,EDELAMC - ELM250,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EMULTIMQ.NS,EDELAMC - EMULTIMQ,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
ENEXT50.NS,EDELAMC - ENEXT50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EQUAL200.NS,MIRAEAMC - EQUAL200,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
EQUAL50.NS,MIRAEAMC - EQUAL50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
