Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Asset Class,Strategy,Theme,Geography,Category Flags
AUTOIETF.NS,XNSE:AUTOIETF,ICICIPRAMC-ICICIAUTO,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AXISBNKETF.NS,XNSE:AXISBNKETF,AXISAMC-AXISBNKETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AXISCETF.NS,XNSE:AXISCETF,AXISAMC-AXISCETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AXISGOLD.NS,XNSE:AXISGOLD,AxisMF-AxisGoldETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AXISHCETF.NS,XNSE:AXISHCETF,AXISAMC-AXISHCETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AXISILVER.NS,XNSE:AXISILVER,AXISAMC-AXISILVER,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AXISTECETF.NS,XNSE:AXISTECETF,AXISAMC-AXISTECETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
AXSENSEX.NS,XNSE:AXSENSEX,AXISAMC-AXSENSEX,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
BBETF0432.NS,XNSE:BBETF0432,EDELAMC-BBETF0432,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
BBNPNBETF.NS,XNSE:BBNPNBETF,BARODABNP - BBNPNBETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
BBNPPGOLD.NS,XNSE:BBNPPGOLD,BARODABNP-BBNPPGOLD,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
BFSI.NS,XNSE:BFSI,MIRAEAMC-MAFSETF,NSE,ETF,Y,N,,,ETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain
