Ticker,Signal_Date,Final_Decision,Score,Active_Threshold,Episode_Start,Final_Decision_Reason
NET,2020-11-18,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
NET,2020-11-19,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2020-11-20,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
NET,2020-11-23,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2020-11-24,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
NET,2020-11-25,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2020-11-27,MOMENTUM_ACTIVE,100.0,85,False,all confirmation gates passed
NET,2020-11-30,MOMENTUM_ACTIVE,100.0,85,False,all confirmation gates passed
NET,2020-12-01,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
NET,2020-12-02,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x
NET,2020-12-03,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x
NET,2020-12-04,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x
NET,2020-12-07,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2020-12-08,MOMENTUM_ACTIVE,100.0,85,False,all confirmation gates passed
NET,2020-12-09,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
NET,2020-12-10,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2020-12-11,MOMENTUM_ACTIVE,100.0,85,False,all confirmation gates passed
NET,2020-12-14,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x | close location below 50.0%
NET,2020-12-15,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
NET,2020-12-16,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x
NET,2020-12-17,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2020-12-18,MOMENTUM_ACTIVE,100.0,85,False,all confirmation gates passed
NET,2020-12-21,MOMENTUM_ACTIVE,100.0,85,False,all confirmation gates passed
NET,2020-12-22,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
NET,2020-12-23,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
NET,2020-12-24,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x
NET,2020-12-28,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,below EMA20 with deep 20D-high pullback | lower high and lower low | pullback on above-average volume | daily distribution | daily distribution below EMA20
NET,2020-12-29,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,below EMA20 with deep 20D-high pullback | lower high and lower low | pullback on above-average volume
NET,2020-12-30,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,below EMA20 with deep 20D-high pullback | lower high and lower low
NET,2020-12-31,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x | close location below 50.0%
NET,2021-01-04,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,below EMA20 with deep 20D-high pullback | lower high and lower low
NET,2021-01-05,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x
NET,2021-01-06,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,below EMA20 with deep 20D-high pullback | lower high and lower low
NET,2021-01-07,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2021-01-08,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
NET,2021-01-11,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,lower high and lower low | daily distribution | daily distribution below EMA20
NET,2021-01-12,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x
NET,2021-01-13,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2021-01-14,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
NET,2021-01-15,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,lower high and lower low | daily distribution | daily distribution below EMA20
NET,2021-01-19,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x
NET,2021-01-20,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2021-01-21,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x | close location below 50.0%
NET,2021-01-22,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x
NET,2021-01-25,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2021-01-26,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,below EMA20 with deep 20D-high pullback | lower high and lower low | daily distribution | daily distribution below EMA20
NET,2021-01-27,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,below EMA20 with deep 20D-high pullback | lower high and lower low | daily distribution | daily distribution below EMA20
NET,2021-01-28,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2021-01-29,MOMENTUM_ACTIVE,95.0,85,False,all confirmation gates passed
NET,2021-02-01,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x
NET,2021-02-02,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2021-02-03,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x | close location below 50.0%
NET,2021-02-04,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x
NET,2021-02-05,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2021-02-08,MOMENTUM_ACTIVE,100.0,85,False,all confirmation gates passed
NET,2021-02-09,MOMENTUM_ACTIVE,100.0,85,False,all confirmation gates passed
NET,2021-02-10,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
NET,2021-02-11,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2021-02-12,MOMENTUM_ACTIVE,100.0,85,False,all confirmation gates passed
NET,2021-02-16,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,below EMA20 with deep 20D-high pullback | lower high and lower low | pullback on above-average volume | daily distribution | daily distribution below EMA20
NET,2021-02-17,MOMENTUM_ACTIVE,95.0,85,True,all confirmation gates passed
NET,2021-02-18,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,below EMA20 with deep 20D-high pullback | pullback on above-average volume
NET,2021-02-19,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,below EMA20 with deep 20D-high pullback | pullback on above-average volume
NET,2021-02-22,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,below EMA20 with deep 20D-high pullback | lower high and lower low | daily distribution | daily distribution below EMA20
NET,2021-02-23,MOMENTUM_PRESENT_WAIT_CONFIRMATION,69.0,85,False,below EMA20 with deep 20D-high pullback | lower high and lower low | pullback on above-average volume
NET,2021-02-24,REJECT,49.0,85,False,below EMA20 with deep 20D-high pullback | pullback on above-average volume
NET,2021-02-25,REJECT,49.0,85,False,below EMA20 with deep 20D-high pullback | lower high and lower low | daily distribution | daily distribution below EMA20
NET,2021-02-26,MOMENTUM_PRESENT_WAIT_CONFIRMATION,70.0,85,False,below EMA20 with deep 20D-high pullback
NET,2021-03-01,MOMENTUM_PRESENT_WAIT_CONFIRMATION,78.0,85,False,below confirmed entry threshold
NET,2021-03-02,REJECT,40.0,85,False,distribution cluster
NET,2021-03-03,REJECT,40.0,85,False,distribution cluster
NET,2021-03-04,REJECT,40.0,85,False,distribution cluster
NET,2021-03-05,REJECT,40.0,85,False,distribution cluster
NET,2021-03-08,REJECT,40.0,85,False,distribution cluster
NET,2021-03-09,REJECT,40.0,85,False,distribution cluster
NET,2021-03-10,REJECT,40.0,85,False,distribution cluster
NET,2021-03-11,REJECT,40.0,85,False,distribution cluster
NET,2021-03-12,REJECT,40.0,85,False,distribution cluster
NET,2021-03-15,REJECT,40.0,85,False,distribution cluster
NET,2021-03-16,REJECT,40.0,85,False,distribution cluster
NET,2021-03-17,REJECT,40.0,85,False,distribution cluster
NET,2021-03-18,REJECT,40.0,85,False,distribution cluster
NET,2021-03-19,REJECT,40.0,85,False,distribution cluster
NET,2021-03-22,REJECT,40.0,85,False,distribution cluster
NET,2021-03-23,REJECT,40.0,85,False,distribution cluster
NET,2021-03-24,REJECT,40.0,85,False,distribution cluster
NET,2021-03-25,REJECT,40.0,85,False,distribution cluster
NET,2021-03-26,REJECT,40.0,85,False,distribution cluster
NET,2021-03-29,REJECT,40.0,85,False,distribution cluster
NET,2021-03-30,REJECT,40.0,85,False,distribution cluster
NET,2021-03-31,REJECT,40.0,85,False,distribution cluster
NET,2021-04-01,REJECT,40.0,85,False,distribution cluster
NET,2021-04-05,REJECT,40.0,85,False,distribution cluster
NET,2021-04-06,REJECT,40.0,85,False,distribution cluster
NET,2021-04-07,REJECT,40.0,85,False,distribution cluster
NET,2021-04-08,REJECT,40.0,85,False,distribution cluster
NET,2021-04-09,REJECT,40.0,85,False,distribution cluster
NET,2021-04-12,REJECT,40.0,85,False,distribution cluster
NET,2021-04-13,REJECT,40.0,85,False,distribution cluster
NET,2021-04-14,REJECT,40.0,85,False,distribution cluster
NET,2021-04-15,REJECT,40.0,85,False,distribution cluster
NET,2021-04-16,REJECT,40.0,85,False,distribution cluster
NET,2021-04-19,REJECT,40.0,85,False,distribution cluster
NET,2021-04-20,REJECT,40.0,85,False,distribution cluster
NET,2021-04-21,REJECT,40.0,85,False,distribution cluster
NET,2021-04-22,REJECT,40.0,85,False,distribution cluster
NET,2021-04-23,REJECT,40.0,85,False,distribution cluster
NET,2021-04-26,REJECT,40.0,85,False,distribution cluster
NET,2021-04-27,REJECT,40.0,85,False,distribution cluster
NET,2021-04-28,REJECT,40.0,85,False,distribution cluster
NET,2021-04-29,REJECT,40.0,85,False,distribution cluster
NET,2021-04-30,MOMENTUM_ACTIVE,86.0,85,True,all confirmation gates passed
NET,2021-05-03,MOMENTUM_ACTIVE,86.0,85,False,all confirmation gates passed
NET,2021-05-04,REJECT,40.0,85,False,distribution cluster
NET,2021-05-05,REJECT,40.0,85,False,distribution cluster
NET,2021-05-06,REJECT,40.0,85,False,distribution cluster
NET,2021-05-07,REJECT,40.0,85,False,weekly mixed | distribution cluster
NET,2021-05-10,REJECT,34.0,85,False,weekly mixed | not outperforming benchmark SPY | distribution cluster
NET,2021-05-11,REJECT,35.0,85,False,weekly mixed | not outperforming benchmark SPY | distribution cluster
NET,2021-05-12,REJECT,35.0,85,False,weekly mixed | not outperforming benchmark SPY | distribution cluster
NET,2021-05-13,REJECT,35.0,85,False,weekly mixed | not outperforming benchmark SPY | distribution cluster
NET,2021-05-14,REJECT,35.0,85,False,weekly mixed | not outperforming benchmark SPY
NET,2021-05-17,REJECT,35.0,85,False,weekly mixed | not outperforming benchmark SPY
NET,2021-05-18,REJECT,35.0,85,False,weekly mixed | not outperforming benchmark SPY
NET,2021-05-19,REJECT,35.0,85,False,weekly mixed | not outperforming benchmark SPY
NET,2021-05-20,REJECT,35.0,85,False,weekly mixed | not outperforming benchmark SPY
NET,2021-05-21,REJECT,35.0,85,False,weekly mixed | not outperforming benchmark SPY
NET,2021-05-24,REJECT,45.0,85,False,weekly mixed
NET,2021-05-25,REJECT,45.0,85,False,weekly mixed
NET,2021-05-26,REJECT,45.0,85,False,weekly mixed
NET,2021-05-27,REJECT,45.0,85,False,weekly mixed
NET,2021-05-28,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,RS excess below 5.0% | relative volume below 0.75x | close location below 50.0%
NET,2021-06-01,REJECT,35.0,85,False,not outperforming benchmark SPY
NET,2021-06-02,REJECT,35.0,85,False,not outperforming benchmark SPY
NET,2021-06-03,REJECT,35.0,85,False,not outperforming benchmark SPY
NET,2021-06-04,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,RS excess below 5.0% | relative volume below 0.75x | close location below 50.0%
NET,2021-06-07,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,RS excess below 5.0%
NET,2021-06-08,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,RS excess below 5.0%
NET,2021-06-09,REJECT,35.0,85,False,not outperforming benchmark SPY
NET,2021-06-10,REJECT,35.0,85,False,not outperforming benchmark SPY
NET,2021-06-11,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2021-06-14,REJECT,35.0,85,False,not outperforming benchmark SPY
NET,2021-06-15,REJECT,35.0,85,False,not outperforming benchmark SPY
NET,2021-06-16,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,RS excess below 5.0%
NET,2021-06-17,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2021-06-18,MOMENTUM_ACTIVE,100.0,85,False,all confirmation gates passed
NET,2021-06-21,MOMENTUM_ACTIVE,100.0,85,False,all confirmation gates passed
NET,2021-06-22,MOMENTUM_ACTIVE,100.0,85,False,all confirmation gates passed
NET,2021-06-23,MOMENTUM_ACTIVE,100.0,85,False,all confirmation gates passed
NET,2021-06-24,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,close location below 50.0%
NET,2021-06-25,MOMENTUM_ACTIVE,100.0,85,True,all confirmation gates passed
NET,2021-06-28,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x
NET,2021-06-29,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,85,False,relative volume below 0.75x
