Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2023-01-03,220.5,221.0,215.49000549316406,217.7899932861328,211.48944091796875,97100,0.0,0.0
2023-01-04,219.52000427246094,222.39999389648438,217.7899932861328,221.3300018310547,214.92706298828125,81900,0.0,0.0
2023-01-05,219.60000610351562,220.7100067138672,217.75999450683594,219.52999877929688,213.1791229248047,66700,0.0,0.0
2023-01-06,219.08999633789062,225.22999572753906,218.0,224.50999450683594,218.01507568359375,88900,0.0,0.0
2023-01-09,226.50999450683594,229.2100067138672,225.67999267578125,225.75999450683594,219.22891235351562,109700,0.0,0.0
2023-01-10,225.69000244140625,228.80999755859375,224.75999450683594,228.80999755859375,222.19070434570312,72900,0.0,0.0
2023-01-11,230.36000061035156,234.9499969482422,230.36000061035156,234.8000030517578,228.0073699951172,120400,0.0,0.0
2023-01-12,236.17999267578125,236.50999450683594,232.16000366210938,235.8800048828125,229.05615234375,64800,0.0,0.0
2023-01-13,232.3300018310547,238.32000732421875,232.3300018310547,238.19000244140625,231.29931640625,83100,0.0,0.0
2023-01-17,238.5399932861328,239.9199981689453,237.5800018310547,238.3300018310547,231.43524169921875,152900,0.0,0.0
2023-01-18,240.14999389648438,241.72000122070312,235.1300048828125,235.1300048828125,228.3278350830078,99500,0.0,0.0
2023-01-19,233.19000244140625,234.0,230.0800018310547,231.22000122070312,224.53094482421875,135400,0.0,0.0
2023-01-20,231.7100067138672,236.9499969482422,230.91000366210938,236.83999633789062,229.98837280273438,103000,0.0,0.0
2023-01-23,237.52000427246094,241.6199951171875,236.72000122070312,240.89999389648438,233.930908203125,103400,0.0,0.0
2023-01-24,239.6699981689453,241.1199951171875,238.33999633789062,240.13999938964844,233.19288635253906,60000,0.0,0.0
2023-01-25,236.6999969482422,241.8300018310547,234.92999267578125,241.47999572753906,234.49411010742188,71700,0.0,0.0
2023-01-26,245.22000122070312,246.58999633789062,243.1300048828125,246.0500030517578,238.93190002441406,214900,0.0,0.0
2023-01-27,246.1300048828125,253.05999755859375,246.00999450683594,251.5500030517578,244.27281188964844,179500,0.0,0.0
2023-01-30,249.35000610351562,251.00999450683594,247.0500030517578,247.58999633789062,240.42739868164062,170300,0.0,0.0
2023-01-31,247.9600067138672,252.94000244140625,247.52999877929688,252.9199981689453,245.60316467285156,101600,0.0,0.0
2023-02-01,252.11000061035156,259.7099914550781,250.0,257.9200134277344,250.45858764648438,129800,0.0,0.0
2023-02-02,262.8500061035156,268.29998779296875,262.0,265.1600036621094,257.4891662597656,222200,0.0,0.0
2023-02-03,257.9700012207031,263.69000244140625,256.9700012207031,257.8500061035156,250.39060974121094,288000,0.0,0.0
2023-02-06,256.55999755859375,258.4800109863281,255.19000244140625,256.8900146484375,249.45834350585938,55300,0.0,0.0
2023-02-07,255.91000366210938,258.0400085449219,251.44000244140625,257.5400085449219,250.08953857421875,79200,0.0,0.0
2023-02-08,255.94000244140625,256.4100036621094,253.25999450683594,254.6699981689453,247.30255126953125,96700,0.0,0.0
2023-02-09,257.9599914550781,259.0,252.61000061035156,253.77999877929688,246.43829345703125,46000,0.0,0.0
2023-02-10,251.36000061035156,252.25999450683594,248.9600067138672,250.5800018310547,243.3308868408203,58500,0.0,0.0
2023-02-13,250.8300018310547,254.6199951171875,249.38999938964844,254.60000610351562,247.2345428466797,47100,0.0,0.0
2023-02-14,253.0800018310547,258.0799865722656,251.99000549316406,257.45001220703125,250.0021514892578,102500,0.0,0.0
2023-02-15,256.3699951171875,260.9800109863281,256.3699951171875,260.9800109863281,253.43003845214844,53400,0.0,0.0
2023-02-16,257.239990234375,260.70001220703125,255.8000030517578,255.8000030517578,248.3998565673828,62400,0.0,0.0
2023-02-17,254.44000244140625,255.72999572753906,251.9499969482422,255.60000610351562,248.20567321777344,44900,0.0,0.0
2023-02-21,251.22000122070312,252.50999450683594,247.13999938964844,247.13999938964844,239.9904327392578,117700,0.0,0.0
2023-02-22,246.72999572753906,250.11000061035156,246.72999572753906,248.77000427246094,241.57321166992188,69500,0.0,0.0
2023-02-23,249.6199951171875,249.6199951171875,244.6300048828125,248.3800048828125,241.19456481933594,64600,0.0,0.0
2023-02-24,244.30999755859375,244.97999572753906,243.00999450683594,244.83999633789062,237.75692749023438,66700,0.0,0.0
2023-02-27,247.3300018310547,249.1199951171875,246.61000061035156,247.27000427246094,240.11663818359375,62100,0.0,0.0
