Ticker,Action_Rank,Action_Status,Long_Term_Status,Entry_Timing_Status,Classification_Reason,Market_State,Live_Price,Regular_Market_Price,PreMarket_Price,PostMarket_Price,Extended_Hours_Change_Pct,Close,Score,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Stage_Score,Weekly_Stage,Weekly_Close,Weekly_SMA_30,Weekly_SMA_30_Slope_Pct_10W,EMA_20,EMA_50,EMA_150,EMA_200,EMA_200_Slope_Pct_50D,Return_63D_Pct,Return_126D_Pct,Return_252D_Pct,Benchmark_Return_126D_Pct,RS_126D_Excess_Pct,RS_Ratio,RS_SMA_50,RS_SMA_200,RS_Slope_Pct_50D,Return_5D_Pct,Return_10D_Pct,High_20D,High_55D,High_100D,High_252D,Distance_From_20D_High_Pct,Distance_From_52W_High_Pct,Lower_High_Day,Lower_Low_Day,Close_Below_EMA20,ATR_14,ATR_Pct,Volume,Volume_Avg_50,Accumulation_Days_50,Distribution_Days_50,Net_Accumulation_50,Latest_Distribution_Day,Daily_Change_Pct,Last_3H_Return_Pct,Bearish_1H_Candles_Last3,Last_1H_Bearish
AVBP,1,Actionable Momentum Candidate,Momentum Candidate,Clean,2+ bearish hourly candles,REGULAR,33.7556,33.7556,,,,33.75559997558594,100,30,25,8,15,7,15,Stage 2,34.0,25.447833315531412,15.738606848583325,31.604804582834667,29.77278883808643,26.304580292205,25.429110052769957,13.835231412732352,57.515629934140854,51.43830681528412,47.98597442313155,6.293637112854489,45.14466970242963,0.04599920852168302,0.040950106177226726,0.03430884794733517,9.003048803417734,3.228132073448897,10.529138715328923,35.83000183105469,35.83000183105469,35.83000183105469,35.83000183105469,-5.789566702368454,5.789566702368456,True,False,False,1.762857300894601,5.222414361378866,50947,555084.94,12.0,5.0,7.0,False,-0.7188236012178328,-0.7188236012178328,2,False
BATRA,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,56.77,56.77,,,,56.77000045776367,100,30,25,20,15,10,15,Stage 2,56.5099983215332,48.56099967956543,8.158492286086428,55.0851443579613,53.596853703060304,49.893884727819824,48.88074995584054,7.712935161225043,22.9053954224127,33.106678608949444,15.012155096809533,6.293637112854489,26.813041496094954,0.0773612405266508,0.07374868507636126,0.06810101911842886,7.91508304907389,2.6767942082285057,3.613797242473127,57.41999816894531,57.41999816894531,57.41999816894531,57.41999816894531,-1.132005802698166,1.1320058026981643,False,False,False,1.2970717293875558,2.284783721910597,7468,62949.36,7.0,3.0,4.0,False,0.46009935224400333,-0.22847019725189543,1,False
BATRK,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,52.64,52.64,,,,52.63999938964844,100,30,25,20,6,10,15,Stage 2,51.959999084472656,44.4863333384196,8.540315103216066,50.88853687632623,49.44516999154421,45.87082235369749,44.958061825314516,8.178589097775358,26.75174798196722,33.637979703757125,13.058414598426516,6.293637112854489,27.344342590902635,0.07173323271566807,0.06818686512269859,0.06241097635095864,11.08438891047041,3.4387895873230656,3.785485257759813,52.827999114990234,52.827999114990234,52.827999114990234,52.827999114990234,-0.3558713721725115,0.3558713721725094,False,False,False,1.2441425323486328,2.3634926800422633,395331,497322.62,9.0,7.0,2.0,False,1.3086996096175696,2.6921597996532265,1,False
BCAX,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,27.84,27.84,,,,27.84000015258789,100,30,25,20,10,7,15,Stage 2,26.8700008392334,19.364000002543133,11.125564075708127,23.601926313238106,22.166750030503437,19.675468435969588,18.93390738905097,12.943505954772782,51.551436476416,61.20439730545873,216.00452697593786,6.293637112854489,54.910760192604236,0.03793794135458403,0.030257943697418462,0.02640327516304023,11.239174979277955,13.401226141631707,28.354077764422136,28.0,28.0,28.0,28.0,-0.5714280264718208,0.5714280264718192,False,False,False,1.4262143543788366,5.122896359777001,236772,636239.44,13.0,7.0,6.0,False,3.6099712804555484,0.8330320629767796,1,False
BEAM,1,Actionable Momentum Candidate,Momentum Candidate,Clean,2+ bearish hourly candles,REGULAR,35.9,35.9,,,,35.900001525878906,100,30,25,14,10,7,15,Stage 2,34.810001373291016,28.453000005086263,7.7710731008780565,32.47317224893353,30.805327831702296,28.326333643387837,27.549478426475435,8.689345674675186,61.78459063477231,27.576411885371456,109.45159162351206,6.293637112854489,21.282774772516966,0.04892141325623046,0.04191978725534131,0.03963686336469351,13.175725677235084,1.041381253290763,23.665176289140643,36.880001068115234,36.880001068115234,36.880001068115234,36.880001068115234,-2.6572654930956396,2.657265493095636,False,False,False,2.31857122693743,6.458415399414573,536705,2177510.1,13.0,7.0,6.0,False,3.1312844285729557,1.1552593008703926,2,False
BIIB,1,Actionable Momentum Candidate,Momentum Candidate,Clean,2+ bearish hourly candles,REGULAR,216.85,216.85,,,,216.85000610351562,100,30,21,20,15,10,15,Stage 2,216.02999877929688,186.17166697184246,7.386492179773119,200.52139954072678,194.9347554894242,183.26947146035934,179.07215215251145,5.987403001423264,17.955836827234208,22.97964263125454,70.85566438069357,6.293637112854489,16.68600551840005,0.29550440981343284,0.26378488652472176,0.2553787230959566,17.795484161469034,8.582443950445429,8.397901922256533,219.72000122070312,219.72000122070312,219.72000122070312,219.72000122070312,-1.3062056714193582,1.3062056714193548,False,False,False,6.832142421177456,3.150630495217077,254671,1147293.42,10.0,3.0,7.0,False,0.3795803031302558,-0.018439714364126836,2,False
BLBD,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,78.58,78.58,,,,78.58000183105469,100,30,25,8,15,10,15,Stage 2,78.80999755859375,59.44066670735677,10.129013150041533,73.72987321882047,69.47956788299015,61.59002023350738,59.17387195056667,13.100301245516444,42.587553911757084,51.5817932094121,83.38390811965242,6.293637112854489,45.28815609655761,0.10708202172306892,0.0940454646906165,0.08365495796200005,27.067761084458873,3.51732056400631,9.840649742009377,80.62999725341797,81.51000213623047,81.51000213623047,81.51000213623047,-2.542472395131301,3.5946512432655453,True,False,False,2.8978565761021207,3.687778707784265,54457,461143.14,9.0,2.0,7.0,False,-0.29183572473538977,-0.20319808095670133,1,False
BPOP,1,Actionable Momentum Candidate,Momentum Candidate,Clean,lower high and lower low | last 3H selling,REGULAR,166.25,166.25,,,,166.25,100,30,25,20,15,10,15,Stage 2,165.7899932861328,139.16499938964844,9.302757744635336,159.64429025913347,153.00568313274997,140.4735788593734,135.94068068906827,8.92518573836416,27.86493965314598,31.996827334834045,50.97166350657412,6.293637112854489,25.703190221979554,0.22655110329133046,0.20732729712576498,0.19292369228814377,10.114879730653215,2.1630949209600736,3.292950079062229,169.13999938964844,169.13999938964844,169.13999938964844,169.13999938964844,-1.7086433723998873,1.7086433723998868,True,True,False,3.3767852783203125,2.0311490395911656,41367,518371.34,8.0,3.0,5.0,False,0.2774634974942458,-1.218062982768875,1,False
BTSG,1,Actionable Momentum Candidate,Momentum Candidate,Clean,2+ bearish hourly candles,REGULAR,69.48,69.48,,,,69.4800033569336,100,30,25,20,15,10,15,Stage 2,68.9800033569336,46.37300071716309,24.436713202488015,64.36557895757036,58.5044339262402,47.484217258300745,43.9464837262702,27.3925074867323,64.13890940576516,84.1505544656982,201.03987689171922,6.293637112854489,77.85691735284372,0.09468133183277384,0.07826019641324528,0.06008568622956057,45.05262414352891,3.3928668336807855,9.884554578436134,70.72000122070312,70.72000122070312,70.72000122070312,70.72000122070312,-1.753390614205086,1.7533906142050866,True,False,False,2.1002864837646484,3.022864683778193,647837,3279234.74,8.0,3.0,5.0,False,0.7248477466908376,-0.5866313393424027,2,False
BUSE,1,Actionable Momentum Candidate,Momentum Candidate,Clean,lower high and lower low,REGULAR,29.61,29.61,,,,29.610000610351562,100,30,21,20,10,10,15,Stage 2,29.799999237060547,25.935333442687988,5.881552871247786,28.44691640065701,27.497332923135897,26.052608627113376,25.64546036237855,4.605489528643436,20.26807311544161,21.452016528373452,26.43040356060129,6.293637112854489,15.158379415518963,0.04034994470214806,0.037082127939727545,0.036426150648861684,8.060840807838709,3.8218798565663237,2.848210033859244,30.049999237060547,30.049999237060547,30.049999237060547,30.049999237060547,-1.464221756672579,1.4642217566725786,True,True,False,0.5642856870378766,1.9057266984337857,107263,699363.26,11.0,7.0,4.0,False,-0.6375793005816366,-0.6375818444578463,1,False
CACC,1,Actionable Momentum Candidate,Momentum Candidate,Clean,last 3H selling,REGULAR,629.82,629.82,,,,629.8200073242188,100,30,25,20,15,10,15,Stage 2,628.8599853515625,496.2973337809245,6.417231748493735,581.5100616076545,550.7121212687465,511.55346503270533,504.82394823299126,6.5615910336076055,50.13946029375562,37.716752851651655,23.80970949689971,6.293637112854489,31.423115738797165,0.8582641656195825,0.7468451589420806,0.7070200295494918,21.766745060734948,9.054070849095975,14.899202640272847,638.5499877929688,638.5499877929688,638.5499877929688,638.5499877929688,-1.367156939259151,1.3671569392591458,True,False,False,21.034641810825892,3.339786219271005,17264,170907.28,15.0,5.0,10.0,False,0.15266068680130918,-3.103123536636143,1,False
CDNA,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,29.16,29.16,,,,29.15999984741211,100,30,25,20,15,7,15,Stage 2,28.81999969482422,20.19099973042806,13.85153144884903,24.985546104726996,22.82756920286804,20.292497596174883,19.76402892352163,10.829252901282338,73.7782994885055,47.79523833737973,51.16639949944213,6.293637112854489,41.50160122452524,0.039736722631014985,0.03059154420875014,0.02705138446496957,24.36069419826039,16.407188564983933,26.94819642619155,29.485000610351562,29.485000610351562,29.485000610351562,29.485000610351562,-1.1022579488275563,1.1022579488275548,False,False,False,1.4500716073172433,4.972810750703533,90596,809819.92,12.0,5.0,7.0,False,1.1797368361837757,1.45078748708245,1,False
CENT,1,Actionable Momentum Candidate,Momentum Candidate,Clean,last 3H selling,REGULAR,44.7,44.7,,,,44.70000076293945,100,30,25,14,15,10,15,Stage 2,44.90999984741211,36.89466692606608,7.914903947703977,42.431049295747634,40.31209535567414,37.67100045505201,37.16789809052807,5.038921133028773,20.745543517585684,37.07451679332412,27.459370264940365,6.293637112854489,30.78087968046963,0.06091329016521652,0.053890648729284445,0.05131748074223513,12.860889218260407,4.0502833229707935,4.317391726246278,45.779998779296875,45.779998779296875,45.779998779296875,45.779998779296875,-2.3591045110421205,2.359104511042124,True,False,False,1.2485713958740234,2.7932245515959986,4527,67988.54,8.0,4.0,4.0,False,-0.46759983341384537,-2.4017450590841594,0,False
