Ticker,Signals,Momentum_Candidates,Watchlist_Candidates,Avg_Score,D1_D2_Confirm_Rate_Pct,Avg_Fwd_21D_Return_Pct,Avg_Fwd_63D_Return_Pct,Avg_Fwd_126D_Return_Pct,Avg_Fwd_252D_Return_Pct
ASTS,11,5,6,84.81818181818181,36.36363636363637,20.152012698340798,22.250804681593777,46.36603550815477,124.65570245656545
BLZE,7,5,2,90.28571428571429,28.57142857142857,-0.10041445463662058,-5.314546793020744,-26.383071144281132,-15.283157949390494
FCEL,9,4,5,79.77777777777777,44.44444444444444,19.92331689695108,97.00571555887213,127.7513826565545,74.1558144783753
PLTR,22,14,8,89.27272727272727,9.090909090909092,9.500783636874635,30.035221802670694,72.14461101758344,283.81036273841937
OUST,7,1,6,78.0,0.0,11.910306287303777,-1.5488221392561299,-3.886818155698289,109.56018177498937
BB,11,3,8,78.72727272727273,27.27272727272727,6.018108833647167,-8.903445171783716,-5.534438046382657,-11.080963022579432
PANW,43,26,17,88.23255813953489,25.581395348837212,1.042363969620472,4.652244448508655,13.921475640939743,31.9846435842301
TOST,15,11,4,89.46666666666667,33.33333333333333,0.04799880706613422,1.6651250594591993,9.480632278511086,11.030751593358456
TENB,19,10,9,85.3157894736842,5.263157894736842,-0.8105121802406788,-0.3841234789579538,2.7767876544211525,2.0760111448936147
ZD,21,10,11,86.0952380952381,47.61904761904761,-0.2786439247772929,-0.9636770891121719,-5.689076199084503,-12.491006370558388
FROG,19,8,11,83.15789473684211,36.84210526315789,0.329077650919731,4.595560780608366,18.268743514258887,21.3343697397539
HLIT,29,15,14,86.41379310344827,27.586206896551722,-0.24873212528283276,-2.5595460967750334,-8.776888950938849,1.6352976898735074
NNE,2,0,2,75.0,0.0,4.943497926949572,-22.45299153378504,-49.46135698784899,
PDYN,5,2,3,81.0,40.0,19.422946810620967,43.918314319835396,23.58675919766189,31.042192157760205
QBTS,12,4,8,79.75,8.333333333333332,13.241376821485394,21.29112029972293,39.13169285070716,-3.767809748797962
EXTR,28,16,12,88.25,10.714285714285714,3.5830650724953483,3.7031095323458656,9.68922080409696,12.54554367190567
MXL,25,12,13,85.36,24.0,13.273681909125301,25.20678100316188,33.2662518697818,18.670485815330213
QNT,0,,,,,,,,
