Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry
SHMD,SHMD,SCHMID Group N.V. - Class A Ordinary Shares,NASDAQ,G,N,N,396412929.0,Technology,Industrial Machinery/Components
TTAN,TTAN,"ServiceTitan, Inc. - Class A Common Stock",NASDAQ,Q,N,N,6257127207.0,Technology,Computer Software: Prepackaged Software
ROP,ROP,"Roper Technologies, Inc. - Common Stock",NASDAQ,Q,N,N,33475297154.0,Technology,Computer Software: Programming Data Processing
WFCF,WFCF,"Where Food Comes From, Inc. - Common Stock",NASDAQ,S,N,N,60471312.0,Technology,Computer Software: Prepackaged Software
ATOM,ATOM,Atomera Incorporated - Common Stock,NASDAQ,S,N,N,291922410.0,Technology,Semiconductors
KARO,KARO,Karooooo Ltd. - Ordinary shares,NASDAQ,S,N,N,1502804579.0,Technology,Computer Software: Prepackaged Software
ADBE,ADBE,Adobe Inc. - Common Stock,NASDAQ,Q,N,N,79191937500.0,Technology,Computer Software: Prepackaged Software
BL,BL,"BlackLine, Inc. - Common Stock",NASDAQ,Q,N,N,1594403724.0,Technology,Computer Software: Prepackaged Software
MYPS,MYPS,"PLAYSTUDIOS, Inc.  - Class A Common Stock",NASDAQ,S,N,N,66047272.0,Technology,Computer Software: Prepackaged Software
COHR,COHR,Coherent Corp. Common Stock,NYSE, ,N,N,76264120112.0,Technology,Electronic Components
RDCM,RDCM,Radcom Ltd. - Ordinary Shares,NASDAQ,S,N,N,208964522.0,Technology,Computer peripheral equipment
LSPD,LSPD,Lightspeed Commerce Inc. Subordinate Voting Shares,NYSE, ,N,N,1353308785.0,Technology,Computer Software: Prepackaged Software
NTSK,NTSK,"Netskope, Inc. - Class A Common Stock",NASDAQ,Q,N,N,3940275196.0,Technology,Computer Software: Prepackaged Software
GMM,GMM,Global Mofy AI Limited  - Class A Ordinary Shares,NASDAQ,S,N,N,5645326.0,Technology,Computer Software: Programming Data Processing
HCAT,HCAT,"Health Catalyst, Inc - Common stock",NASDAQ,Q,N,N,132639766.0,Technology,Computer Software: Programming Data Processing
UBXG,UBXG,U-BX Technology Ltd. - Class A Ordinary Shares,NASDAQ,S,N,N,8673381.0,Technology,Computer Software: Programming Data Processing
NCNO,NCNO,"nCino, Inc. - Common Stock",NASDAQ,Q,N,N,1615906013.0,Technology,Computer Software: Prepackaged Software
AREN,AREN,"The Arena Group Holdings, Inc. Common Stock",NYSE MKT, ,N,N,56171292.0,Technology,EDP Services
VELO,VELO,"Velo3D, Inc. - Common stock",NASDAQ,S,N,N,561748888.0,Technology,Industrial Machinery/Components
IFBD,IFBD,"Infobird Co., Ltd - Ordinary Shares",NASDAQ,S,N,N,8106688.0,Technology,Computer Software: Prepackaged Software
