Ticker,D_Date,D_Final_Decision,D_Final_Decision_Reason,D_Action_Status,D_Score,D_Entry_Timing_Status,D_Classification_Reason,D_Close,D_1H_Bars,D_4H_Bars,D_Intraday_Data_Status,D1_Date,D1_Open,D1_Close,D1_Final_Decision,D1_Final_Decision_Reason,D1_Action_Status,D1_Score,D1_1H_Bars,D1_4H_Bars,D1_Intraday_Data_Status,D2_Date,D2_Open,D2_Close,D2_Final_Decision,D2_Final_Decision_Reason,D2_Action_Status,D2_Score,D2_1H_Bars,D2_4H_Bars,D2_Intraday_Data_Status,Continuation_By_D2,Validation_Result,Validation_Note,Status_String_Check,Reason_String_Check,Daily_Replay_Limitation,File,Primary_D1_Open_Confirm,D1_Close_Confirm,Secondary_D2_Confirm,Double_Confirm_D1_D2,Primary_Validation_Result,Secondary_Validation_Result
ASST,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,8,Wait - Last Hour Bearish,below EMA200 | weekly downtrend | not outperforming SPY,16.280000686645508,17,5,OK,2026-05-07,15.979999542236328,15.460000038146973,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Rejected - Distribution Risk,8,17,5,OK,2026-05-08,15.40999984741211,15.920000076293944,REJECT,below EMA200 | weekly mixed | not outperforming SPY,Avoid,20,17,5,OK,False,PASS_REJECT,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,False,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
ZOOZ,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,4,Wait - Intraday Selling,below EMA200 | weekly downtrend | not outperforming SPY,6.480000019073486,15,5,OK,2026-05-07,6.360000133514404,5.860000133514404,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,0,13,5,OK,2026-05-08,6.0,5.840000152587891,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,0,12,5,OK,False,PASS_REJECT,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,False,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
ZS,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,3,Clean,below EMA200 | weekly downtrend | not outperforming SPY,138.8300018310547,17,5,OK,2026-05-07,148.0,152.7899932861328,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,3,17,5,OK,2026-05-08,149.33999633789062,152.1300048828125,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,3,17,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,True,True,True,True,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
AEYE,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Avoid,0,Clean,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,7.659999847412109,15,5,OK,2026-05-07,7.679999828338623,8.09000015258789,REJECT,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Avoid,0,14,5,OK,2026-05-08,8.039999961853027,7.860000133514404,REJECT,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Avoid,0,12,4,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,True,True,True,True,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
DOMO,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,0,Clean,below EMA200 | weekly downtrend | not outperforming SPY,3.809999942779541,14,5,OK,2026-05-07,3.880000114440918,3.920000076293945,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,0,13,5,OK,2026-05-08,3.890000104904175,3.839999914169312,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,0,11,3,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,True,True,True,True,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
FNGR,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Avoid,0,Wait - Daily Pullback Risk,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,0.902999997138977,13,5,OK,2026-05-07,0.9100000262260436,0.8610000014305115,REJECT,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Avoid,0,16,5,OK,2026-05-08,0.8370000123977661,0.8199999928474426,REJECT,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Avoid,0,14,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,True,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
HPAI,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,0,Wait - Daily Pullback Risk,below EMA200 | weekly downtrend | not outperforming SPY,1.149999976158142,15,5,OK,2026-05-07,1.149999976158142,0.9900000095367432,REJECT,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Avoid,0,15,5,OK,2026-05-08,0.9300000071525574,0.9860000014305116,REJECT,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Avoid,0,17,5,OK,False,PASS_REJECT,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,False,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
IBM,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,0,Wait - Last Hour Bearish,below EMA200 | weekly downtrend | not outperforming SPY,225.7400054931641,17,5,OK,2026-05-07,227.5,231.30999755859372,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,0,17,5,OK,2026-05-08,229.72999572753903,229.75999450683597,REJECT,below EMA200 | weekly downtrend | not outperforming SPY,Avoid,0,17,5,OK,True,FLAG_REVIEW,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,True,True,True,True,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
SNAL,2026-05-06,REJECT,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Rejected - Distribution Risk,0,Failed - Distribution Risk,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,0.5460000038146973,16,5,OK,2026-05-07,0.5360000133514404,0.5120000243186951,REJECT,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Avoid,0,16,5,OK,2026-05-08,0.5009999871253967,0.4799999892711639,REJECT,below EMA200 | weekly downtrend | not outperforming SPY | distribution cluster,Rejected - Distribution Risk,0,15,5,OK,False,PASS_REJECT,Rejected rows should not show clean immediate continuation without review.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R1_D2026-05-06_Validation_20260702.csv,False,False,False,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
CAMT,2026-05-06,MOMENTUM_PRESENT_WAIT_CONFIRMATION,relative volume below 1.0x,Actionable Momentum Candidate,100,Clean,,202.5399932861328,17,5,OK,2026-05-07,199.8999938964844,193.0800018310547,REJECT,lower high and lower low | daily distribution | last 3H selling | 2+ bearish hourly candles | last 1H bearish,Rejected - Distribution Risk,25,15,5,OK,2026-05-08,194.27999877929688,205.5399932861328,MOMENTUM_PRESENT_WAIT_CONFIRMATION,relative volume below 1.0x,Actionable Momentum Candidate,100,16,5,OK,True,OBSERVE_CONTINUED,Momentum is present but not active; continuation is observed but not required.,OK,OK,Historical extended-hours quote status is not replayable from daily bars. Historical 1H/4H candle availability is recorded per row.,backtests\V5_FinalDecision_May06_R2_D2026-05-06_Validation_20260702.csv,False,False,True,False,NOT_MOMENTUM_ACTIVE,NOT_MOMENTUM_ACTIVE
