Ticker,Signal_Date,Long_Term_Status,Score,Weekly_Trend,Signal_Close,Next_Open,D_Minus_1_Close,D_Plus_1_Close,D_Plus_2_Close,D_Minus_1_Lt_D,D_Lt_D_Plus_1,D_Lt_D_Plus_2,D1_D2_Confirmation,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Trend_Score,RS_126D_Excess_Pct,RS_Slope_Pct_50D,Distance_From_52W_High_Pct,Net_Accumulation_50,Distribution_Days_50,ATR_Pct,Forward_21D_Return_Pct,Forward_63D_Return_Pct,Forward_126D_Return_Pct,Forward_252D_Return_Pct
ASTS,2021-01-14,Watchlist Candidate,78,Uptrend,14.460000038146973,14.668999671936035,13.350000381469727,14.5,16.219999313354492,True,True,True,True,30,12,8,10,3,15,24.065730862780295,25.59589916634042,9.562826015667003,3.0,7.0,7.993480078641481,39.95501496889684,-46.758469442730814,-24.943755708539594,-55.552524870525176
ASTS,2022-08-31,Watchlist Candidate,71,Uptrend,12.020000457763672,12.0,11.970000267028809,11.430000305175781,10.949999809265137,True,False,False,False,17,25,4,10,0,15,80.25005155718604,74.4392161627184,15.767343572689763,6.0,7.0,11.525433067185594,-39.833335081736244,-51.91666682561238,-48.00000190734863,-66.74999992052715
ASTS,2024-06-14,Momentum Candidate,100,Uptrend,10.220000267028809,10.329999923706055,9.979999542236328,11.75,11.390000343322754,True,True,True,True,30,25,20,10,0,15,79.67579488103078,329.35957918967586,1.1605404621686444,3.0,7.0,11.529214326885981,29.719261544029195,188.86738018370002,127.29912599856532,329.33203099395394
ASTS,2024-07-29,Momentum Candidate,91,Uptrend,18.8700008392334,18.989999771118164,18.84000015258789,17.520000457763672,20.68000030517578,True,False,True,False,30,25,8,10,3,15,564.5778493857599,667.8287394022968,3.6753410298436284,6.0,7.0,7.441517327609604,63.823069959519806,34.91311820971574,-6.687732875569652,179.98946187356677
ASTS,2025-02-07,Watchlist Candidate,76,Uptrend,26.510000228881836,27.395000457763672,27.1200008392334,31.139999389648438,28.399999618530273,False,True,True,False,30,21,0,7,3,15,19.148448648717633,9.036900100349122,32.16479276667837,4.0,5.0,8.690790750022163,4.617628649427319,-5.9682431157561115,67.6218193160559,251.41447356969744
ASTS,2025-06-13,Momentum Candidate,95,Uptrend,38.369998931884766,39.2599983215332,36.91999816894531,41.90999984741211,40.099998474121094,True,True,True,True,30,25,8,10,7,15,58.474481443730916,61.90302018740992,6.714968977066279,8.0,7.0,6.261961229386675,34.055026281671786,4.355585767389147,95.36423898972511,109.50077309322697
ASTS,2025-07-28,Momentum Candidate,87,Uptrend,54.220001220703125,53.91999816894531,54.334999084472656,53.09000015258789,54.290000915527344,False,False,True,False,30,25,4,10,3,15,161.6723042428412,90.54875080562084,11.041836682516488,11.0,7.0,7.5563850315761325,-6.472548186731131,36.6839752429535,106.49109814327811,
ASTS,2025-08-26,Watchlist Candidate,79,Uptrend,50.43000030517578,50.5,50.0099983215332,48.25,48.95000076293945,True,False,False,False,30,12,4,15,3,15,84.13264163973525,21.619748123331828,17.260049755668486,4.0,4.0,7.227841975380576,-2.198021010597151,8.910891089108919,69.82178640837718,
ASTS,2025-09-26,Watchlist Candidate,73,Uptrend,49.09000015258789,49.959999084472656,49.38999938964844,48.84000015258789,49.08000183105469,False,False,False,False,30,12,4,5,7,15,73.56468876156093,-18.913156962951806,19.45857335831736,0.0,5.0,6.97770716146771,59.0272185832263,44.01520870044195,47.758208662111734,
ASTS,2025-12-04,Watchlist Candidate,83,Uptrend,72.6500015258789,71.4000015258789,61.439998626708984,73.91999816894531,74.0,True,True,True,True,30,25,0,10,3,15,120.09258779495687,28.766414254341743,29.321917619611114,6.0,6.0,7.559531891986138,36.540610336589864,25.71428601958361,28.935568054892325,
ASTS,2026-01-06,Momentum Candidate,100,Uptrend,97.48999786376953,91.05000305175781,90.91999816894531,85.7300033569336,90.55999755859375,True,False,False,False,30,25,14,15,3,15,102.93116923781389,31.991840655232796,5.156146516734975,7.0,5.0,8.647919393756311,2.43821363745218,5.9417856687379755,,
BLZE,2023-11-08,Watchlist Candidate,72,Uptrend,5.880000114440918,5.989999771118164,5.46999979019165,5.570000171661377,5.75,True,False,False,False,10,25,0,15,7,15,36.80831805609484,1.5153324626537845,28.20512312937472,4.0,5.0,4.723031412701417,30.884815561927546,52.08681143199219,21.03506305554714,14.524213616686588
BLZE,2023-12-08,Momentum Candidate,100,Uptrend,7.840000152587891,7.710000038146973,7.559999942779541,7.630000114440918,7.5,True,False,False,False,22,25,20,15,7,15,81.86750689406534,32.97445041330222,4.2734975058329585,10.0,4.0,5.977587663486154,-3.242542137004778,39.68872119943778,-20.233462192750817,-8.819712386176004
BLZE,2024-01-10,Momentum Candidate,91,Uptrend,7.460000038146973,7.599999904632568,7.25,7.320000171661377,7.239999771118164,True,False,False,False,30,25,4,10,7,15,35.79139486990938,30.136114710921703,12.111214515714222,11.0,6.0,4.960743207777965,19.86841803937733,28.815790588175496,-15.131580392079357,-20.526315294144215
