Test_Run_Timestamp,Run_ID,Round_Label,Random_Seed,Requested_D_Date,D_Date,D1_Date,D2_Date,Rows_Selected,Rows_Validated,Rows_Skipped,Actionable_Momentum,Watchlist,Downgraded_Wait,Rejected_Distribution,Avoid,PASS,PASS_AVOID,PASS_REJECTED,FLAG_REVIEW,Actionable_PASS,Actionable_FLAG_REVIEW,Output_File,Ticker_Input_File
2026-07-02T13:36:39,V5_May06_Round1_ExistingRandom20_2026-05-06_20260702_133607,May06_Round1_ExistingRandom20,20260702,2026-05-06,2026-05-06,2026-05-07,2026-05-08,20,19,1,1,0,1,1,16,0,5,1,13,0,1,backtests\V5_May06_Round1_ExistingRandom20_DD2_Enriched_20260702_133607.csv,backtests\V5_Random20_TickerInput_20260702.csv
2026-07-02T13:37:06,V5_May06_Round2_Random20_2026-05-06_20260702_133607,May06_Round2_Random20,2026050602,2026-05-06,2026-05-06,2026-05-07,2026-05-08,20,18,2,2,0,0,0,16,1,6,0,11,1,1,backtests\V5_May06_Round2_Random20_DD2_Enriched_20260702_133607.csv,backtests\V5_May06_Round2_Random20_TickerInput_20260702_133607.csv
2026-07-02T13:37:36,V5_May06_Round3_Random20_2026-05-06_20260702_133607,May06_Round3_Random20,2026050603,2026-05-06,2026-05-06,2026-05-07,2026-05-08,20,18,2,2,0,1,2,13,1,3,0,14,1,1,backtests\V5_May06_Round3_Random20_DD2_Enriched_20260702_133607.csv,backtests\V5_May06_Round3_Random20_TickerInput_20260702_133607.csv
2026-07-02T13:38:07,V5_May19_Round1_Random20_2026-05-19_20260702_133607,May19_Round1_Random20,2026051901,2026-05-19,2026-05-19,2026-05-20,2026-05-21,20,20,0,1,3,0,2,14,1,2,0,14,1,0,backtests\V5_May19_Round1_Random20_DD2_Enriched_20260702_133607.csv,backtests\V5_May19_Round1_Random20_TickerInput_20260702_133607.csv
2026-07-02T13:38:38,V5_May19_Round2_Random20_2026-05-19_20260702_133607,May19_Round2_Random20,2026051902,2026-05-19,2026-05-19,2026-05-20,2026-05-21,20,20,0,2,0,3,2,13,2,5,0,12,2,0,backtests\V5_May19_Round2_Random20_DD2_Enriched_20260702_133607.csv,backtests\V5_May19_Round2_Random20_TickerInput_20260702_133607.csv
2026-07-02T13:39:07,V5_May19_Round3_Random20_2026-05-19_20260702_133607,May19_Round3_Random20,2026051903,2026-05-19,2026-05-19,2026-05-20,2026-05-21,20,19,1,1,0,0,2,16,1,7,0,11,1,0,backtests\V5_May19_Round3_Random20_DD2_Enriched_20260702_133607.csv,backtests\V5_May19_Round3_Random20_TickerInput_20260702_133607.csv
