Profile,Sector,Minimum_Score,Rows,D1_Positive,D1_Positive_Rate_Pct,D1_Mean_Return_Pct,D1_Median_Return_Pct,D5_Positive,D5_Positive_Rate_Pct,D5_Mean_Return_Pct,D5_Median_Return_Pct,D8_Positive,D8_Positive_Rate_Pct,D8_Mean_Return_Pct,D8_Median_Return_Pct
V1,ALL,-15,292,163,55.821917808219176,0.46387350342975164,0.282830532229128,167,57.19178082191781,1.153128042005694,0.9633569832732114,156,53.42465753424658,1.2555500503633321,0.564874661589776
V1,ALL,-10,291,163,56.013745704467354,0.47707852655678806,0.2861360533047641,167,57.38831615120275,1.214941620791248,0.9865883658023877,156,53.608247422680414,1.2922530433470865,0.5714178222734789
V1,ALL,-5,288,161,55.90277777777778,0.4658686970093199,0.282830532229128,165,57.291666666666664,1.17680297283301,0.9633569832732114,154,53.47222222222222,1.2568170241667085,0.564874661589776
V1,ALL,0,267,153,57.30337078651685,0.477732268013771,0.29320789940883163,153,57.30337078651685,1.3168063610941383,0.8737798842713307,146,54.6816479400749,1.500532139076963,0.8024390505737999
V1,ALL,5,244,139,56.967213114754095,0.41621382046034566,0.2879717007378768,141,57.78688524590164,1.3291889707386142,0.9633569832732114,132,54.09836065573771,1.5081189210690136,0.7586830714846671
V1,ALL,10,225,129,57.333333333333336,0.43097253326075213,0.29320789940883163,134,59.55555555555556,1.3330671391662194,1.0246913262185409,123,54.666666666666664,1.4123928570092505,0.8024390505737999
V1,ALL,15,156,93,59.61538461538461,0.5817477105904167,0.46543043127572625,98,62.82051282051282,1.4243687941096892,1.1914018585611363,87,55.76923076923077,1.0687748730285327,0.7586830714846671
V1,ALL,20,87,53,60.91954022988506,0.5483936076301796,0.3523278112856243,60,68.96551724137932,1.5753557003792589,1.2236826043379834,56,64.36781609195403,1.6194542985601654,1.5685294770954261
V1,ALL,25,18,8,44.44444444444444,0.24937141451464306,-0.07829478239004817,15,83.33333333333333,1.6808861409420273,1.2662529577892268,12,66.66666666666667,1.240030711743859,1.7660270219986618
V1,ALL,30,7,3,42.857142857142854,0.5349137089337327,-0.10741123806390362,6,85.71428571428571,1.1631459179498196,1.2375680196842431,7,100.0,3.7620746326889796,3.6434633915607417
V1,Technology,-15,142,90,63.38028169014085,0.8361438049879619,0.7163501772790792,85,59.859154929577464,1.3650002727373622,1.0726994662956901,74,52.11267605633803,1.4033399616571993,0.4006600884952749
V1,Technology,-10,141,90,63.829787234042556,0.8660369399633222,0.7178711322876286,85,60.283687943262414,1.4940756178247943,1.1202081708234113,74,52.4822695035461,1.4801368472569612,0.558331500906073
V1,Technology,-5,140,89,63.57142857142857,0.8271557070120649,0.7163501772790792,84,60.0,1.4078230948147978,1.0726994662956901,73,52.142857142857146,1.355307870274623,0.4006600884952749
V1,Technology,0,125,84,67.2,0.870329865606961,0.8062975948882167,77,61.6,1.7796080081003496,1.1518799675364955,70,56.0,1.9537163617547582,1.016653759076691
V1,Technology,5,116,77,66.37931034482759,0.7426444806180641,0.7414100068074858,70,60.3448275862069,1.5538989093968454,1.072449748520976,62,53.44827586206897,1.754339882364152,0.8295884429438516
V1,Technology,10,106,70,66.0377358490566,0.6974444965629915,0.7414100068074858,66,62.264150943396224,1.4897128007356384,1.1360440691799534,57,53.77358490566038,1.4744576437384778,0.8295884429438516
V1,Technology,15,74,52,70.27027027027027,1.0174636641508277,0.9567522200290335,51,68.91891891891892,1.9156982903171487,1.51595939592859,42,56.75675675675676,1.5009525609790035,0.9366957971952972
V1,Technology,20,42,30,71.42857142857143,1.0706764222122067,0.7620843635879226,32,76.19047619047619,1.9324554723197631,1.797986229809112,29,69.04761904761905,2.0907411141376158,2.342169333537647
V1,Technology,25,6,2,33.333333333333336,0.1964266428591488,-0.785394322879146,5,83.33333333333333,0.8717907163530566,1.345674202891134,5,83.33333333333333,2.615096979395613,2.03426588479092
V1,Technology,30,3,2,66.66666666666667,1.4117726149085907,2.182214911840741,3,100.0,1.7640959592567729,1.7512228050382328,3,100.0,4.386569830218345,4.342603012849122
V1,Industrials,-10,150,73,48.666666666666664,0.1114576179546459,-0.055141839385342006,82,54.666666666666664,0.9525556635797146,0.628446020873985,82,54.666666666666664,1.1156422676718043,0.6635103357919281
V1,Industrials,-5,148,72,48.648648648648646,0.12411071457429083,-0.055141839385342006,81,54.729729729729726,0.9582704250123999,0.628446020873985,81,54.729729729729726,1.1636500075781406,0.6635103357919281
V1,Industrials,0,142,69,48.59154929577465,0.13213579125920225,-0.055141839385342006,76,53.521126760563384,0.909410545067544,0.37283786670067043,76,53.521126760563384,1.1016023655929887,0.41406605828631093
V1,Industrials,5,128,62,48.4375,0.12038603469241319,-0.06012319116336928,71,55.46875,1.1255455888295922,0.6775486703499145,70,54.6875,1.2849811748952946,0.5041155138748699
V1,Industrials,10,119,59,49.57983193277311,0.1936109525041358,-0.03432918915832195,68,57.142857142857146,1.1935340288606864,0.8737798842713307,66,55.46218487394958,1.3571082570655693,0.5714178222734789
V1,Industrials,15,82,41,50.0,0.1885406305480948,-0.006032473975664532,47,57.31707317073171,0.9809738828980795,0.5065797636792824,45,54.8780487804878,0.6787608619512786,0.41406605828631093
V1,Industrials,20,45,23,51.111111111111114,0.06092964735362102,0.19686858897480786,28,62.22222222222222,1.2420625799014549,0.5354252095522982,27,60.0,1.1795866040212117,1.081337084610512
V1,Industrials,25,12,6,50.0,0.2758438003423902,0.20503651869227535,10,83.33333333333333,2.085433853236512,1.2662529577892268,7,58.333333333333336,0.5524975779179819,1.6951085345332517
V1,Industrials,30,4,1,25.0,-0.12273047054741082,-0.21827674270598618,3,75.0,0.7124333869696048,0.8576511687452548,4,100.0,3.293703234541956,2.842662932420692
V2,ALL,-15,292,163,55.821917808219176,0.46387350342975164,0.282830532229128,167,57.19178082191781,1.153128042005694,0.9633569832732114,156,53.42465753424658,1.2555500503633321,0.564874661589776
V2,ALL,-10,291,163,56.013745704467354,0.47707852655678806,0.2861360533047641,167,57.38831615120275,1.214941620791248,0.9865883658023877,156,53.608247422680414,1.2922530433470865,0.5714178222734789
V2,ALL,-5,288,161,55.90277777777778,0.4658686970093199,0.282830532229128,165,57.291666666666664,1.17680297283301,0.9633569832732114,154,53.47222222222222,1.2568170241667085,0.564874661589776
V2,ALL,0,267,153,57.30337078651685,0.477732268013771,0.29320789940883163,153,57.30337078651685,1.3168063610941383,0.8737798842713307,146,54.6816479400749,1.500532139076963,0.8024390505737999
V2,ALL,5,244,139,56.967213114754095,0.41621382046034566,0.2879717007378768,141,57.78688524590164,1.3291889707386142,0.9633569832732114,132,54.09836065573771,1.5081189210690136,0.7586830714846671
V2,ALL,10,225,129,57.333333333333336,0.43097253326075213,0.29320789940883163,134,59.55555555555556,1.3330671391662194,1.0246913262185409,123,54.666666666666664,1.4123928570092505,0.8024390505737999
V2,ALL,15,156,93,59.61538461538461,0.5817477105904167,0.46543043127572625,98,62.82051282051282,1.4243687941096892,1.1914018585611363,87,55.76923076923077,1.0687748730285327,0.7586830714846671
V2,ALL,20,87,53,60.91954022988506,0.5483936076301796,0.3523278112856243,60,68.96551724137932,1.5753557003792589,1.2236826043379834,56,64.36781609195403,1.6194542985601654,1.5685294770954261
V2,ALL,25,18,8,44.44444444444444,0.24937141451464306,-0.07829478239004817,15,83.33333333333333,1.6808861409420273,1.2662529577892268,12,66.66666666666667,1.240030711743859,1.7660270219986618
V2,ALL,30,7,3,42.857142857142854,0.5349137089337327,-0.10741123806390362,6,85.71428571428571,1.1631459179498196,1.2375680196842431,7,100.0,3.7620746326889796,3.6434633915607417
V2,Technology,-15,142,90,63.38028169014085,0.8361438049879619,0.7163501772790792,85,59.859154929577464,1.3650002727373622,1.0726994662956901,74,52.11267605633803,1.4033399616571993,0.4006600884952749
V2,Technology,-10,141,90,63.829787234042556,0.8660369399633222,0.7178711322876286,85,60.283687943262414,1.4940756178247943,1.1202081708234113,74,52.4822695035461,1.4801368472569612,0.558331500906073
