Profile,Sector,Rows,Foundation_Eligible,DMI_Dominance_Pass,Qualified,Qualified_D1_Positive,Qualified_D1_Positive_Rate_Pct,Qualified_D1_Mean_Return_Pct,Qualified_D1_Median_Return_Pct,Qualified_D5_Positive,Qualified_D5_Positive_Rate_Pct,Qualified_D5_Mean_Return_Pct,Qualified_D5_Median_Return_Pct,Qualified_D8_Positive,Qualified_D8_Positive_Rate_Pct,Qualified_D8_Mean_Return_Pct,Qualified_D8_Median_Return_Pct
V1,ALL,1200,301,292,87,53,60.91954022988506,0.5483936076301796,0.3523278112856243,60,68.96551724137932,1.5753557003792589,1.2236826043379834,56,64.36781609195403,1.6194542985601654,1.5685294770954261
V1,Technology,600,146,142,42,30,71.42857142857143,1.0706764222122067,0.7620843635879226,32,76.19047619047619,1.9324554723197631,1.797986229809112,29,69.04761904761905,2.0907411141376158,2.342169333537647
V1,Industrials,600,155,150,45,23,51.111111111111114,0.06092964735362102,0.19686858897480786,28,62.22222222222222,1.2420625799014549,0.5354252095522982,27,60.0,1.1795866040212117,1.081337084610512
V2,ALL,1200,301,292,87,53,60.91954022988506,0.5483936076301796,0.3523278112856243,60,68.96551724137932,1.5753557003792589,1.2236826043379834,56,64.36781609195403,1.6194542985601654,1.5685294770954261
V2,Technology,600,146,142,42,30,71.42857142857143,1.0706764222122067,0.7620843635879226,32,76.19047619047619,1.9324554723197631,1.797986229809112,29,69.04761904761905,2.0907411141376158,2.342169333537647
V2,Industrials,600,155,150,45,23,51.111111111111114,0.06092964735362102,0.19686858897480786,28,62.22222222222222,1.2420625799014549,0.5354252095522982,27,60.0,1.1795866040212117,1.081337084610512
V3,ALL,1200,301,292,157,90,57.32484076433121,0.45755750949530055,0.29700711094957644,97,61.78343949044586,1.3095279031253144,1.1598784869547574,89,56.68789808917197,1.112356723665576,0.8567378353139032
V3,Technology,600,146,142,74,50,67.56756756756756,0.9639809172639607,0.7856232381077799,48,64.86486486486487,1.7423059752949979,1.2787914584728832,41,55.4054054054054,1.407707950774454,0.8295884429438516
V3,Industrials,600,155,150,83,40,48.19277108433735,0.006047483291916716,-0.04917832671619271,49,59.036144578313255,0.9236775737210184,1.0120714273463172,48,57.83132530120482,0.8490315332311547,0.8831684056537004
