Profile,Sector,Rows,D1_Score_Spearman,D5_Score_Spearman,D8_Score_Spearman
V1,ALL,292,0.08335516138146365,0.08939258747726056,0.0758206819612932
V1,Technology,142,0.11118471361889994,0.10678945193616508,0.15169430413294746
V1,Industrials,150,0.05432203447540226,0.06286956337206012,-0.001233270743907922
V2,ALL,292,0.08335516138146365,0.08939258747726056,0.0758206819612932
V2,Technology,142,0.11118471361889994,0.10678945193616508,0.15169430413294746
V2,Industrials,150,0.05432203447540226,0.06286956337206012,-0.001233270743907922
V3,ALL,292,0.06594455197206922,0.08198207881920888,0.06887476750253763
V3,Technology,142,0.08482811811573057,0.052422516623924144,0.08939483615002035
V3,Industrials,150,0.05087521649178123,0.12333199338941112,0.06120989528391439
