Profile,Sector,Exact_Score,Rows,D1_Positive,D1_Positive_Rate_Pct,D1_Mean_Return_Pct,D1_Median_Return_Pct,D5_Positive,D5_Positive_Rate_Pct,D5_Mean_Return_Pct,D5_Median_Return_Pct,D8_Positive,D8_Positive_Rate_Pct,D8_Mean_Return_Pct,D8_Median_Return_Pct
V1,ALL,-15,1,0,0.0,-3.378788226537832,-3.378788226537832,0,0.0,-16.834623384590543,-16.834623384590543,0,0.0,-9.425020907909209,-9.425020907909209
V1,ALL,-10,3,2,66.66666666666667,1.5532221631137286,1.5086500394251967,2,66.66666666666667,4.876251824782104,3.0490680192555963,2,66.66666666666667,4.694110884663364,2.1597595426191996
V1,ALL,-5,21,8,38.095238095238095,0.3150318656670132,-0.8095503623340661,12,57.142857142857146,-0.6032401064870526,1.3977211541099654,8,38.095238095238095,-1.8418465796922423,-1.0350776511555249
V1,ALL,0,23,14,60.869565217391305,1.1303627551022835,0.7351749735824642,12,52.17391304347826,1.1854430239962215,0.5498701725007438,14,60.869565217391305,1.4200462779439054,1.8595006582454277
V1,ALL,5,19,10,52.63157894736842,0.24143958992921538,0.027498133568126804,7,36.8421052631579,1.283263291990658,-0.8585301162078118,9,47.36842105263158,2.641717048092523,0.0
V1,ALL,10,69,36,52.17391304347826,0.09008952364585836,0.09280600846506282,36,52.17391304347826,1.1266460062505488,0.14367459755559864,36,52.17391304347826,2.189268299052613,1.2068912503837348
V1,ALL,15,69,40,57.971014492753625,0.6238028838881071,0.48528289878648767,38,55.072463768115945,1.233993999248058,0.9865883658023877,31,44.927536231884055,0.3744399451843,-0.6185494829289984
V1,ALL,20,69,45,65.21739130434783,0.6263993971385805,0.5125422424696602,45,65.21739130434783,1.5478260202324496,1.2229252301675153,44,63.768115942028984,1.7184343646861586,1.2658215623466695
V1,ALL,25,11,5,45.45454545454545,0.0676626817024951,-0.04917832671619271,9,81.81818181818181,2.0103571919370684,2.3036631115117556,5,45.45454545454545,-0.3649063288575818,-0.3686650008100534
V1,ALL,30,7,3,42.857142857142854,0.5349137089337327,-0.10741123806390362,6,85.71428571428571,1.1631459179498196,1.2375680196842431,7,100.0,3.7620746326889796,3.6434633915607417
