Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF,Test Issue,MarketCap,Sector,Industry,Market Region
LOB$A,LOB$A,"Live Oak Bancshares, Inc. Depositary Shares, Each Representing a 1/40th Interest in a Share of 8.375% Fixed Rate Series A Non-Cumulative Perpetual Preferred Stock",NYSE, ,N,N,,,,USA
LOTWW,LOTWW,Lotus Technology Inc. - Warrants,NASDAQ,S,N,N,43983156,Industrials,Auto Manufacturing,USA
LPAAU,LPAAU,Launch One Acquisition Corp. - Unit,NASDAQ,G,N,N,,,,USA
LPAAW,LPAAW,Launch One Acquisition Corp. - Warrant,NASDAQ,G,N,N,0,Finance,Blank Checks,USA
LPBBU,LPBBU,Launch Two Acquisition Corp. - Unit,NASDAQ,G,N,N,0,Finance,Blank Checks,USA
LPBBW,LPBBW,Launch Two Acquisition Corp. - Warrant,NASDAQ,G,N,N,0,Finance,Blank Checks,USA
LPCVU,LPCVU,Launchpad Cadenza Acquisition Corp I - Unit,NASDAQ,G,N,N,0,Finance,Blank Checks,USA
LPCVW,LPCVW,Launchpad Cadenza Acquisition Corp I - Warrant,NASDAQ,G,N,N,0,,,USA
LTGRU,LTGRU,Long Table Growth Corp. - Units,NASDAQ,G,N,N,0,Finance,Blank Checks,USA
LTRYW,LTRYW,Sports Entertainment Gaming Global Corporation  - Warrant,NASDAQ,G,N,N,246417,Technology,Computer Software: Prepackaged Software,USA
LUCYW,LUCYW,"Innovative Eyewear, Inc. - Warrants",NASDAQ,S,N,N,409198,Health Care,Ophthalmic Goods,USA
LVWR-W,LVWR.W,"LiveWire Group, Inc. Warrants, each exercisable for one share of Common Stock at an exercise price of $11.50 per share",NYSE, ,N,N,,,,USA
LWACU,LWACU,LightWave Acquisition Corp. - Units,NASDAQ,G,N,N,,,,USA
LWACW,LWACW,LightWave Acquisition Corp. - Warrants,NASDAQ,G,N,N,0,Finance,Blank Checks,USA
LXP$C,LXP$C,LXP Industrial Trust 6.5% Series C Cumulative Convertible Preferred Stock,NYSE, ,N,N,,,,USA
LZM-W,LZM.W,Lifezone Metals Limited Warrants,NYSE, ,N,N,,,,USA
