ENGINE_NAME,PMDE vNext
VERSION,V_NEXT
RUN_TIMESTAMP,20260513_175330
INPUT_FILE,D:/Tools/StockCodeMaster/01_NASDAQ_Sector_Energy_Nuclear.csv
FILE_SYMBOL_COUNT,29
HARDCODED_SYMBOL_COUNT,0
FALLBACK_SYMBOL_COUNT,0
INPUT_WARNINGS,
ENGINE_MODE,SETUP_SCAN
FORCE_L2_ASSESSMENT,True
MACD_FAST,8
MACD_SLOW,21
MACD_SIGNAL,5
SETUP_PRICE_LOOKBACK_X,5
SETUP_PRICE_MIN_ADVANCE_PCT,0.5
SETUP_PRIMARY_TIMEFRAME,1d
SETUP_BRIDGE_TIMEFRAME,4h
SETUP_TRIGGER_TIMEFRAME,1h
SETUP_MACD_HISTOGRAM_RISING_STREAK,2
SETUP_REQUIRE_EMA200_BULL_ZONE,True
SETUP_REJECT_EXTENDED_UP,True
SETUP_REJECT_GAP_UP,False
SETUP_REJECT_HIGH_ATRP,False
SETUP_RSI_MIN,45
SETUP_RSI_MAX,78
SETUP_RSI_HEADROOM_FULL_SCORE_PCT,35
SETUP_RSI_HEADROOM_MIN_SCORE_PCT,10
SETUP_OUTPUT_ONLY_CONFIRMED,True
USE_LIVE_PRICE_FOR_DAILY,True
LIVE_PRICE_INTERVAL,1m
LIVE_PRICE_PERIOD,1d
LIVE_PRICE_PREPOST,False
DATA_PERIOD_1D,5y
DATA_PERIOD_4H,60d
DATA_PERIOD_1H,30d
ACTIVE_GENERIC_FACTS,EMA200|PRICE_CONTEXT|SESSION_CONTEXT

TOTAL_SYMBOLS,29
SUCCESS_COUNT,0
FAILED,29
FILTERED_OUT,0
RUN_MODE,SETUP_SCAN

Symbol,L1_State,L2_Hypothesis,Final_State,PMDE_Explanation
BWXT,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
CCJ,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
CEG,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
CEZCP,FAILED,FAILED,FAILED,No data for CEZCP
D,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
DNN,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
DYLAU,FAILED,FAILED,FAILED,No data for DYLAU
EU,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
FNUC,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
FORTUMFH,FAILED,FAILED,FAILED,No data for FORTUMFH
ISOCN,FAILED,FAILED,FAILED,No data for ISOCN
KAPLI,FAILED,FAILED,FAILED,No data for KAPLI
LEU,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
LTBR,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
NEE,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
NNE,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
NUCL,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
NXE,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
OKLO,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
PCG,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
PDNAU,FAILED,FAILED,FAILED,No data for PDNAU
PEG,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
SLXAU,FAILED,FAILED,FAILED,No data for SLXAU
SMR,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
UEC,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
URG,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
UUUU,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
VST,FAILED,FAILED,FAILED,name 'rsi_headroom' is not defined
YCALN,FAILED,FAILED,FAILED,No data for YCALN
