Run_ID,Engine_Version,Configuration_ID,Decision_Scope,Indicator_Set_ID,Indicator_Authority,Ticker,Evaluated_At_UTC,As_Of_Date,First_Price_Date,Bars_Used,Minimum_History_Bars,Data_Status,Foundation_Eligible,Foundation_State,Foundation_Reason,Close,EMA_Period,EMA_Value,MACD_Fast_Period,MACD_Slow_Period,MACD_Signal_Period,MACD_Line,MACD_Signal_Line,MACD_Histogram,RSI_Period,RSI,ADX_Period,ADX,DMI_Positive,DMI_Negative,True_Range,ATR_Period,ATR,ATR_Pct,OBV,OBV_EMA_Period,OBV_EMA,Aroon_Period,Aroon_Up,Aroon_Down,Price_Adjustment,D1_Entry_Date,D1_Exit_Date,D1_Return_Pct,D1_Positive,D5_Entry_Date,D5_Exit_Date,D5_Return_Pct,D5_Positive,D8_Entry_Date,D8_Exit_Date,D8_Return_Pct,D8_Positive
V8BASICFOUND_20260712T211044Z_513bf26,V8_BASIC_FOUNDATION_2,V8_BASIC_CALC_EMA_MACD_RSI_ADX_ATR_OBV_AROON_20260713,FOUNDATION_ONLY_NO_SCORE,V1_V3_RAW_INDICATORS_1,CALCULATION_ONLY,ANET,2026-07-12T21:10:44.049477+00:00,2026-04-30,2023-01-03,834,300,DATA_VALID,False,FOUNDATION_NOT_ELIGIBLE_MACD_POSITIVE_PULLBACK,"close is above EMA and MACD is positive, but MACD line is at or below signal line",172.7100067138672,200,133.10472949303337,8,21,5,9.936876142047282,10.997302478992287,-1.0604263369450049,14,65.20039165580165,14,29.743751805199786,35.174178938261285,19.46020375274681,5.82000732421875,14,6.617243493348321,3.83141869961899,894787900.0,20,869512071.2730825,14,71.42857142857143,7.142857142857142,UNADJUSTED_OHLC,2026-05-01,2026-05-01,-0.16764468218560813,False,2026-05-01,2026-05-07,-18.058849934193777,False,2026-05-01,2026-05-12,-17.602180033594205,False
V8BASICFOUND_20260712T211044Z_513bf26,V8_BASIC_FOUNDATION_2,V8_BASIC_CALC_EMA_MACD_RSI_ADX_ATR_OBV_AROON_20260713,FOUNDATION_ONLY_NO_SCORE,V1_V3_RAW_INDICATORS_1,CALCULATION_ONLY,ANET,2026-07-12T21:10:44.049477+00:00,2026-05-07,2023-01-03,839,300,DATA_VALID,False,FOUNDATION_NOT_ELIGIBLE_MACD_POSITIVE_PULLBACK,"close is above EMA and MACD is positive, but MACD line is at or below signal line",141.75,200,134.4503227248986,8,21,5,0.7809376576947216,5.361693407150661,-4.580755749455939,14,38.27898321970878,14,29.331699645500013,22.85487439981835,36.47527998834588,9.760009765625,14,8.347629295675137,5.8889801027690565,810399900.0,20,861816347.5538948,14,35.714285714285715,100.0,UNADJUSTED_OHLC,2026-05-08,2026-05-08,-0.6168872496847166,False,2026-05-08,2026-05-14,3.6172477272265358,True,2026-05-08,2026-05-19,-0.7500820968882382,False
V8BASICFOUND_20260712T211044Z_513bf26,V8_BASIC_FOUNDATION_2,V8_BASIC_CALC_EMA_MACD_RSI_ADX_ATR_OBV_AROON_20260713,FOUNDATION_ONLY_NO_SCORE,V1_V3_RAW_INDICATORS_1,CALCULATION_ONLY,ANET,2026-07-12T21:10:44.049477+00:00,2026-06-09,2023-01-03,861,300,DATA_VALID,False,FOUNDATION_NOT_ELIGIBLE_MACD_POSITIVE_PULLBACK,"close is above EMA and MACD is positive, but MACD line is at or below signal line",152.16000366210938,200,138.11038194825397,8,21,5,1.8884649883553664,3.4565239555727105,-1.5680589672173442,14,46.79069019806675,14,18.489896179316425,22.88881099352693,29.24344195481589,13.669998168945312,14,8.721025369131409,5.731483411697041,828799900.0,20,832981378.4134264,14,64.28571428571429,0.0,UNADJUSTED_OHLC,2026-06-10,2026-06-10,0.5033076204211451,True,2026-06-10,2026-06-16,11.26489702439466,True,2026-06-10,2026-06-22,15.602647389797175,True
V8BASICFOUND_20260712T211044Z_513bf26,V8_BASIC_FOUNDATION_2,V8_BASIC_CALC_EMA_MACD_RSI_ADX_ATR_OBV_AROON_20260713,FOUNDATION_ONLY_NO_SCORE,V1_V3_RAW_INDICATORS_1,CALCULATION_ONLY,MU,2026-07-12T21:10:44.049477+00:00,2026-04-08,2023-01-03,818,300,DATA_VALID,False,FOUNDATION_NOT_ELIGIBLE_MACD_EARLY_RECOVERY_BELOW_ZERO,"close is above EMA and MACD line is improving above signal, but remains at or below zero",406.7300109863281,200,277.7815605062676,8,21,5,-7.9434227633875025,-13.473367137904138,5.529944374516635,14,54.46940429323515,14,19.46056242670436,31.74894347116152,27.502135193122445,38.420013427734375,14,27.253944061246937,6.700745783463481,1141433200.0,20,1137519891.0853326,14,0.0,64.28571428571429,UNADJUSTED_OHLC,2026-04-09,2026-04-09,3.4101285330568443,True,2026-04-09,2026-04-15,11.92807521455368,True,2026-04-09,2026-04-20,10.012028542670116,True
V8BASICFOUND_20260712T211044Z_513bf26,V8_BASIC_FOUNDATION_2,V8_BASIC_CALC_EMA_MACD_RSI_ADX_ATR_OBV_AROON_20260713,FOUNDATION_ONLY_NO_SCORE,V1_V3_RAW_INDICATORS_1,CALCULATION_ONLY,MU,2026-07-12T21:10:44.049477+00:00,2026-04-30,2023-01-03,834,300,DATA_VALID,True,FOUNDATION_ELIGIBLE_BULLISH_POSITIVE_MACD,close is above EMA and MACD line is above both signal line and zero,517.1599731445312,200,306.51702299586,8,21,5,35.246585761297524,32.82543840067124,2.4211473606262857,14,67.90435233978818,14,26.65326601159797,32.2834469171587,17.066860836823196,32.920013427734375,14,27.65526578026001,5.347526339307618,1232655000.0,20,1207240885.569646,14,100.0,7.142857142857142,UNADJUSTED_OHLC,2026-05-01,2026-05-01,5.9459188061161905,True,2026-05-01,2026-05-07,26.34921380772233,True,2026-05-01,2026-05-12,49.78702155580497,True
V8BASICFOUND_20260712T211044Z_513bf26,V8_BASIC_FOUNDATION_2,V8_BASIC_CALC_EMA_MACD_RSI_ADX_ATR_OBV_AROON_20260713,FOUNDATION_ONLY_NO_SCORE,V1_V3_RAW_INDICATORS_1,CALCULATION_ONLY,MU,2026-07-12T21:10:44.049477+00:00,2026-05-07,2023-01-03,839,300,DATA_VALID,True,FOUNDATION_ELIGIBLE_BULLISH_POSITIVE_MACD,close is above EMA and MACD line is above both signal line and zero,646.6300048828125,200,321.5626469328341,8,21,5,68.69405255001402,56.61914424470384,12.074908305310181,14,77.49459927583513,14,35.469612080930446,43.913005114441546,9.42225286264954,47.6700439453125,14,34.582255243735446,5.348074630406723,1391380800.0,20,1270522345.494569,14,100.0,7.142857142857142,UNADJUSTED_OHLC,2026-05-08,2026-05-08,10.401357688205405,True,2026-05-08,2026-05-14,14.71801253041043,True,2026-05-08,2026-05-19,3.295140457551171,True
V8BASICFOUND_20260712T211044Z_513bf26,V8_BASIC_FOUNDATION_2,V8_BASIC_CALC_EMA_MACD_RSI_ADX_ATR_OBV_AROON_20260713,FOUNDATION_ONLY_NO_SCORE,V1_V3_RAW_INDICATORS_1,CALCULATION_ONLY,MU,2026-07-12T21:10:44.049477+00:00,2026-06-09,2023-01-03,861,300,DATA_VALID,False,FOUNDATION_NOT_ELIGIBLE_MACD_POSITIVE_PULLBACK,"close is above EMA and MACD is positive, but MACD line is at or below signal line",935.8900146484376,200,428.7086231266265,8,21,5,84.62734806104345,102.14361206623053,-17.516264005187082,14,59.56380423971182,14,35.77855102077441,27.387150930552888,26.749636101785633,134.8000488281249,14,72.92174099647038,7.7916998637775885,1617564600.0,20,1575010719.5222178,14,71.42857142857143,0.0,UNADJUSTED_OHLC,2026-06-10,2026-06-10,-1.4638781090585251,False,2026-06-10,2026-06-16,12.77496097345523,True,2026-06-10,2026-06-22,33.83491855842857,True
V8BASICFOUND_20260712T211044Z_513bf26,V8_BASIC_FOUNDATION_2,V8_BASIC_CALC_EMA_MACD_RSI_ADX_ATR_OBV_AROON_20260713,FOUNDATION_ONLY_NO_SCORE,V1_V3_RAW_INDICATORS_1,CALCULATION_ONLY,QCOM,2026-07-12T21:10:44.049477+00:00,2026-04-08,2023-01-03,818,300,DATA_VALID,False,FOUNDATION_NOT_ELIGIBLE_BELOW_OR_AT_EMA,close is at or below the configured long-term EMA,127.51000213623048,200,153.57588135001328,8,21,5,-3.0286527206787497,-3.256830943567226,0.22817822288847633,14,40.18650190216931,14,33.88645833929882,17.15504627403665,24.39828592398734,4.819999694824219,14,3.8570333946843087,3.024886934409656,211464100.0,20,248382245.3363232,14,21.428571428571427,92.85714285714286,UNADJUSTED_OHLC,2026-04-09,2026-04-09,0.38503681875234896,True,2026-04-09,2026-04-15,4.549741331395851,True,2026-04-09,2026-04-20,8.062236338207217,True
V8BASICFOUND_20260712T211044Z_513bf26,V8_BASIC_FOUNDATION_2,V8_BASIC_CALC_EMA_MACD_RSI_ADX_ATR_OBV_AROON_20260713,FOUNDATION_ONLY_NO_SCORE,V1_V3_RAW_INDICATORS_1,CALCULATION_ONLY,QCOM,2026-07-12T21:10:44.049477+00:00,2026-04-30,2023-01-03,834,300,DATA_VALID,True,FOUNDATION_ELIGIBLE_BULLISH_POSITIVE_MACD,close is above EMA and MACD line is above both signal line and zero,179.5800018310547,200,151.74896923804278,8,21,5,10.718311506722614,6.798670542893148,3.9196409638294663,14,87.39539717104904,14,30.925073208475652,59.697288286435565,10.10449224110649,30.889999389648438,14,7.220854769023172,4.020968201022968,415313500.0,20,293693711.1249488,14,100.0,7.142857142857142,UNADJUSTED_OHLC,2026-05-01,2026-05-01,-1.1835037783667124,False,2026-05-01,2026-05-07,13.074302199827859,True,2026-05-01,2026-05-12,17.40634836479755,True
V8BASICFOUND_20260712T211044Z_513bf26,V8_BASIC_FOUNDATION_2,V8_BASIC_CALC_EMA_MACD_RSI_ADX_ATR_OBV_AROON_20260713,FOUNDATION_ONLY_NO_SCORE,V1_V3_RAW_INDICATORS_1,CALCULATION_ONLY,QCOM,2026-07-12T21:10:44.049477+00:00,2026-05-07,2023-01-03,839,300,DATA_VALID,True,FOUNDATION_ELIGIBLE_BULLISH_POSITIVE_MACD,close is above EMA and MACD line is above both signal line and zero,202.5500030517578,200,153.39810199764358,8,21,5,19.71715644867419,15.70776065006801,4.009395798606178,14,82.60528561584951,14,42.570715603461586,54.42181849003771,6.877539161105366,36.02000427246091,14,10.916231242376895,5.389400680279159,486596700.0,20,344863749.76548684,14,100.0,28.57142857142857,UNADJUSTED_OHLC,2026-05-08,2026-05-08,2.8591532102772987,True,2026-05-08,2026-05-14,-6.065726839880425,False,2026-05-08,2026-05-19,-8.164318962276251,False
