Ticker,Action_Rank,Action_Status,Long_Term_Status,Entry_Timing_Status,Classification_Reason,Market_State,Live_Price,Regular_Market_Price,PreMarket_Price,PostMarket_Price,Extended_Hours_Change_Pct,Close,Score,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Stage_Score,Weekly_Stage,Weekly_Close,Weekly_SMA_30,Weekly_SMA_30_Slope_Pct_10W,EMA_20,EMA_50,EMA_150,EMA_200,EMA_200_Slope_Pct_50D,Return_63D_Pct,Return_126D_Pct,Return_252D_Pct,Benchmark_Return_126D_Pct,RS_126D_Excess_Pct,RS_Ratio,RS_SMA_50,RS_SMA_200,RS_Slope_Pct_50D,Return_5D_Pct,Return_10D_Pct,High_20D,High_55D,High_100D,High_252D,Distance_From_20D_High_Pct,Distance_From_52W_High_Pct,Lower_High_Day,Lower_Low_Day,Close_Below_EMA20,ATR_14,ATR_Pct,Volume,Volume_Avg_50,Accumulation_Days_50,Distribution_Days_50,Net_Accumulation_50,Latest_Distribution_Day,Daily_Change_Pct,Last_3H_Return_Pct,Bearish_1H_Candles_Last3,Last_1H_Bearish
EXTR,1,Actionable Momentum Candidate,Momentum Candidate,Clean,lower high and lower low,REGULAR,32.135,32.135,,,,32.1349983215332,100,30,25,14,15,7,15,Stage 2,31.739999771118164,19.18366673787435,14.504288339139237,30.400640348251383,26.756868798450075,21.544108671492438,20.564981781285297,24.360986107101603,113.09680692382736,89.92315707230102,79.02505267788548,8.458371777009122,81.4647852952919,0.043074622002672015,0.035424261304369355,0.02782531834072401,66.91002359581732,3.8958875023217487,1.9834912348826172,33.099998474121094,33.099998474121094,33.099998474121094,33.099998474121094,-2.9154084503730915,2.915408450373091,True,True,False,1.3648571286882674,4.247260619191307,151617,2721282.34,14.0,4.0,10.0,False,-0.7259827559650711,0.20267640016589095,0,False
PANW,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,349.485,349.485,,,,349.4849853515625,100,30,25,20,15,10,15,Stage 2,304.20001220703125,197.6009999593099,8.063328027197493,294.3164414450816,257.6819615538101,215.48649866486346,208.61827076913457,16.613104048369685,117.99212162259396,87.04039279396463,70.78038819093202,8.458371777009122,78.58202101695551,0.4684591388181432,0.33576798892158954,0.2890243098112327,95.8046425567306,22.514538802233773,24.860662012308875,352.94000244140625,352.94000244140625,352.94000244140625,352.94000244140625,-0.9789247651000754,0.9789247651000792,False,False,False,13.052862984793526,3.7348851973320314,1271095,8152263.9,16.0,4.0,12.0,False,2.48225811113707,2.2573617788461675,0,False
ZD,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,52.93,52.93,,,,52.93000030517578,100,30,25,20,11,10,15,Stage 2,50.41999816894531,40.02733300526937,9.56686725823348,47.96755264506688,45.70884788257759,41.76086951895128,41.04129036522093,8.0052218223289,26.14395009546744,48.01454918778201,74.85959532451957,8.458371777009122,39.55617741077289,0.07094880581397156,0.06186104926923216,0.05617697849314468,6.261276209178601,9.858862536141832,15.14030650349023,53.310001373291016,53.310001373291016,53.310001373291016,53.310001373291016,-0.7128138404168594,0.712813840416856,False,False,False,1.7814279283796037,3.3656299227442212,57662,625805.24,6.0,4.0,2.0,False,1.0693171371253696,1.069315075760513,1,False
HLIT,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,16.16,16.16,,,,16.15999984741211,95,30,25,8,10,7,15,Stage 2,14.899999618530273,11.14966672261556,12.188496071279232,14.946559903031611,13.747827878944765,11.834824895763605,11.480317945384202,15.21573326686081,79.95546404435245,61.76176394049453,70.64413296455243,8.458371777009122,53.30339216348541,0.02166130142673998,0.018429527702282286,0.015677523707833697,41.75251173314223,11.141677371453195,9.1891867510153,16.489999771118164,17.68000030517578,17.68000030517578,17.68000030517578,-2.00121242138549,8.597287508635931,True,False,False,0.7700000490461077,4.764851833642912,201047,3338274.94,11.0,7.0,4.0,False,-1.0410292534487886,-0.8698435300880325,1,False
FROG,3,Downgraded - Wait,Watchlist Candidate,Wait - Last Hour Bearish,last 3H selling | last 1H bearish,REGULAR,90.575,90.575,,,,90.41999816894531,100,30,25,14,15,7,15,Stage 2,87.58000183105469,58.55316696166992,12.074559684179299,82.01591468870089,72.8786393647086,60.533215631123625,57.65356160008622,19.686434405627896,92.66992878960866,36.87556995251897,106.06197804914754,8.458371777009122,28.417198175509853,0.1212014142225662,0.09531773066624107,0.08159489037036233,88.53788443332,17.949378880133125,15.214060016928933,93.12000274658203,93.12000274658203,93.12000274658203,93.12000274658203,-2.8994893664087917,2.8994893664087895,True,False,False,4.740893227713449,5.243191023799097,465328,3027656.56,8.0,3.0,5.0,False,-0.5061609797257782,-1.0180644018113694,1,True
MXL,4,Rejected - Distribution Risk,Avoid,Failed - Distribution Risk,distribution cluster,REGULAR,119.35,119.35,,,,119.42500305175781,91,30,25,8,10,3,15,Stage 2,96.5999984741211,41.397333240509035,137.9795356687537,95.78794670653863,80.80773924384837,51.267343465263934,44.396982747997946,156.9830676102291,586.7452975463972,579.3231147328795,740.4292943783215,8.458371777009122,570.8647429558704,0.1600805082561767,0.11441801953224431,0.0478781360849836,257.5551678481455,40.51653847925041,41.51558705474632,128.3000030517578,128.3000030517578,128.3000030517578,128.3000030517578,-6.917380973420329,6.9173809734203315,True,False,False,11.02999986921038,9.235921781329214,1192502,5774080.04,18.0,8.0,10.0,False,-6.721077723645608,-4.840635018519668,2,False
BB,5,Avoid,Avoid,Clean,distribution cluster,REGULAR,13.5,13.5,,,,13.494999885559082,100,30,25,20,5,7,15,Stage 2,11.399999618530273,5.08966666062673,27.731302454343343,10.061794852687399,8.261195038744452,5.98433379548193,5.544357144519711,44.37777108560981,316.5123409209064,247.80926514234446,194.65065743143435,8.458371777009122,239.35089336533534,0.018089063306626785,0.010677785199844296,0.007115439130364628,133.09237121308195,56.554525112778634,47.16466492127975,13.550000190734863,13.550000190734863,13.550000190734863,13.550000190734863,-0.4059063055466883,0.4059063055466894,False,False,False,0.8798715727669852,6.519982069125694,9740703,35177774.06,21.0,11.0,10.0,False,6.679844209568309,7.701515447398899,2,False
BLZE,5,Avoid,Avoid,Clean,weekly Stage 1/3,REGULAR,16.34,16.34,,,,16.34000015258789,93,30,25,20,15,3,0,Stage 1/3,14.5600004196167,5.440333358446757,-0.4817067130043817,11.150335458426646,8.639345519368797,6.643338601076142,6.453299829978333,22.762830774465435,373.62318628251467,241.84099237190262,197.09091186523438,8.458371777009122,233.3826205948935,0.021902578710411628,0.010744177943613932,0.009068664648611705,275.85458866427064,36.50793473744678,97.10494846534937,16.5049991607666,16.5049991607666,16.5049991607666,16.5049991607666,-0.999691103110889,0.9996911031108909,False,False,False,1.2807140350341797,7.837907117958889,715860,3569349.2,12.0,4.0,8.0,False,3.0264849073219136,3.0264826770989295,2,False
OUST,5,Avoid,Avoid,Clean,distribution cluster,REGULAR,62.39,62.39,,,,62.38999938964844,89,30,25,14,5,0,15,Stage 2,42.02000045776367,26.734666760762533,12.788637356398391,46.30865936090998,39.024442680514696,30.36043903483297,28.414843715790727,29.78030872628963,239.62981240806545,191.81478876826756,157.27834799855026,8.458371777009122,183.35641699125844,0.08362924477438789,0.05048594740944176,0.03974490181601151,118.38510405064686,53.25473051519873,46.00982929564332,63.790000915527344,63.790000915527344,63.790000915527344,63.790000915527344,-2.194703724385949,2.1947037243859437,True,False,False,6.455286026000977,10.346667878108711,1361776,4951291.52,23.0,11.0,12.0,False,-0.20793516820758473,2.278687524013834,1,False
TENB,5,Avoid,Avoid,Clean,weekly Transition,REGULAR,38.255,38.255,,,,38.2599983215332,71,17,12,20,10,7,5,Transition,30.219999313354492,22.593000157674155,-4.7633097853539645,29.512465331624398,26.28434445025588,24.717663745096743,25.41979035769079,0.9708535477838787,126.12292050245335,59.74946598221922,13.262284500087173,8.458371777009122,51.2910942052101,0.05128473787467367,0.034230817674454767,0.03532701994429637,86.20141942466041,37.034377567995236,42.124807626673764,38.30500030517578,38.30500030517578,38.30500030517578,38.30500030517578,-0.11748331362497755,0.11748331362497717,False,False,False,1.8207862036568778,4.75898139972504,555768,3550519.36,14.0,7.0,7.0,False,3.741857954041805,2.932467908348668,1,False
ASTS,5,Avoid,Avoid,Clean,weekly Transition | distribution cluster,REGULAR,87.835,87.835,,,,87.86000061035156,51,30,8,0,5,3,5,Transition,71.44999694824219,87.82183303833008,7.285802863836088,84.55026617260457,87.25966331772541,82.99720756104533,78.7789969143975,7.0294062867297225,6.02147664822581,22.932697788874034,88.01626679011711,8.458371777009122,14.474326011864912,0.11776992416736685,0.11698975055711223,0.11824544041014694,3.0443175377845577,29.186881121338114,6.820669435077886,114.33999633789062,133.86000061035156,133.86000061035156,133.86000061035156,-23.158996480362816,34.3642610116967,False,False,False,8.495214189801898,9.669034976993844,3222875,23616847.5,18.0,14.0,4.0,False,-1.125365736136974,0.4688400347073296,1,False
QBTS,5,Avoid,Avoid,Clean,weekly Transition | not outperforming SPY | distribution cluster,REGULAR,24.115,24.115,,,,24.1200008392334,48,30,0,0,10,3,5,Transition,22.760000228881836,22.216666603088377,-8.33448023020038,24.077126135195865,23.238703263034505,22.01729227517961,21.357321333439508,7.2207005677018765,67.15176943261734,-7.762901754913942,64.7541002294746,8.458371777009122,-16.221273531923064,0.032331102322103386,0.031654698756813156,0.03497526433845052,5.788079648848776,4.960841251984327,0.7518809572276686,29.950000762939453,31.549999237060547,31.549999237060547,46.75,-19.465775543218612,48.40641531714781,True,True,False,2.095428330557687,8.687513506008177,4891140,34521536.8,12.0,8.0,4.0,False,0.541896912695039,0.6049218653240152,1,False
TOST,5,Avoid,Avoid,Clean,below EMA200 | weekly Stage 4 | not outperforming SPY | distribution cluster,REGULAR,28.68,28.68,,,,28.68000030517578,1,0,0,0,1,10,-10,Stage 4,27.079999923706055,28.984666442871095,-10.795367144704915,25.991007479250065,26.02175384323841,29.02814812406256,30.217706983595654,-8.714922476169884,8.18559056038708,-21.446174681797704,-35.2449769421408,8.458371777009122,-29.904546458806827,0.03844344909625075,0.03515891760477059,0.045331963553728996,-6.6290615754749265,10.22290469106597,14.399683503374195,28.829999923706055,30.360000610351562,31.049999237060547,49.65999984741211,-0.5202900413708744,42.24728072231285,False,False,False,1.1392854963030135,3.972404059205713,1551470,13018907.4,12.0,11.0,1.0,False,3.0913034499837178,2.064058025536575,0,False
