Stock_Code,Provider,Source_URL,ETF_Ticker,ETF_Name,ETF_Exchange_Provider,Listing_Exchange_Local,Holding_Weight_Pct_Direct,Top10_Evidence,Top10_Proof_Threshold_Pct,Validation_URL,Validation_HTTP_Status,Validation_Latency_Ms,Validation_HTML_SHA256,Validation_As_Of_Date,Validation_Freshness_Age_Days,Validation_Freshness_Max_Days,Validation_Freshness_Pass,Validation_Top10_Match,Validation_Rank,Validation_Weight_Pct,Validation_Status
NVDA,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-NVDA/etfs/,SMH,VanEck Semiconductor ETF,NASDAQ,NASDAQ,19.2,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/NASDAQ-SMH/holdings/,200,549.1119000071194,5077ca7fe539d5afdb2bcfaf4f530ff2b6ac19b6fef4e06c3758dd254709a5b3,2026-07-09,2,60,True,True,1,19.199895523771367,PASS
NVDA,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-NVDA/etfs/,VGT,Vanguard Information Tech ETF,AMEX,NYSE ARCA,16.77,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-VGT/holdings/,200,462.5104000006104,fdd6b5499afee0f379023d044b515567b9f583579fe0cc6fcf5714c712d1b139,2026-05-29,43,60,True,True,1,16.770390521284686,PASS
NVDA,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-NVDA/etfs/,FTEC,Fidelity MSCI Information Technology Index ETF,AMEX,NYSE ARCA,16.6,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-FTEC/holdings/,200,479.9860000057379,2b3e65ed0bc0b164aa54597bea20fc9f60930ab859f84ab50d250ba6fd6fe2eb,2026-07-09,2,60,True,True,1,16.600810133124124,PASS
AAPL,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-AAPL/etfs/,FTEC,Fidelity MSCI Information Technology Index ETF,AMEX,NYSE ARCA,15.94,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-FTEC/holdings/,200,118.13939998683054,2b3e65ed0bc0b164aa54597bea20fc9f60930ab859f84ab50d250ba6fd6fe2eb,2026-07-09,2,60,True,True,2,15.943418686483572,PASS
AAPL,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-AAPL/etfs/,VGT,Vanguard Information Tech ETF,AMEX,NYSE ARCA,15.25,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-VGT/holdings/,200,139.8951000010129,fdd6b5499afee0f379023d044b515567b9f583579fe0cc6fcf5714c712d1b139,2026-05-29,43,60,True,True,2,15.253377165639124,PASS
AAPL,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-AAPL/etfs/,IYW,iShares U.S. Technology ETF,AMEX,NYSE ARCA,12.78,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-IYW/holdings/,200,454.48869999381714,b9c6bc1cbc9adbcd1f69893e0227a2256e60d7c853fb0ca32106055afac908eb,2026-07-10,1,60,True,True,2,12.783181450591728,PASS
MSFT,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-MSFT/etfs/,VGT,Vanguard Information Tech ETF,AMEX,NYSE ARCA,9.87,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-VGT/holdings/,200,125.44750000233762,fdd6b5499afee0f379023d044b515567b9f583579fe0cc6fcf5714c712d1b139,2026-05-29,43,60,True,True,3,9.867849348691337,PASS
MSFT,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-MSFT/etfs/,VOOG,Vanguard S&P 500 Growth ETF,AMEX,NYSE ARCA,9.28,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-VOOG/holdings/,200,467.05479999945965,a2c9faf1044d6f8896505390221128ceb2832dab2e6c40f1e72f54475b111bd4,2026-05-29,43,60,True,True,2,9.28016459735033,PASS
TSLA,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-TSLA/etfs/,XLY,State Street Consumer Discretionary Select Sector SPDR ETF,AMEX,NYSE ARCA,19.05,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-XLY/holdings/,200,452.96110000344925,4c2f4e60b600b843b8681a87b39213ad513a725b2a84def4cac44487a16767fc,2026-07-09,2,60,True,True,2,19.049876744900548,PASS
TSLA,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-TSLA/etfs/,VCR,Vanguard Consumer Discretion ETF,AMEX,NYSE ARCA,17.67,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-VCR/holdings/,200,468.1356999935815,34deb7a04c0ec12a8ac84199c2a40205829c31628e24b9b47e6a5b229f011312,2026-05-29,43,60,True,True,2,17.668595253549494,PASS
TSLA,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-TSLA/etfs/,ARKK,ARK Innovation ETF,CBOE,BATS,10.37,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/CBOE-ARKK/holdings/,200,442.9525999876205,c79105f92eb81997f01b25fe57978940a7e57005d02ea80e50055b22e452614a,2026-07-10,1,60,True,True,1,10.372659923255332,PASS
AMZN,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-AMZN/etfs/,XLY,State Street Consumer Discretionary Select Sector SPDR ETF,AMEX,NYSE ARCA,23.11,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-XLY/holdings/,200,131.79240000317805,4c2f4e60b600b843b8681a87b39213ad513a725b2a84def4cac44487a16767fc,2026-07-09,2,60,True,True,1,23.112387713768367,PASS
AMZN,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-AMZN/etfs/,VCR,Vanguard Consumer Discretion ETF,AMEX,NYSE ARCA,22.14,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-VCR/holdings/,200,139.1548999963561,34deb7a04c0ec12a8ac84199c2a40205829c31628e24b9b47e6a5b229f011312,2026-05-29,43,60,True,True,1,22.13661099897336,PASS
META,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-META/etfs/,VOX,Vanguard Communication Services ETF,AMEX,NYSE ARCA,22.12,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-VOX/holdings/,200,472.72910000174306,9f28c3a38767f6765e83e7f5984da15e68c00c0d05b31d8e2f01d448fdfd8114,2026-05-29,43,60,True,True,1,22.119507431101447,PASS
META,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-META/etfs/,XLC,State Street Communication Services Select Sector SPDR ETF,AMEX,NYSE ARCA,18.38,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-XLC/holdings/,200,509.54149999597576,77e1fe76d8d03af6749880f2fb3504c29312b8a69a23de5a9fc8b3d66308fa5e,2026-07-09,2,60,True,True,1,18.383937671798765,PASS
META,TRADINGVIEW_PUBLIC_STOCK_ETF_PAGE,https://www.tradingview.com/symbols/NASDAQ-META/etfs/,FDN,First Trust DJ Internet Index Fund,AMEX,NYSE ARCA,11.19,WEIGHT_GT_100_DIV_11_NON_LEVERAGED_US_ETF,9.090909090909092,https://www.tradingview.com/symbols/AMEX-FDN/holdings/,200,632.6315000042086,7970935101ea0028aec06510a85ebb3f3233c630cc6c250b77dcc88227d81c8e,2026-07-10,1,60,True,True,1,11.188953145771729,PASS
