Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF, MarketCap ,TrailingPE,ForwardPE,Sector,Industry
THR,THR,"Thermon Group Holdings, Inc. Common Stock",N, ,N,"2,24,05,87,454.00",,,Energy,Industrial Machinery/Components
SOC,SOC,Sable Offshore Corp. Common Stock,N, ,N,"2,13,02,08,158.00",,,Energy,Oil & Gas Production
PUMP,PUMP,ProPetro Holding Corp. Common Stock,N, ,N,"2,05,01,55,839.00",,,Energy,Oilfield Services/Equipment
BORR,BORR,Borr Drilling Limited Common Shares,N, ,N,"1,90,62,08,160.00",,,Energy,Oil & Gas Production
XPRO,XPRO,Expro Group Holdings N.V. Common Stock,N, ,N,"1,80,52,52,905.00",,,Energy,Oilfield Services/Equipment
KOS,KOS,Kosmos Energy Ltd. Common Shares (DE),N, ,N,"1,74,99,08,358.00",,,Energy,Oil & Gas Production
RES,RES,"RPC, Inc. Common Stock",N, ,N,"1,57,25,21,149.00",,,Energy,Oilfield Services/Equipment
HLX,HLX,"Helix Energy Solutions Group, Inc. Common Stock",N, ,N,"1,49,06,36,451.00",,,Energy,Oilfield Services/Equipment
TTI,TTI,"Tetra Technologies, Inc. Common Stock",N, ,N,"1,45,27,34,550.00",,,Energy,Oil & Gas Production
WKC,WKC,World Kinect Corporation Common Stock,N, ,N,"1,43,82,09,405.00",,,Energy,Oil Refining/Marketing
ACDC,ACDC,ProFrac Holding Corp. - Class A Common Stock,Q,Q,N,"1,29,08,69,573.00",,,Energy,Oilfield Services/Equipment
PBT,PBT,Permian Basin Royalty Trust Common Stock,N, ,N,"1,28,68,68,858.00",,,Energy,Oil & Gas Production
BLDP,BLDP,"Ballard Power Systems, Inc. - Common Shares",Q,G,N,"1,22,85,14,085.00",,,Energy,Industrial Machinery/Components
PDS,PDS,Precision Drilling Corporation Common Stock,N, ,N,"1,20,90,35,440.00",,,Energy,Oil & Gas Production
SBR,SBR,Sabine Royalty Trust Common Stock,N, ,N,"1,11,98,38,032.00",,,Energy,Oil & Gas Production
FCEL,FCEL,"FuelCell Energy, Inc. - Common Stock",Q,G,N,"1,07,78,34,684.00",,,Energy,Industrial Machinery/Components
METC,METC,"Ramaco Resources, Inc. - Class A Common Stock",Q,Q,N,"98,87,02,672.00",,,Energy,Coal Mining
INR,INR,"Infinity Natural Resources, Inc. Class A Common Stock",N, ,N,"96,79,07,537.00",,,Energy,Oil & Gas Production
TBN,TBN,Tamboran Resources Corporation Common stock,N, ,N,"91,56,69,745.00",,,Energy,Oil & Gas Production
HNRG,HNRG,Hallador Energy Company - Common Stock,Q,S,N,"90,20,75,703.00",,,Energy,Coal Mining
OBE,OBE,Obsidian Energy Ltd. Common Shares,A, ,N,"88,99,26,533.00",,,Energy,Oil & Gas Production
HPK,HPK,"HighPeak Energy, Inc. - Common Stock",Q,G,N,"85,67,07,945.00",,,Energy,Oil & Gas Production
REPX,REPX,"Riley Exploration Permian, Inc. Common Stock",A, ,N,"79,06,00,309.00",,,Energy,Oil & Gas Production
