"Ticker","Symbol","Security Name","Listing Exchange","Market Category","ETF","MarketCap ","TrailingPE","ForwardPE","Sector","Industry"
"HUBG","HUBG","Hub Group, Inc. - Class A Common Stock","Q","Q","N","2,31,37,43,051.00","","","Industrials","Integrated Freight & Logistics"
"DCO","DCO","Ducommun Incorporated Common Stock","N","","N","2,30,58,27,693.00","","","Industrials","Military/Government/Technical"
"COHU","COHU","Cohu, Inc. - Common Stock","Q","Q","N","2,27,57,38,739.00","","","Industrials","Electrical Products"
"WERN","WERN","Werner Enterprises, Inc. - Common Stock","Q","Q","N","2,23,58,39,539.00","","","Industrials","Trucking Freight/Courier Services"
"PCT","PCT","PureCycle Technologies, Inc. - Common stock","Q","S","N","2,21,73,87,123.00","","","Industrials","Major Chemicals"
"OUST","OUST","Ouster, Inc. - Common Stock","Q","Q","N","2,17,96,09,247.00","","","Industrials","Industrial Machinery/Components"
"VOYG","VOYG","Voyager Technologies, Inc. Class A Common Stock","N","","N","2,12,69,18,456.00","","","Industrials","Military/Government/Technical"
"WS","WS","Worthington Steel, Inc. Common Shares","N","","N","2,05,48,62,340.00","","","Industrials","Steel/Iron Ore"
"GRC","GRC","Gorman-Rupp Company (The) Common Stock","N","","N","2,01,45,73,336.00","","","Industrials","Fluid Controls"
"BAK","BAK","Braskem SA ADR","N","","N","2,00,29,84,683.00","","","Industrials","Major Chemicals"
"IOSP","IOSP","Innospec Inc. - Common Stock","Q","Q","N","1,98,03,36,179.00","","","Industrials","Major Chemicals"
"TSAT","TSAT","Telesat Corporation - Class A Common Shares and Class B Variable Voting Shares","Q","Q","N","1,94,91,85,718.00","","","Industrials","Metal Fabrications"
"CYD","CYD","China Yuchai International Limited Common Stock","N","","N","1,91,90,62,170.00","","","Industrials","Industrial Machinery/Components"
"ALG","ALG","Alamo Group, Inc. Common Stock","N","","N","1,85,97,48,702.00","","","Industrials","Industrial Machinery/Components"
"SID","SID","Companhia Siderurgica Nacional S.A. Common Stock","N","","N","1,73,71,83,071.00","","","Industrials","Steel/Iron Ore"
"PLPC","PLPC","Preformed Line Products Company - Common Stock","Q","Q","N","1,73,52,44,260.00","","","Industrials","Water Sewer Pipeline Comm & Power Line Construction"
"NWL","NWL","Newell Brands Inc. - Common Stock","Q","Q","N","1,72,30,82,115.00","","","Industrials","Plastic Products"
"PRLB","PRLB","Proto Labs, Inc. Common stock","N","","N","1,69,96,08,634.00","","","Industrials","Metal Fabrications"
"FMC","FMC","FMC Corporation Common Stock","N","","N","1,69,56,14,282.00","","","Industrials","Major Chemicals"
"ECVT","ECVT","Ecovyst Inc. Common Stock","N","","N","1,63,41,40,516.00","","","Industrials","Major Chemicals"
