"Ticker","Symbol","Security Name","Listing Exchange","Market Category","ETF","MarketCap","TrailingPE","ForwardPE","Sector","Industry"
"PMTV","PMTV","PennyMac Mortgage Investment Trust 9.00% Senior Notes due 2030","N","","N","0","","","Real Estate","Real Estate Investment Trusts"
"PALOW","PALOW","Paloma Acquisition Corp I - Warrants","Q","G","N","0","","","Finance","Blank Checks"
"PMTR","PMTR","Perimeter Acquisition Corp. I - Class A Ordinary Shares","Q","G","N","0","","","Finance","Blank Checks"
"GECCG","GECCG","Great Elm Capital Corp. - 7.75% Notes Due 2030","Q","G","N","0","","","Finance","Finance: Consumer Services"
"OYSER","OYSER","Oyster Enterprises II Acquisition Corp - Rights","Q","G","N","0","","","Finance","Blank Checks"
"PMTW","PMTW","PennyMac Mortgage Investment Trust 9.00% Senior Notes due 2030","N","","N","0","","","Real Estate","Real Estate Investment Trusts"
"GOF","GOF","Guggenheim Strategic Opportunities Fund Common Shares of Beneficial Interest","N","","N","0","","","Finance","Finance/Investors Services"
"BCARW","BCARW","D. Boral ARC Acquisition I Corp. - Warrant","Q","G","N","0","","","Finance","Blank Checks"
"PONOR","PONOR","Pono Capital Four, Inc. - Rights","Q","G","N","0","","","Finance","Blank Checks"
"OXSQH","OXSQH","Oxford Square Capital Corp. - 7.75% Notes due 2030","Q","Q","N","0","","","Finance","Blank Checks"
"PNI","PNI","Pimco New York Municipal Income Fund II Common Shares of Beneficial Interest","N","","N","0","","","Finance","Trusts Except Educational Religious and Charitable"
"PONO","PONO","Pono Capital Four, Inc. - Class A Ordinary Shares","Q","G","N","0","","","Finance","Blank Checks"
"SVACU","SVACU","Spring Valley Acquisition Corp. III - Unit","Q","G","N","0","","","Finance","Blank Checks"
"WPAC","WPAC","White Pearl Acquisition Corp. Class A Ordinary Shares","N","","N","0","","","Finance","Blank Checks"
"OYSE","OYSE","Oyster Enterprises II Acquisition Corp - Class A Ordinary Shares","Q","G","N","0","","","Finance","Blank Checks"
"SVAC","SVAC","Spring Valley Acquisition Corp. III - Class A Ordinary Shares","Q","G","N","0","","","Finance","Blank Checks"
"DMAAR","DMAAR","Drugs Made In America Acquisition Corp. - Rights","Q","G","N","0","","","Finance","Blank Checks"
"DBCA","DBCA","D. Boral Acquisition I Corp. - Class A Ordinary Shares","Q","G","N","0","","","Finance","Blank Checks"
"PML","PML","Pimco Municipal Income Fund II Common Shares of Beneficial Interest","N","","N","0","","","Finance","Investment Managers"
"DMAAU","DMAAU","Drugs Made In America Acquisition Corp. - Units","Q","G","N","0","","","Finance","Blank Checks"
"GRF","GRF","Eagle Capital Growth Fund, Inc. Common Stock","A","","N","0","","","Finance","Finance/Investors Services"
"WTG","WTG","Wintergreen Acquisition Corp. - Ordinary Shares","Q","S","N","0","","","Finance","Blank Checks"
"DBCAW","DBCAW","D. Boral Acquisition I Corp. - Warrants","Q","G","N","0","","","Finance","Blank Checks"
"SUMAU","SUMAU","SUMA Acquisition Corporation - Units","Q","G","N","0","","","Finance","Blank Checks"
"ERC","ERC","Allspring Multi-Sector Income Fund Common Stock","A","","N","0","","","Finance","Finance/Investors Services"
