Ticker,Symbol,Security Name,Listing Exchange,Market Category,ETF, MarketCap ,TrailingPE,ForwardPE,Sector,Industry
SBMT,SBMT,Silver Bow Mining Corp. Common Shares,A, ,N," 27,74,73,900.00 ",,,Basic Materials,Precious Metals
GLDG,GLDG,GoldMining Inc. Common Shares,A, ,N," 25,63,29,099.00 ",,,Basic Materials,Precious Metals
PLG,PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),A, ,N," 23,21,04,041.00 ",,,Basic Materials,Precious Metals
NVA,NVA,Nova Minerals Limited - American Depositary Shares,Q,S,N," 22,70,17,531.00 ",,,Basic Materials,Precious Metals
GORO,GORO,Gold Resource Corporation Common Stock,A, ,N," 22,50,17,244.00 ",,,Basic Materials,Precious Metals
CLW,CLW,Clearwater Paper Corporation Common Stock,N, ,N," 22,33,34,754.00 ",,,Basic Materials,Paper
USGO,USGO,U.S. GoldMining Inc. - Common stock,Q,S,N," 17,62,35,266.00 ",,,Basic Materials,Precious Metals
JELD,JELD,"JELD-WEN Holding, Inc. Common Stock",N, ,N," 13,48,26,817.00 ",,,Basic Materials,Forest Products
PZG,PZG,Paramount Gold Nevada Corp. Common Stock,A, ,N," 12,56,74,118.00 ",,,Basic Materials,Metal Mining
FURY,FURY,Fury Gold Mines Limited Common Shares,A, ,N," 11,69,26,175.00 ",,,Basic Materials,Precious Metals
AEC,AEC,Anfield Energy Inc. - Common Shares,Q,S,N," 8,76,51,584.00 ",,,Basic Materials,Metal Mining
NAMM,NAMM,Namib Minerals - Ordinary Shares,Q,G,N," 8,55,37,771.00 ",,,Basic Materials,Precious Metals
XPL,XPL,Solitario Resources Corp. Common Stock,A, ,N," 8,52,50,054.00 ",,,Basic Materials,Precious Metals
WWR,WWR,"Westwater Resources, Inc. Common Stock",A, ,N," 7,96,96,984.00 ",,,Basic Materials,Metal Mining
MERC,MERC,Mercer International Inc. - Common Stock,Q,Q,N," 6,09,47,382.00 ",,,Basic Materials,Paper
BGL,BGL,Blue Gold Limited - Class A ordinary shares,Q,G,N," 4,24,63,116.00 ",,,Basic Materials,Metal Mining
FNUC,FNUC,Frontier Nuclear and Minerals Inc. - Common Shares,Q,S,N," 4,17,61,457.00 ",,,Basic Materials,Other Metals and Minerals
FMST,FMST,Foremost Clean Energy Ltd. - Common Shares,Q,S,N," 2,89,82,695.00 ",,,Basic Materials,Other Metals and Minerals
ATCX,ATCX,Atlas Critical Minerals Corporation - Common Stock,Q,S,N," 2,63,49,529.00 ",,,Basic Materials,Precious Metals
AUST,AUST,Austin Gold Corp. Common Shares,A, ,N," 1,84,85,551.00 ",,,Basic Materials,Precious Metals
CHNR,CHNR,"China Natural Resources, Inc. - Common Shares",Q,S,N," 51,91,860.00 ",,,Basic Materials,Precious Metals
