Ticker,Symbol,Security Name,Listing Exchange,MarketCap,Sector,Industry
ETN,ETN,"Eaton Corporation, PLC Ordinary Shares",NYSE,165462396000.0,Technology,Industrial Machinery/Components
CSX,CSX,CSX Corporation - Common Stock,NASDAQ,88317339826.0,Industrials,Railroads
NET,NET,"Cloudflare, Inc. Class A Common Stock",NYSE,86698208177.0,Technology,Computer Software: Prepackaged Software
ILMN,ILMN,"Illumina, Inc. - Common Stock",NASDAQ,26603079000.0,Health Care,Medical Specialities
PL,PL,Planet Labs PBC Class A Common Stock,NYSE,11807615686.0,Technology,Radio And Television Broadcasting And Communications Equipment
ACA,ACA,"Arcosa, Inc. Common Stock ",NYSE,7133210726.0,Industrials,Metal Fabrications
MATX,MATX,"Matson, Inc. Common Stock",NYSE,5817510507.0,Consumer Discretionary,Marine Transportation
ICHR,ICHR,Ichor Holdings - Ordinary Shares,NASDAQ,3914872711.0,Technology,Semiconductors
CVV,CVV,CVD Equipment Corporation - Common Stock,NASDAQ,51567982.0,Technology,Industrial Machinery/Components
