Ticker,Name,AUM (USD M),Price,Liquidity (Avg Vol),,,,,,,,,,,,,
KOCT,Innovator U.S. Small Cap Power Buffer ETF - October,142.3,37.16,8466,,,,,,,,,,,,,
KSEP,Innovator U.S. Small Cap Power Buffer ETF - September,24.37,30.73,3391,,,,,,,,,,,,,
MJSC,MUFG Japan Small Cap Active ETF,,61.23,1838,,,,,,,,,,,,,
MMSC,First Trust Multi-Manager Small Cap Opportunities ETF,52.32,28.71,7079,,,,,,,,,,,,,
OSCV,Opus Small Cap Value Plus ETF,672.46,42.33,41277,,,,,,,,,,,,,
OVS,Overlay Shares Small Cap Equity ETF,28.17,42.13,6927,,,,,,,,,,,,,
QBKF,Allianzim U.S. Small Cap Buffer15 ETF,5.84,26.09,3666,,,,,,,,,,,,,
QBKV,Allianzim U.S. Small Cap Buffer5 ETF,6.14,27.55,4456,,,,,,,,,,,,,
RBUF,Innovator U.S. Small Cap 10 Buffer ETF - Quarterly,87.29,31.08,18096,,,,,,,,,,,,,
RESM,Columbia Research Enhanced Small Cap ETF,,24.21,275,,,,,,,,,,,,,
RFLR,Innovator U.S. Small Cap Managed Floor ETF,80.25,32.68,17583,,,,,,,,,,,,,
ROSC,Hartford Multifactor Small Cap ETF,56.63,55.95,2004,,,,,,,,,,,,,
RUSC,Russell Investments U.S. Small Cap Equity ETF,59.42,38.71,12120,,,,,,,,,,,,,
SAUG,FT Vest U.S. Small Cap Moderate Buffer ETF - August,106.08,27.7,5032,,,,,,,,,,,,,
SAWS,AAM Sawgrass U.S. Small Cap Quality Growth ETF,6.97,25.83,1020,,,,,,,,,,,,,
SCDV,Bahl & Gaynor Small Cap Dividend ETF,145.32,27.55,8332,,,,,,,,,,,,,
SEIS,SEI Select Small Cap ETF,529.98,32.99,46901,,,,,,,,,,,,,
SFEB,FT Vest U.S. Small Cap Moderate Buffer ETF – February,123.96,26.13,9532,,,,,,,,,,,,,
SFLO,Victoryshares Small Cap Free Cash Flow ETF,580.53,34.16,55122,,,,,,,,,,,,,
SGRW,Harbor Active Small Cap Growth ETF,,25.49,711,,,,,,,,,,,,,
SIXS,ETC 6 Meridian Small Cap Equity ETF,126.84,58.46,2267,,,,,,,,,,,,,
SLYG,State Street SPDR S&P 600 Small Cap Growth ETF,4724.2,117.62,157106,,,,,,,,,,,,,
SLYV,State Street SPDR S&P 600 Small Cap Value ETF,4677.35,109.15,252416,,,,,,,,,,,,,
SMAY,FT Vest U.S. Small Cap Moderate Buffer ETF - May,100.46,28.26,17182,,,,,,,,,,,,,
SMCF,Themes US Small Cap Cash Flow Champions ETF,3,38.63,440,,,,,,,,,,,,,
SMIN,iShares MSCI India Small-Cap ETF,638.73,70.14,171858,,,,,,,,,,,,,
SMLL,Harbor Active Small Cap ETF,13.33,21.32,2817,,,,,,,,,,,,,
SMLV,State Street SPDR US Small Cap Low Volatility Index ETF,240.84,157.53,5719,,,,,,,,,,,,,
SNOV,FT Vest U.S. Small Cap Moderate Buffer ETF - November,112.37,26.98,12893,,,,,,,,,,,,,
SPSM,State Street SPDR Portfolio S&P 600 Small Cap ETF,15671.23,57.3,1746725,,,,,,,,,,,,,
SSCP,SMART Small Cap ETF,,25.93,2919,,,,,,,,,,,,,
SVAL,iShares US Small Cap Value Factor ETF,187.41,42.02,14874,,,,,,,,,,,,,
SYZ,Lazard US Systematic Small Cap Equity ETF,64.51,30.68,3711,,,,,,,,,,,,,
TISC,Thrivent International Small Cap ETF,,22.94,94411,,,,,,,,,,,,,
TPSC,Timothy Plan US Small Cap Core ETF,329.87,47.89,17330,,,,,,,,,,,,,
TSCV,Thrivent Small Cap Value ETF,174.14,32.62,3350,,,,,,,,,,,,,
