XOP
HAP
AVIE
VAMO
EQIN
WR
DFLV
DFUV
FBCV
FENY
FTXN
GUNR
INCM
EIPI
GXPE
PXI
PXE
IUS
RFV
XMVM
HDV
IXC
IGE
TEXN
IYE
DIVL
MFVL
PWS
PBOG
LENS
XLE
GNR
NANR
STXV
FTWO
DRLL
TURF
OILT
LGCF
DURA
VDE
WEEI
DEW
DHS
DTD
QMOM
QVAL
EQL
AVDE
AVIV
AVLV
RNIN
GEW
LYLD
SYLD
ROPE
CSEN
CSNR
RECS
REVS
CCOR
CPAI
CLCV
DFIC
DFIV
DXIV
DFVX
DFSV
DSMC
BBLU
FDV
FELV
FFLV
AFSM
DDIV
FXN
FDL
ESGG
QLV
YLDE
INCE
EIPX
GMOV
GVUS
EBIT
BDVG
WOMN
QIDX
PTL
PFM
DJD
PRF
RWL
RWK
DIVB
DGRO
IUSV
EVUS
MTUM
IWD
IWX
IVE
DYNF
LVDS
JPFP
MFSV
MDLV
VNSE
PWER
NOEQ
PAMC
PJFV
MFUS
DIVZ
PVAL
FNDB
FNDX
SCHV
SPYV
TVAL
TBG
AKAF
SMCF
CRAK
VIG
VYM
MGV
VONV
VOOV
VFMF
VTV
VFLO
SFLO
VSMV
DLN
NRES
QARP
CRTC
