OILT
FCG
FXN
FTXN
DRLL
IEO
PXE
PBOG
HAP
BESF
EIPI
IYE
VDE
XLE
FENY
GXPE
XOP
AVIE
EQIN
EZM
FTIF
FTWO
GNR
GUNR
IGE
IUS
LENS
LGCF
NANR
PWS
TEXN
TURF
VFLO
WR
CALF
SPDV
AVIV
DFLV
VOOV
DEW
DHS
DON
DTD
DURA
HDV
INCM
VYM
DIVL
EIPX
IXC
PSCE
TNGY
WEEI
RSPG
DFAT
DFUV
FBCV
MFVL
STXV
MDIV
AIUP
CCNR
AGQI
AKAF
AMLP
AMZA
AVDE
BBLU
BPH
BRAZ
CCOR
CRTC
CSNR
DFIC
DIVP
DUSA
DWLD
DXIV
DYNF
EES
EMOP
EQL
ESGG
FCPI
FDL
FLDZ
FNDX
GEME
GEW
GQGU
ILF
INCE
JPFP
KAT
KEAT
MAGA
MFUS
MLPA
NOEQ
NRES
OTGL
PRF
PTL
QIDX
RECS
RISN
ROPE
RVER
TEXX
VFMF
VIG
VNSE
WOMN
YLDE
ARGT
AVMC
DFVX
EBIT
FEMD
FNDB
ONEY
PSAI
QARP
RWL
SFLO
SMCF
SPYD
MTUM
AVLV
AVMV
CLCV
EVUS
FELV
FFLV
FLV
GVUS
HWSM
IVE
IWD
IWX
MDLV
PVAL
SPYV
SQLT
VONV
DIVB
DIVZ
DLN
FDV
GEND
PFM
TBG
BDVG
DGRO
DGRS
TDVG
JOET
DJD
BKGI
CSEN
PXI
EMLP
USAI
NVIR
DFIV
GMOV
IUSV
IVOV
LVDS
MFSV
MGV
MVPA
PJFV
QLV
QVAL
REVS
SCHV
TVAL
VFVA
VIOV
VSMV
VTV
