Tickers
AFOS
AFSM
ALTY
AMLP
AMZA
CPAI
CRAK
DDIV
DFSV
DRLL
DSMC
EBIT
EQRR
ESN
FDLS
FENY
FTIF
FTXN
FXN
GEOA
GXPE
HIPS
IEO
IGE
IMCV
IWR
IWS
IXC
IYE
LYLD
MCDS
MDIV
MDPL
MLPA
PAMC
PKW
PWER
PXE
PXI
QMOM
QVAL
RFV
RNIN
RSPG
RWJ
RWK
SFLO
SMCF
SMRI
SYLD
TNGY
UDI
VAMO
VDE
VOE
WCEO
WEEI
WR
XLE
XMVM
XOP
