Variant,Fast,Slow,Signal,Episodes,Unique_Tickers,D1_Pass_Rate_Pct,D1_Mean_Move_Pct,D5_Pass_Rate_Pct,D5_Mean_Move_Pct,D8_Pass_Rate_Pct,D8_Mean_Move_Pct,Median_Lead_To_V8_Active_Calendar_Days,Comparable_Sample,Descriptive_Rank
STANDARD_12_26_9,12,26,9,19,10,52.63157894736842,0.39855324691968735,73.6842105263158,2.6332580587222942,73.6842105263158,1.9865019057977646,7.0,True,5
FIB_FAST_8_21_5,8,21,5,27,10,62.96296296296296,0.9331174953732327,62.96296296296296,2.1020596765283233,62.96296296296296,1.2741700075956697,7.5,True,1
FIB_SHORT_5_13_5,5,13,5,34,10,58.8235294117647,0.8550910259566743,52.94117647058823,1.9857585191927654,64.70588235294117,1.6881582613781503,7.0,True,4
FIB_BALANCED_8_21_8,8,21,8,24,10,62.5,0.8245343500252028,66.66666666666667,1.8869787799370183,66.66666666666667,1.316363757149498,7.0,True,2
FIB_MEDIUM_13_34_8,13,34,8,18,10,61.111111111111114,0.8331737340874272,77.77777777777777,1.941063621338914,72.22222222222223,0.9998321270531166,7.0,True,3
