Ticker,Security Name,Asset Class,Strategy,Theme,Geography,Category Flags,Holding Count,Known Holding Weight %,Top Holdings,Weighted Sector Mix,Weighted Industry Mix,Holdings Classification Text,Holdings Classification Source
BBNPNBETF.NS,BARODABNP - BBNPNBETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BBNPPGOLD.NS,BARODABNP-BBNPPGOLD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BFSI.NS,MIRAEAMC-MAFSETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BNKETFAXIS.NS,AXISAMC-BNKETFAXIS,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BSE500IETF.NS,ICICIPRAMC-ICICI500,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BSLGOLDETF.NS,ABSLGoldETF-GO,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
BSLSENETFG.NS,BIRLASLAMC-BSLSENETFG,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CASHIETF.NS,ICICIPRAMC - CASHIETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CHOICEGOLD.NS,ChoiceAMC - CHOICEGOLD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
COMMOIETF.NS,ICICIPRAMC-ICICICOMMO,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CONS.NS,KOTAKMAMC-KOTAKCONS,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CONSUMAXIS.NS,AXISAMC-CONSUMAXIS,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CONSUMBEES.NS,NIPINDETFCONSUMPTION,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CONSUMER.NS,MIRAEAMC - CONSUMER,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CONSUMIETF.NS,ICICIPRAMC-ICICICONSU,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
CPSEETF.NS,CPSEETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
DEFENCE.NS,MIRAEAMC - DEFENCE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
DIVOPPBEES.NS,NIPINDETFDIVOPP,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EBBETF0430.NS,EDELAMC-EBBETF0430,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EBBETF0431.NS,EDELAMC-EBBETF0431,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EBBETF0433.NS,EDELAMC-EBBETF0433,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ECAPINSURE.NS,EDELAMC - ECAPINSURE,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EGOLD.NS,EDELAMC-EGOLD,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ELIQUID.NS,EDELAMC - ELIQUID,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ELM250.NS,EDELAMC - ELM250,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EMULTIMQ.NS,EDELAMC - EMULTIMQ,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ENEXT50.NS,EDELAMC - ENEXT50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EQUAL200.NS,MIRAEAMC - EQUAL200,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EQUAL50.NS,MIRAEAMC - EQUAL50,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EQUAL50ADD.NS,DSPAMC-DSPNEWETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ESENSEX.NS,EDELAMC - ESENSEX,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
ESG.NS,MIRAEAMC-MAESGETF,Equity,ESG/Sustainable,Broad Market,India,Broad Market; ESG/Sustainable; Equity; India,0,0.0,,,,,Yahoo ETF Top Holdings
ESILVER.NS,EDELAMC-Esilver,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EVIETF.NS,ICICIPRAMC - EVIETF,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
EVINDIA.NS,MIRAEAMC - EVINDIA,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
FINIETF.NS,ICICIPRAMC-ICICIFIN,Equity,Plain,Broad Market,India,Broad Market; Equity; India; Plain,0,0.0,,,,,Yahoo ETF Top Holdings
