Holding Ticker,ETFs Holding This Stock
ASELS.IS,TUR (11.225%)
ASG,CCEF (3.9094%)
ASH,MVFD (3.139%)
ASII.JK,IDX (5.3252%); EIDO (3.7029%)
ASM.AS,EWN (4.7839%); TXUG (3.5224%); BIDD (3.2575%); EAFG (2.8062%)
ASML,ASMH (97.112%); TOS (11.4641%); EUV (8.7606%); BULD (8.2767%); TOAO (7.3598%); PFOE (7.2949%); AMGR (7.0117%); BELT (6.4276%); NXTE (6.3354%); HBMX (5.7282%); GARY (5.6704%); GRW (5.391%); SUPP (5.2116%); BCGD (5.1682%); IBOT (5.1433%); FRWD (5.067%); GFGF (4.969%); SMH (4.9543%); SHOC (4.9496%); CHPX (4.868%); OAIM (4.7514%); BKCG (4.6395%); QLTI (4.6045%); BWTG (4.5911%); WUGI (4.5241%); SOXQ (4.4833%); NBDS (4.3615%); DIHP (4.35%); QQQA (4.3445%); SAMM (4.3219%); PJIO (4.1171%); LRGE (4.0371%); AMEM (3.9858%); YOKE (3.9785%); FMCE (3.7673%); XNTK (3.7456%); EPAI (3.6725%); SEMI (3.5967%); TTEQ (3.5148%); RSMV (3.494%); IDVO (3.4923%); NBGX (3.4872%); IDVZ (3.4506%); QNXT (3.3254%); FFGX (3.3205%); JTEK (3.1916%); DFSI (3.0713%); CBLS (2.938%); MBOX (2.8986%); NVPS (2.8627%); QTEC (2.5842%); PRAY (2.5031%); QQEW (2.42%); GVIP (2.4076%); BWQG (2.3729%); THNQ (2.2898%); APIE (2.2274%); GOP (2.1452%); DFAI (2.0462%); VUSV (1.8942%); AVDE (1.6373%); AVSD (1.3564%); DFIC (1.3078%); RODM (1.2912%); QEW (1.2213%); QQQE (1.2166%); DXIV (1.1527%); DFAX (0.7668%)
ASML.AS,EWN (27.5276%); FEZ (10.3498%); EZU (9.8932%); PTEU (9.5774%); FLEU (9.5512%); DBEZ (8.5496%); DNL (7.9814%); HEDJ (7.7226%); BKCI (7.6662%); TXUG (7.64%); PCIG (7.3783%); DMXF (7.035%); EFG (6.9403%); IVSI (6.8374%); SPTE (6.7822%); EASG (6.6798%); IQLT (6.5621%); MTRA (6.4299%); PIEQ (6.3639%); OSEA (6.2793%); BGGG (6.0947%); IMTM (6.0832%); CGIE (5.719%); WRND (5.6703%); BBEU (5.6413%); PIEL (5.6268%); VNIE (5.5789%); FFDI (5.5392%); IQSI (5.4765%); IDHQ (5.4733%); IEV (5.4507%); BGCG (5.3893%); OEFA (5.2071%); PATN (5.1098%); NUDM (5.1048%); FLEE (5.079%); DBEU (5.0084%); UMMA (4.9522%); IEUR (4.8675%); VGK (4.8265%); GSEU (4.8238%); TINY (4.7723%); XEML (4.7119%); SPEU (4.6994%); EXUS (4.5254%); TLCI (4.4359%); SFTX (4.3743%); FRGN (4.3674%); HOLA (4.3171%); JIRE (4.242%); TOUS (4.1749%); FAI (4.1363%); CEFA (4.1327%); NBIE (4.0853%); GRIN (4.0748%); FENI (4.0555%); NTSI (4.0204%); VDI (3.9713%); WIMA (3.936%); GIEQ (3.8353%); EFAX (3.8089%); ESGD (3.7682%); PRXI (3.6878%); TDI (3.6375%); FEDM (3.6344%); EPIN (3.6261%); CHPS (3.6179%); ILOW (3.6078%); SPWO (3.5994%); BBIN (3.5865%); ENHI (3.5679%); PABD (3.5517%); EFA (3.5229%); JIG (3.4787%); FIVA (3.4372%); CGIC (3.37%); GSID (3.3468%); EAFG (3.3148%); CGGE (3.2954%); LCTD (3.2792%); DBEF (3.2716%); DIVI (3.2294%); PTIN (3.2035%); TILC (3.1864%); FHIL (3.1463%); IEFA (3.0318%); EUDG (3.015%); JGLO (3.0094%); BRIE (3.0061%); EUDV (2.9762%); BKIE (2.9382%); IQDG (2.9272%); IHDG (2.9242%); AQLT (2.9084%); INTF (2.877%); QLVD (2.8298%); CGXU (2.7813%); CGGO (2.7769%); EFAA (2.7716%); IXN (2.7328%); RFDI (2.7278%); IDEV (2.6608%); RINT (2.6127%); GSIE (2.5597%); DWMF (2.5503%); QEFA (2.5365%); CVIE (2.4912%); SCHF (2.4057%); JDIV (2.3492%); JHMD (2.3491%); HFXI (2.3489%); VEA (2.3387%); RWIN (2.3286%); VSGX (2.2729%); SPDW (2.2727%); CWI (2.1087%); ACWX (2.0617%); TIER (2.0002%); JHID (1.9936%); DBAW (1.9449%); GXUS (1.9415%); VEU (1.8652%); IXUS (1.7886%); EFAD (1.7747%); VXUS (1.6959%); IDVY (1.6907%); SEIE (1.6147%); BDVL (1.5745%); QINT (1.5436%); TLTD (1.5025%); IQDF (1.4973%); DGT (1.3899%); QWLD (1.3868%); FEUZ (1.2643%); MFDX (1.1755%); DWM (1.1545%); DDWM (1.1243%); JFLI (0.3973%)
ASND,MEDI (14.1719%); AFOS (3.4302%); AADR (3.1852%); BBP (1.6388%); MSSM (0.9962%)
ASPN,HAIL (1.6037%)
ASR,EMIF (5.9617%); EDOG (2.1671%)
ASSA-B.ST,EWD (4.1459%)
ASTH,XHS (1.9381%); FDLS (1.1294%)
ASTOR.IS,MEMS (2.4075%)
ASTRAL.NS,INDQ (3.9526%)
ASTS,ORBX (10.6112%); MARS (7.956%); WARP (6.578%); DIPR (5.3386%); NASA (5.2853%); UFO (5.2704%); WTRE (4.5471%); JEDI (4.2577%); UFOX (3.4766%); FPX (2.1077%); EQAL (0.423%)
ASURB.MX,EWW (2.5108%)
ASX,NSI (4.6104%); AVES (1.8046%); BREE (1.498%); AVEM (0.7683%); AVXC (0.5239%)
ASX.AX,CZAR (3.9548%)
AT1.DE,FGM (3.5617%)
ATAI,PSIL (10.4832%); XPH (2.1273%)
ATAT,BEDZ (4.5839%); ECNS (1.1184%)
ATCO B,EWD (3.5352%)
ATCO-A.ST,EWD (6.8027%)
ATD.TO,BKCI (4.9285%); FICS (2.1966%)
ATEN,OSCV (2.4467%); CAFG (2.3421%); FSCS (1.3492%); ROSC (0.925%); JPSE (0.3498%)
ATEX,XTL (3.1894%); LITL (0.9943%); ISMD (0.4072%)
ATEYY,HBMX (7.4551%)
ATHPA,SPFF (2.8426%)
ATI,USSE (6.9054%); PYZ (6.3646%); BLCR (3.5539%); XMMO (3.2748%); PDP (2.3564%); PAMC (1.7656%); MDYG (1.4175%); IJK (1.4127%); IVOG (1.4035%); NUSC (1.2868%); FSGS (1.19%); XJH (0.8348%); PTMC (0.7415%); SPMD (0.7405%); IJH (0.7382%); IVOO (0.7351%); BKMC (0.6417%); SCHA (0.5347%); PRFZ (0.42%); ESML (0.4108%); SMMD (0.3545%)
ATLO,AFSM (0.7574%)
ATO,NFRX (4.2954%); TPYP (4.108%); PUI (3.8677%); TPHD (1.4888%); ULVM (1.4847%); VBR (0.6135%)
ATR,GLAM (4.258%); NBSM (2.1135%)
ATRL.TO,TNUK (5.3246%)
ATS.VI,GVAL (8.3446%); EWO (6.521%); AVDV (2.5556%); AVDS (0.6647%); GWX (0.3966%)
ATW,AFK (5.7043%)
ATYM.L,COPJ (4.8015%)
ATZ.TO,SCHC (0.4127%); VSS (0.2751%)
AU,EZA (11.0582%); GDMN (7.0493%); FTRI (6.4818%); GDX (5.0725%); AUMI (4.8764%); RING (4.6579%); AFK (4.335%); FXZ (3.8356%); IYM (3.4167%); MGNR (3.2659%); FCPI (2.6273%); CALF (1.8724%); EMDM (1.845%); ONEY (1.2043%); JPEM (0.8922%); ONEO (0.6748%)
AUB,ACSV (1.7867%); KRE (1.367%); PSCF (1.3281%); KBE (1.0192%)
AUGU,SPBU (8.3621%)
AUGW,SPBW (8.3745%)
AUR,CBOT (5.88%); CABZ (4.2481%); HAIL (1.5515%)
AVA,CSB (1.6331%); ALTY (1.3565%); XSLV (1.098%); USVM (0.6792%); TPSC (0.4044%)
AVAV,DRNZ (13.0998%); ARKX (4.2891%); BZZ (4.0305%); FORH (3.072%); JEDI (3.0394%); KOMP (0.8849%)
AVB,RITA (4.5268%); REZ (4.266%); PPTY (3.6304%); GQRE (3.3577%); RSPR (3.3227%); RWR (2.4508%); RWO (1.5373%)
AVDE,AVNM (39.4533%); AVGE (10.3404%); AVTM (8.5132%); AVMA (6.5722%)
AVDS,AVNM (1.7906%)
AVDV,FGSM (26.0844%); AVNV (24.7897%); PRAE (13.6462%); AVGV (9.046%); AVNM (6.9539%); TOS (5.1831%)
AVEE,AVNM (1.8274%)
AVEM,FINT (22.64%); AVNM (19.7219%); AVGE (6.8822%); AVMA (4.6269%); WSGE (4.3175%); AVTM (4.1983%)
AVES,AVNV (29.9178%); AVGV (10.3499%); AVNM (10.2619%); AVGE (3.3415%)
AVEX,DRNZ (2.9944%)
AVGB,AVMA (8.1165%)
AVGO,AVGW (26.3095%); SMHX (14.4258%); PTL (10.8173%); SHOC (9.5183%); IETC (8.3646%); CHPX (8.099%); GRW (7.9053%); SEMI (7.6905%); SOXQ (7.6832%); CGGG (7.64%); IGM (7.596%); PCLG (7.4848%); IWLG (7.4575%); RJDI (7.4266%); KNCT (7.4187%); TRFK (7.3711%); VYM (7.2616%); TDVI (7.2545%); TDIV (7.2495%); JXX (7.2421%); BELT (7.1863%); GXPT (7.0435%); TFGZ (6.9377%); HFGO (6.7849%); FAI (6.7772%); CIBR (6.7151%); FEPI (6.6351%); NUGO (6.5871%); USXF (6.5582%); TLG (6.5188%); BCTK (6.4293%); QOWZ (6.4237%); TGRW (6.3614%); AMGR (6.213%); KQQQ (6.1466%); WINN (6.1075%); TCHP (6.1019%); SOXX (6.0772%); HACK (6.0073%); SPMO (5.9631%); TOAO (5.9284%); FMAG (5.9229%); NULG (5.9073%); RVER (5.8791%); YALL (5.858%); MNZL (5.8188%); FLCG (5.8075%); TEK (5.7794%); ICAP (5.7461%); GROZ (5.7154%); VDIG (5.6668%); TRUT (5.6476%); IWY (5.637%); TEC (5.6156%); TGRT (5.5083%); SCEP (5.4853%); CGUS (5.4639%); FELG (5.4313%); SMH (5.4053%); SEMG (5.3868%); GK (5.3812%); ILCG (5.3468%); PGRO (5.3396%); BRIF (5.2602%); EGUS (5.2457%); STXD (5.2349%); IWF (5.2069%); VONG (5.1896%); AGRW (5.152%); TTEQ (5.1343%); AIFD (5.0555%); SPYG (5.0381%); IVW (5.0367%); PCGG (5.0309%); VOOG (5.0283%); DVGR (4.9896%); MFIG (4.9714%); ACGO (4.9039%); QUSA (4.8924%); RILA (4.8813%); LCOW (4.8724%); BGIG (4.8653%); ALRG (4.8377%); BGDV (4.832%); BASG (4.8251%); IXN (4.8102%); ESG (4.8101%); CGDV (4.809%); IWFG (4.8016%); IUSG (4.7816%); USMC (4.7728%); PEXL (4.7701%); ESGG (4.7445%); FTXL (4.7381%); NBGX (4.7287%); CGGR (4.7172%); SPUS (4.7071%); JHAI (4.6859%); GDIV (4.6769%); VUSG (4.6739%); XLK (4.6651%); FRWD (4.6494%); XIGV (4.6418%); QDEF (4.6254%); BCHP (4.6156%); SCLZ (4.5921%); USMD (4.588%); IVES (4.5731%); AIX (4.5623%); CGBL (4.546%); BGRO (4.5438%); IOO (4.5383%); LOWV (4.5312%); LCLG (4.5257%); VIG (4.524%); HLAL (4.5237%); GLRY (4.5006%); CLCG (4.4938%); AQLT (4.4337%); SPTE (4.4297%); TOPT (4.4247%); GGRW (4.4197%); CZAR (4.4156%); XLG (4.398%); CGGE (4.3976%); SQS (4.37%); JGRO (4.3602%); PJFG (4.3464%); ACEP (4.3031%); TMFC (4.2757%); ARTY (4.2754%); VUG (4.2716%); MGK (4.2559%); IYW (4.2321%); FFOG (4.2059%); RACK (4.1923%); QDVO (4.1805%); TGLR (4.175%); MFMO (4.1696%); MPLY (4.168%); CNEQ (4.166%); RND (4.1583%); FDLO (4.1512%); PRXG (4.1407%); TDVG (4.1354%); CGCV (4.1302%); LOGO (4.1054%); CAML (4.104%); CGDG (4.1005%); SHE (4.042%); SWP (4.0388%); IQM (4.0379%); GLBL (4.0346%); BBLU (4.0184%); YNOT (4.012%); MTUM (4.0005%); BAMG (3.9962%); HBTA (3.9778%); ABIG (3.9723%); MMTM (3.9434%); LRND (3.9409%); QLTY (3.9355%); CHAT (3.9329%); QDF (3.9283%); ONEQ (3.9228%); LDRX (3.9077%); FBCG (3.9066%); BAI (3.8965%); FTEC (3.8871%); BAY (3.8721%); CARK (3.8705%); OEF (3.8643%); SFY (3.8579%); MIGO (3.8567%); VGT (3.8424%); BKLG (3.842%); FDRR (3.8328%); UFOX (3.8168%); GGUS (3.8128%); PABU (3.8007%); TIME (3.7813%); TGLB (3.7774%); ALAI (3.7753%); ILDR (3.7645%); JPEF (3.7601%); PJUS (3.7579%); SCHG (3.745%); QRFT (3.7385%); XPND (3.7048%); HIDV (3.6946%); NULC (3.676%); PFDE (3.666%); JHDG (3.6535%); FMCX (3.6374%); AVUQ (3.6176%); VEGN (3.6114%); PWRD (3.5937%); AIPO (3.5775%); LGDX (3.5764%); SPIN (3.5461%); MFSG (3.5413%); WISE (3.5306%); JUDO (3.4926%); QVML (3.4873%); HQGO (3.4751%); DIVS (3.4638%); VUS (3.457%); TSPA (3.4426%); THMR (3.4361%); STXG (3.4174%); WRND (3.402%); FVAL (3.3987%); JTEK (3.3983%); SAWG (3.3981%); DVND (3.3872%); MGC (3.3794%); PFM (3.359%); LCAP (3.3487%); QQH (3.3464%); AQLG (3.3424%); HEMI (3.3382%); KVLE (3.3338%); TEKY (3.3134%); HIS (3.3017%); XCHG (3.2989%); FQAL (3.2974%); GQQQ (3.2813%); LRGC (3.2736%); USCL (3.251%); BROL (3.2391%); USCA (3.2308%); SPXN (3.2066%); FDMO (3.1883%); INFO (3.1817%); QGRW (3.1769%); FYEE (3.1724%); IWL (3.1621%); FELC (3.157%); BRES (3.142%); TCAF (3.1231%); XVV (3.117%); FDVV (3.1129%); FHEQ (3.1065%); BDIV (3.0939%); SGLC (3.0767%); SPXV (3.0413%); CGGO (3.0395%); FEAC (3.039%); ADIV (3.0247%); UDIV (3.0201%); ESGV (3.0081%); SPCT (3.0069%); TUGN (3.0013%); TUG (3.0008%); QQHG (2.9912%); HELO (2.961%); OWN (2.9586%); AAUA (2.9531%); PHEQ (2.9301%); SFTY (2.9283%); CATH (2.925%); STOX (2.9187%); GDE (2.9099%); JUST (2.9079%); LRGF (2.9026%); AAEQ (2.8959%); USNZ (2.8849%); VSLU (2.883%); PRAY (2.8744%); JUSA (2.8742%); QLC (2.874%); GSGO (2.8665%); SPYX (2.8663%); SPXE (2.8554%); RAUS (2.8277%); PEPS (2.8242%); VV (2.8194%); AIQ (2.819%); ACIO (2.8107%); GPIX (2.8099%); FLRG (2.8033%); XRMI (2.7957%); SPYH (2.7909%); AIEQ (2.7899%); THRO (2.7887%); SPYI (2.7826%); XSPI (2.7826%); GSUS (2.7731%); PTLC (2.771%); IVV (2.77%); XMAG (2.7688%); ADME (2.7685%); SPY (2.7679%); VOO (2.7676%); CHRI (2.7585%); DYNF (2.753%); RKSG (2.751%); XTR (2.7499%); TNXT (2.7457%); XCLR (2.7318%); LQAI (2.7295%); BBUS (2.7248%); USPX (2.7246%); GUSE (2.6997%); VOTE (2.6974%); BKLC (2.6874%); ILCB (2.6837%); TOV (2.6786%); AFLG (2.6693%); ENHU (2.6441%); ESGU (2.6382%); AAUS (2.6362%); ONOF (2.6358%); PBUS (2.6318%); SUSA (2.6237%); ACVF (2.6216%); SCHX (2.6208%); CVLC (2.6171%); VUSE (2.608%); LCDS (2.5971%); IYY (2.577%); JOYT (2.5768%); OALC (2.5651%); SPTM (2.5533%); ROCY (2.5524%); TACU (2.5517%); DGRO (2.5484%); SCHK (2.5446%); DFUS (2.5398%); WAMA (2.5332%); IWB (2.5318%); VONE (2.5258%); APUE (2.5222%); NTSX (2.5221%); QDPL (2.5179%); GUSA (2.5096%); KLMN (2.5093%); FLCC (2.4846%); LGH (2.467%); FLQL (2.4595%); VTI (2.4589%); MSLC (2.4563%); ITOT (2.4455%); SCHB (2.4375%); GSLC (2.4222%); IWV (2.421%); VTHR (2.4192%); JHDV (2.3991%); NELS (2.375%); HDUS (2.3582%); ISPY (2.3517%); DGRW (2.3414%); LCTU (2.3369%); MODL (2.3212%); FCPI (2.3129%); FFND (2.3046%); BRCE (2.2774%); DFAU (2.2729%); SROI (2.23%); GFLW (2.2188%); BDYN (2.2054%); DLN (2.1797%); FEUS (2.1755%); HCMT (2.1542%); TOK (2.0177%); KOKU (2.0112%); INRO (2.0021%); DFSU (2.0007%); MOTG (1.9754%); KRMA (1.9545%); JQUA (1.9388%); DTD (1.9279%); JMOM (1.9192%); URTH (1.9024%); GEQ (1.8959%); RGLO (1.8901%); EBI (1.8749%); NZAC (1.8406%); AVLC (1.8252%); JVAL (1.8216%); TILT (1.8156%); GLOF (1.8124%); DSPY (1.8113%); CSM (1.8076%); FWD (1.7938%); NBCR (1.7655%); QLV (1.7625%); XXX (1.7515%); JHML (1.7493%); PHDG (1.7492%); QWLD (1.7406%); GSPY (1.7195%); CGNG (1.7158%); JPFP (1.6956%); KLMT (1.6931%); CRBN (1.674%); ACWI (1.6693%); USMF (1.6259%); DCOR (1.6245%); EPS (1.5467%); VT (1.5057%); MFUS (1.4594%); SPGM (1.4584%); SPUT (1.3994%)
AVIG,AVMA (18.0422%)
AVIV,AVNV (45.1731%); AVNM (19.9132%); AVGV (17.3838%); AVGE (5.237%); AVMA (3.4702%)
AVLV,AVGV (37.1316%); AVGE (15.3457%); AVMA (10.0869%)
AVMV,AVGV (7.38%); AVGE (1.3784%)
AVNS,TSCV (2.7265%)
AVOL.SW,FSZ (3.6517%); DWMF (1.6694%)
AVPT,DAT (4.4935%)
AVRE,AVGE (2.7404%)
AVSC,AVGE (3.5893%); AVMA (2.4888%)
AVSF,AVMA (8.2312%)
AVT,RFV (4.0012%); EPSV (2.4273%); DGRS (2.386%); EPMV (2.1544%); XMVM (1.8423%); HAPS (1.5693%); AVUV (0.7803%); PAPI (0.7036%)
AVUQ,AVTM (3.1971%)
AVUS,AVGE (42.9918%); AVMA (28.3646%)
AVUV,AVGV (18.6078%); EDGU (14.8266%); PRAE (14.2847%); FGSM (11.6531%); HECA (6.4495%); AVGE (3.6098%); AVMA (2.3827%)
AVY,CUT (4.9569%); COWS (3.0285%)
AWF,THRV (3.2974%)
AWI,XSHQ (1.9116%)
AWK,AQWA (8.3045%); CGW (7.7713%); TBLU (7.329%); EFRA (6.0332%); BLDX (4.5802%); FTRI (4.1028%); PHO (4.1011%); FIW (4.0092%); RSPU (3.2311%); HALX (2.6915%)
AWR,CSB (1.7024%); SMLV (0.5599%); TPSC (0.4093%)
AX,KBE (1.0317%)
AXAHY,DIVD (2.223%)
AXGN,HTEC (1.992%); XHE (1.8331%)
AXIA,EMIF (6.0123%); BRAZ (4.8349%); FTRI (3.9481%); PBW (1.6054%)
AXIA3.SA,RNRG (6.0882%); EWZ (3.4682%); FLBR (3.0531%); ECOW (2.1604%)
AXISBANK.BO,NDIA (5.8064%); INDY (3.5158%); INDH (3.1174%); INDE (3.0398%); GIND (2.6564%); INDA (2.3122%); FLIN (1.9142%); IND (1.8796%); NUEM (1.5535%)
AXON,WAR (8.7127%); EYES (6.8708%); NITE (4.9941%); TMFM (4.7551%); FBOT (4.2927%); BCSM (4.2891%); TSCM (4.2126%); LOUP (3.505%); NUMG (3.5048%); FRTY (3.2807%); ARWG (3.2563%); XAR (3.2243%); USRD (2.5404%); QQEW (2.4509%); SAGP (2.3467%); QQXT (2.329%); FCTR (2.0511%); RSPN (1.4521%); QQQE (1.2322%); QEW (1.231%); MAGA (0.9106%)
AXP,IPAY (6.2529%); OMAH (6.0153%); WNDR (5.7688%); CTIF (4.8673%); DIVO (4.5173%); TGLR (4.35%); DIA (3.8288%); NYNY (3.654%); EDOW (3.5102%); LGCF (3.4173%); BAMV (2.875%); NANC (2.7347%); IYG (2.6223%); ZECP (2.4939%); XLF (2.3686%); WBIF (2.2768%); IYJ (2.1089%); FNCL (2.1073%); RSPF (1.3918%)
AXS,PCPP (5.8944%); PJFM (3.217%); FDIV (2.0501%); CVY (1.0859%)
AXSM,IBRN (3.8475%); FBT (3.7059%); PTH (2.7022%)
AXTI,XITK (4.6376%)
AYA.TO,SLVR (7.0846%); SLVP (4.8501%); AGMI (4.3628%); GOAU (4.022%); SILJ (3.2129%)
AYI,QCLN (3.3795%); SMOT (1.6559%); ELFY (1.0891%); TMSL (0.9078%)
AYV.PA,XIDV (2.1075%)
AZJ.AX,COAL (4.7389%)
AZN.L,EWU (9.1347%); FLGB (8.4791%); MEDX (4.9848%); PRVS (4.8392%); OSEA (4.4834%); PPH (4.3372%); TXUG (4.3044%); PBPH (4.3017%); JDOC (4.1513%); GDOC (3.9037%); PIEL (3.824%); HRTS (3.822%); IXJ (3.7653%); FHIL (3.3808%); GENW (3.1744%); IDVO (3.1666%); CANC (2.9341%); DNL (2.8351%); BIDD (2.7871%); UMMA (2.756%); CVGD (2.7424%); CGIE (2.679%); EUDG (2.6433%); CGDG (2.6412%); IQDG (2.608%); IHDG (2.5991%); EFG (2.5708%); DTAN (2.5535%); EASG (2.4706%); TOUS (2.4397%); JIG (2.1778%); BBEU (2.1239%); GRIN (2.0898%); IEV (2.0711%); HOLA (2.019%); JIRE (1.9809%); IQSI (1.9395%); IVSI (1.9292%); FLEE (1.8803%); CGIC (1.8785%); IQLT (1.8743%); QEFA (1.8721%); DBEU (1.855%); IEUR (1.805%); SPEU (1.7858%); VGK (1.7687%); GSEU (1.7253%); FDEV (1.5886%); FEDM (1.5318%); DIHP (1.4713%); EFAX (1.411%); GIEQ (1.4043%); ENHI (1.3941%); LCTD (1.38%); SPWO (1.3765%); BBIN (1.3503%); PABD (1.3276%); EFA (1.3051%); GSID (1.2555%); DIVI (1.2543%); PTIN (1.2168%); DBEF (1.2115%); WIMA (1.185%); ESGD (1.1525%); APIE (1.1352%); IEFA (1.124%); BKIE (1.1006%); HFXI (1.0392%); EFAA (1.0182%); CVIE (1.0084%); IDEV (0.987%); SEIE (0.9746%); SCHF (0.9605%); INTF (0.9285%); DFAI (0.9253%); TIER (0.9103%); RINT (0.9056%); GSIE (0.8769%); SPDW (0.8646%); DFSI (0.8597%); VEA (0.857%); VSGX (0.833%); ACWX (0.7642%); CWI (0.7591%); GXUS (0.7256%); VEU (0.6835%); IXUS (0.6637%); VXUS (0.6214%); TLTD (0.581%)
AZO,LOHA (1.1743%)
AZZ,MGMT (3.2748%); SCDS (0.9313%)
B3SA3.SA,EWZ (3.158%); FLBR (3.1092%)
BA,ITA (8.8969%); MISL (7.3149%); NATO (7.2487%); FOWF (6.9917%); PPA (6.7751%); GCAD (5.9391%); WDGF (5.2798%); IDEF (4.9909%); YALL (4.3649%); NOEQ (4.1891%); LSGR (4.0164%); AV (3.8856%); XLI (2.9602%); TRUI (2.9555%); FIDU (2.2098%); VIS (2.1545%); IYJ (1.9322%); EXI (1.6732%)
BA.L,XDEF (7.6855%); WDGF (5.0859%); SHLD (4.4559%); ARMY (4.4024%); CZAR (4.3045%); FOWF (3.3128%); BIDD (2.9881%); IDEF (2.7349%); ILOW (1.7746%); CGIC (1.547%)
BAB,MAMB (6.2536%)
BAB.L,WCMI (3.3528%)
BABA,BABW (28.1523%); ONLN (9.654%); CGRO (7.3165%); PGJ (6.796%); SPWO (2.4192%); BINV (2.3502%); REMG (1.2977%); APIE (1.2903%); QLVE (1.0403%); AVSE (0.7429%)
BAC,KBWB (8.2315%); FTXO (8.093%); IYG (5.4191%); TFNS (5.3272%); DURA (5.1587%); BAMV (5.1258%); ICAP (4.9753%); XLF (4.8948%); BCFN (4.869%); OMAH (4.8575%); IYF (4.5852%); FNCL (4.5701%); EQIN (4.4358%); VFH (4.3588%); DVAL (4.1132%); AIVL (4.0551%); CSTK (3.9214%); REVS (3.8126%); PWV (3.5581%); BROL (3.5235%); OAKM (3.4584%); ACSI (3.4356%); LCF (3.2659%); BDVG (3.1846%); DVVY (3.1287%); VLLU (3.1165%); CLCV (3.0603%); AQLG (3.0089%); BASV (2.9901%); GDIV (2.6345%); BUSA (2.6208%); IXG (2.4866%); FBCV (2.44%); GMOV (2.3342%); JAVA (2.2286%); PY (2.1808%); FFLV (2.1604%); DVND (2.1382%); STXV (2.1356%); GINX (2.0162%); TRUF (1.9966%); RECS (1.9813%); LVDS (1.9705%); VLUE (1.9395%); TVAL (1.9202%); FDVV (1.866%); TDVG (1.8561%); VYM (1.5572%); PRXV (1.4388%); SPYV (1.2827%); IVE (1.2815%); VOOV (1.2763%); IUSV (1.2087%)
BACPB,PGF (2.0531%); PGX (1.2989%)
BACPL,SPFF (3.2682%); PFF (1.4019%); PFFD (1.3812%); CVY (1.1493%)
BACPM,PGF (1.7985%); PGX (1.143%)
BAER.SW,DINT (4.7752%); DFNL (4.3401%); DWLD (3.7509%)
BAESY,EUAD (2.7006%)
BAI,GDMA (2.6839%)
BAJAJ-AUTO.BO,INCO (4.7351%); IOPP (4.6056%)
BAKKA.OL,GLCR (4.2214%)
BALL,NPFE (4.5497%); RSPM (4.2368%); WBIF (2.6216%); WBIG (1.9014%); DFAT (0.6796%)
BAM.TO,GPZ (4.6222%); LBO (4.0607%)
BAMI.MI,XIDV (2.4581%); EFAS (2.3639%); IDOG (2.155%); JHID (2.109%); TDI (1.8263%); FGD (1.7108%)
BAMNB.AS,AZTD (2.3821%)
BANCPF,PFFV (2.6123%); PFFA (2.2239%)
BAND,IWC (0.4139%)
BANDHANBNK.BO,MEMS (4.0838%); EMSF (3.9111%)
BAP,EPU (26.317%); ILF (4.2202%); OAIM (4.0629%); FLN (3.1658%)
BAPA,PFXF (9.6991%); CVRT (4.9439%); PFFD (4.4403%); PFF (3.6209%); FCVT (2.5053%); PFFA (2.1009%); CWB (1.8673%)
BAR,MOOD (2.9943%)
BARC.L,PBEU (4.0312%); EPIN (3.0274%); EWU (2.9732%); FLGB (2.7704%); FKU (2.2648%); BAIV (2.0924%); RFDI (1.9284%); SEIE (1.0687%); JPIN (0.4492%)
BAS.DE,FTAG (8.8198%); IBAT (5.4425%); HEDJ (1.9985%); DFIV (1.1942%); JHMD (0.9635%)
BATRK,SMLV (0.5431%)
BATS.L,SCHY (4.2025%); IDV (4.0756%); EWU (4.0237%); PIEQ (3.9943%); FLGB (3.8056%); FEOE (3.7023%); KXI (3.2688%); HDEF (3.0479%); IGRO (2.9951%); FEGE (2.748%); AIVI (2.33%); GCOW (2.1662%); DTH (1.9856%); CGDG (1.9747%); IVSI (1.872%); IVLU (1.7271%); BRIE (1.6058%); DDWM (0.9542%); DWM (0.9476%); JPIN (0.4343%)
BAX,MDEV (2.5499%)
BAYN.DE,FTAG (10.0313%); MOO (8.814%); KROP (5.0563%); IDNA (4.612%); FGM (4.2504%); HAP (3.6654%); EWG (2.8755%); DFIV (1.044%); JHMD (0.9877%); RCGE (0.6198%); DXIV (0.5376%)
BB.TO,SPAM (5.4761%); IHAK (5.0951%); RKNG (4.5093%); LOUP (4.0111%); DRIV (2.882%); CPAI (2.2138%); FITE (1.8301%)
BBAI,WISE (3.3681%)
BBAJIOO.MX,DGS (0.9749%); GYLD (0.8587%)
BBAR,ARGT (3.9023%)
BBAX,DUKX (4.7471%)
BBBY,ONLN (3.9375%)
BBCA.JK,EIDO (19.125%); IDX (8.7371%)
BBCQU,SPCK (5.0985%)
BBD,BRAZ (4.974%)
BBD-B.TO,PIZ (2.7049%)
BBDC,FBDC (5.0705%); PBDC (4.1761%)
BBDC3.SA,EDIV (2.2098%)
BBDC4,FLBR (3.9534%); EWZ (3.7619%); FLLA (2.2734%)
BBEU,ELM (5.2967%)
BBHY,JFLI (31.6358%)
BBIO,HELX (3.4991%); SEIS (1.0086%)
BBJP,EDGI (13.2909%)
BBNI.JK,EIDO (3.416%); IDX (2.6541%)
BBOX.L,FKU (2.2564%)
BBRI.JK,EIDO (10.8352%); IDX (8.1961%)
