Ticker,Symbol,ETF Name,Last Price,Change %,Volume,Average Volume 30D,AUM,Expense Ratio %,MTD %,1M %,3M %,6M %,YTD %,1Y %,Theme Option,Exchange,Type,Type Specs,Subtype
AMEX:SCHE,SCHE,Schwab Emerging Markets Equity ETF,36.6402,-1.45185583647122,1979082,2692085.566666667,12766251000.0,0.07,,2.1756832124930305,9.439068100358433,8.789192399049883,9.997598318823169,27.046463245492372,Emerging markets,AMEX,fund,['etf'],etf
NASDAQ:ESGD,ESGD,iShares ESG Aware MSCI EAFE ETF,103.06,-0.7415968409900762,103613,279484.43333333335,11633210448.0,0.2,,3.008495752123943,4.523326572008122,7.9614498219149485,7.253616401290455,16.33367197200587,Developed markets,NASDAQ,fund,['etf'],etf
NASDAQ:AIQ,AIQ,Global X Artificial Intelligence & Technology ETF,69.115,-1.4613629883091042,2428628,2019552.8333333333,11193474367.9573,0.68,,20.598499389286324,40.06484952882764,35.148611654282355,33.42664092664092,69.69064571568869,Developed markets,NASDAQ,fund,['etf'],etf
AMEX:JIRE,JIRE,JPMorgan International Research Enhanced Equity ETF,80.82,-0.6270748801180439,248009,504115.1,10896759252.0,0.24,,2.4984147114774875,3.6021022945776027,6.608626830233466,6.608626830233466,16.808787397022684,Developed markets,AMEX,fund,['etf'],etf
AMEX:FENI,FENI,Fidelity Enhanced International ETF,40.185,-0.6059856542171591,641357,1269696.5,9779421337.21297,0.28,,3.303341902313634,4.214211618257261,11.100359413878905,8.549432739059963,23.380411421553585,Developed markets,AMEX,fund,['etf'],etf
AMEX:DFAE,DFAE,Dimensional Emerging Core Equity Market ETF,41.015,-1.406250000000002,561631,1328748.0,9723114301.824,0.29,,7.172720146328711,18.1307603686636,26.589506172839513,23.390493381468104,49.254002911208154,Emerging markets,AMEX,fund,['etf'],etf
AMEX:FNDE,FNDE,Schwab Fundamental Emerging Markets Equity ETF,41.72,-1.48760330578513,452487,815038.8333333334,9665025000.0,0.39,,2.7333169170155123,9.357798165137615,11.25333333333333,13.864628820960693,31.85840707964601,Emerging markets,AMEX,fund,['etf'],etf
AMEX:DFEM,DFEM,Dimensional Emerging Markets Core Equity 2 ETF,41.425,-1.4394480133238257,314916,832986.7333333333,9398401514.352,0.39,,6.327002053388081,17.684659090909072,25.720789074355064,23.14209274673007,47.053603123890646,Emerging markets,AMEX,fund,['etf'],etf
AMEX:DBEF,DBEF,Xtrackers MSCI EAFE Hedged Equity ETF,53.11,-0.3377744417339083,462928,410116.1666666667,8769003802.905,0.35000000000000003,,4.0964327714621644,5.649492739208268,9.03305276123999,9.30232558139534,17.943593160115473,Developed markets,AMEX,fund,['etf'],etf
CBOE:IDV,IDV,iShares International Select Dividend ETF,44.09,-1.1102388695749634,701512,886664.6333333333,8611939585.95,0.5,,0.22732439190725487,4.108618654073204,12.733316287394539,10.667670682730924,30.058997050147507,Developed markets,CBOE,fund,['etf'],etf
