Run_ID,Ticker,Signal_Date,Final_Decision,Score,Final_Decision_Reason,ETF_Mappings,D_Close,D1_Date,D1_Open,D1_Close,D1_Open_vs_D_Close_Pct,D1_Close_vs_D_Close_Pct,D1_Close_vs_D1_Open_Pct,D1_Direction_Pass,D1_Intraday_Up,D5_Date,D5_Close,D5_Close_vs_D_Close_Pct,D5_Persistence_Pass,D8_Date,D8_Close,D8_Close_vs_D_Close_Pct,D8_Persistence_Pass
V8DIR_20260711T195008Z_3ed85d1,NVDA,2026-04-30,REJECT,35.0,not outperforming benchmark SPY | distribution cluster,VGT 16.77%,199.57000732421875,2026-05-01,201.27999877929688,198.4499969482422,0.8568378976406388,-0.5612117727474941,-1.4060025080573357,False,False,2026-05-07,211.5,5.977848493235727,True,2026-05-12,220.77999877929688,10.627845205527642,True
V8DIR_20260711T195008Z_3ed85d1,AAPL,2026-04-30,REJECT,35.0,not outperforming benchmark SPY,VGT 15.25%,271.3500061035156,2026-05-01,278.8599853515625,280.1400146484375,2.7676355552326504,3.2393618379240596,0.4590222205101524,True,True,2026-05-07,287.44000244140625,5.929609720278606,True,2026-05-12,294.79998779296875,8.641968366312591,True
V8DIR_20260711T195008Z_3ed85d1,MSFT,2026-04-30,REJECT,10.0,below EMA200 | weekly downtrend | not outperforming benchmark SPY,VGT 9.87%; VOOG 9.28%,407.7799987792969,2026-05-01,412.7999877929688,414.4400024414063,1.2310532710528843,1.6332345093055922,0.3972903820094187,True,True,2026-05-07,420.7699890136719,3.185538837917745,True,2026-05-12,407.7699890136719,-0.0024546975464612153,False
V8DIR_20260711T195008Z_3ed85d1,TSLA,2026-04-30,REJECT,20.0,below EMA200 | weekly mixed | not outperforming benchmark SPY | distribution cluster,VCR 17.67%,381.6300048828125,2026-05-01,382.489990234375,390.8200073242188,0.2253453189108079,2.4080922159745555,2.1778392382868716,True,True,2026-05-07,411.7900085449219,7.902943499259352,True,2026-05-12,433.4500122070313,13.578598815921517,True
V8DIR_20260711T195008Z_3ed85d1,AMZN,2026-04-30,REJECT,45.0,weekly flat,VCR 22.14%,265.0599975585937,2026-05-01,265.5799865722656,268.260009765625,0.19617785349030914,1.2072784412985316,1.0091209160559833,True,True,2026-05-07,271.1700134277344,2.305144467448361,True,2026-05-12,265.82000732421875,0.28673122033702203,True
V8DIR_20260711T195008Z_3ed85d1,META,2026-04-30,REJECT,20.0,below EMA200 | weekly mixed | not outperforming benchmark SPY,VOX 22.12%,611.9099731445312,2026-05-01,614.6900024414062,608.75,0.4543199847828472,-0.5164114466532643,-0.9663411504683528,False,False,2026-05-07,616.8099975585938,0.8007753802216744,True,2026-05-12,603.0,-1.456092159888156,False
V8DIR_20260711T195008Z_3ed85d1,GOOGL,2026-04-30,MOMENTUM_ACTIVE,100.0,all confirmation gates passed,VOX 14.10%,384.7999877929688,2026-05-01,381.6300048828125,385.6900024414063,-0.8238001587104637,0.23129279539280123,1.0638570098387534,True,True,2026-05-07,397.989990234375,3.4277554209546146,True,2026-05-12,387.3500061035156,0.662686692162473,True
V8DIR_20260711T195008Z_3ed85d1,COST,2026-04-30,MOMENTUM_ACTIVE,100.0,all confirmation gates passed,VDC 11.81%,1014.530029296875,2026-05-01,1015.3800048828124,1011.7000122070312,0.08378022940596086,-0.2789485779740919,-0.36242516674394043,False,False,2026-05-07,1012.0599975585938,-0.24346561136224798,False,2026-05-12,1021.8800048828124,0.7244709741151212,True
V8DIR_20260711T195008Z_3ed85d1,WMT,2026-04-30,MOMENTUM_ACTIVE,98.0,all confirmation gates passed,VDC 14.46%,131.92999267578125,2026-05-01,131.9199981689453,131.60000610351562,-0.007575613879173826,-0.2501224820625647,-0.2425652439896786,False,False,2026-05-07,130.1999969482422,-1.3112982821052221,False,2026-05-12,130.35000610351562,-1.1975946789813396,False
V8DIR_20260711T195008Z_3ed85d1,PANW,2026-04-30,REJECT,16.0,weekly downtrend | not outperforming benchmark SPY,HACK 9.65%,179.32000732421875,2026-05-01,182.0,181.0800018310547,1.4945307641749617,0.9814825088947154,-0.5054934994205063,True,False,2026-05-07,196.52999877929688,9.597362676860532,True,2026-05-12,215.6000061035156,20.231986001261394,True
