Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,119.79000091552734,120.6500015258789,117.87000274658203,118.80000305175781,105.72647094726562,785000
2021-01-05,118.12999725341797,118.93000030517578,117.20999908447266,118.55999755859375,105.51284790039062,715600
2021-01-06,118.69000244140625,119.66999816894531,117.91999816894531,119.4800033569336,106.33162689208984,921200
2021-01-07,119.7699966430664,122.75,119.6500015258789,121.55999755859375,108.18274688720703,662900
2021-01-08,122.44000244140625,122.94000244140625,120.70999908447266,121.9800033569336,108.55650329589844,564100
2021-01-11,121.38999938964844,122.44000244140625,120.79000091552734,121.2300033569336,107.8890380859375,434800
2021-01-12,121.33000183105469,122.2300033569336,120.86000061035156,122.0199966430664,108.59210968017578,508800
2021-01-13,122.22000122070312,122.36000061035156,120.37999725341797,120.79000091552734,107.49747467041016,546200
2021-01-14,122.04000091552734,122.04000091552734,120.30000305175781,120.87999725341797,107.57756042480469,518100
2021-01-15,120.43000030517578,121.58999633789062,119.83999633789062,121.01000213623047,107.69326782226562,1004400
2021-01-19,121.4000015258789,123.36000061035156,120.68000030517578,122.69000244140625,109.18840026855469,687900
2021-01-20,122.88999938964844,125.0,122.69000244140625,123.9800033569336,110.33641052246094,708000
2021-01-21,124.16000366210938,124.62999725341797,123.08000183105469,123.77999877929688,110.15843200683594,481600
2021-01-22,123.01000213623047,124.13999938964844,122.3499984741211,123.83000183105469,110.20294189453125,462800
2021-01-25,123.91999816894531,124.80999755859375,122.38999938964844,123.5199966430664,109.92703247070312,504400
2021-01-26,123.44000244140625,123.5,121.26000213623047,121.41000366210938,108.04924774169922,479800
2021-01-27,120.68000030517578,120.68000030517578,116.4800033569336,117.30999755859375,104.40043640136719,775800
2021-01-28,117.08999633789062,119.37999725341797,116.80999755859375,117.47000122070312,104.5428237915039,621300
2021-01-29,117.16000366210938,117.16000366210938,113.58999633789062,114.86000061035156,102.22005462646484,1069500
2021-02-01,115.19999694824219,117.56999969482422,115.12000274658203,117.36000061035156,104.44493865966797,616200
2021-02-02,118.41000366210938,119.29000091552734,117.66999816894531,118.87000274658203,105.78877258300781,787400
2021-02-03,118.55000305175781,119.6500015258789,118.12000274658203,118.94000244140625,105.8510513305664,444000
2021-02-04,119.5,119.98999786376953,118.55000305175781,119.2699966430664,106.14473724365234,461200
2021-02-05,119.87000274658203,120.94000244140625,119.44000244140625,120.33000183105469,107.0881118774414,480300
2021-02-08,120.36000061035156,124.9800033569336,119.79000091552734,124.13999938964844,110.47882080078125,1218500
