Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,160.3300018310547,165.83999633789062,158.6199951171875,162.0399932861328,147.2311553955078,2931600
2021-01-05,161.52999877929688,165.97000122070312,161.1199951171875,165.6699981689453,150.52943420410156,1980600
2021-01-06,164.61000061035156,171.8000030517578,164.61000061035156,168.72000122070312,153.3006591796875,2686500
2021-01-07,172.08999633789062,176.5,171.92999267578125,174.99000549316406,158.99766540527344,2485500
2021-01-08,181.3800048828125,182.5500030517578,171.5,175.02999877929688,159.03399658203125,2827900
2021-01-11,174.38999938964844,176.4600067138672,171.92999267578125,173.2100067138672,157.3803253173828,3000900
2021-01-12,174.2899932861328,179.0,173.22999572753906,176.0800018310547,159.98806762695312,3112100
2021-01-13,177.99000549316406,177.99000549316406,176.17999267578125,177.4199981689453,161.20556640625,1750300
2021-01-14,178.6199951171875,181.08999633789062,178.6199951171875,180.0,163.54978942871094,2617400
2021-01-15,179.63999938964844,179.83999633789062,168.4499969482422,172.22000122070312,156.48080444335938,3598600
2021-01-19,177.30999755859375,178.5,174.5399932861328,175.0,159.00674438476562,2522300
2021-01-20,178.86000061035156,180.30999755859375,173.7100067138672,174.49000549316406,158.54335021972656,2590700
2021-01-21,176.63999938964844,176.75,171.72999572753906,173.6199951171875,157.75283813476562,2187400
2021-01-22,172.57000732421875,175.1699981689453,171.9199981689453,172.3000030517578,156.5535430908203,1974000
2021-01-25,176.69000244140625,176.75,171.02999877929688,174.4199981689453,158.47975158691406,2006000
2021-01-26,174.4199981689453,174.4600067138672,168.66000366210938,168.75,153.3279266357422,2231100
2021-01-27,162.72000122070312,164.42999267578125,156.02000427246094,160.55999755859375,145.8864288330078,3714500
2021-01-28,166.52999877929688,166.8000030517578,162.3800048828125,164.3300018310547,149.3118896484375,2484700
2021-01-29,164.14999389648438,167.5500030517578,159.80999755859375,160.47000122070312,145.80465698242188,3535400
2021-02-01,166.44000244140625,172.44000244140625,166.10000610351562,171.52999877929688,155.8538818359375,4953000
2021-02-02,180.0,183.0,170.6999969482422,177.2100067138672,161.0147705078125,6621800
