Run_ID,Stock_Code,Random_Signal_Date,Stock_Final_Decision,Stock_Score,ETF_Ticker,Holding_Weight_Pct_Direct,Validation_As_Of_Date,Validation_Rank,Validation_Status,Same_Quarter_Pass,Historical_Evidence_Mode,Stock_5D_Return_Pct,ETF_5D_Return_Pct,ETF_Excess_SPY_5D_Pct,Stock_Minus_ETF_5D_Pct,Exit_Date_5D,Stock_10D_Return_Pct,ETF_10D_Return_Pct,ETF_Excess_SPY_10D_Pct,Stock_Minus_ETF_10D_Pct,Exit_Date_10D,Stock_21D_Return_Pct,ETF_21D_Return_Pct,ETF_Excess_SPY_21D_Pct,Stock_Minus_ETF_21D_Pct,Exit_Date_21D
V8FULL_20260711T192053Z_ffe1567_20260712,NVDA,2026-04-17,REJECT,40.0,VGT,16.77,2026-05-29,1,PASS,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,4.145418902906939,3.6173076968322837,2.8893000031547267,0.5281112060746551,2026-04-24,-0.7650759135835794,4.303707487843855,2.628999591663028,-5.068783401427435,2026-05-01,11.171123149295713,11.545775911669898,7.331493076017881,-0.37465276237418443,2026-05-18
V8FULL_20260711T192053Z_ffe1567_20260712,AAPL,2026-04-30,REJECT,35.0,VGT,15.25,2026-05-29,2,PASS,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,3.0768190276661,5.187321426542901,3.7550833551607488,-2.1105023988768012,2026-05-07,6.938968342525298,10.653222026743926,6.920815384087954,-3.714253684218628,2026-05-14,9.843654037500094,19.298755294678948,14.128567699899918,-9.455101257178853,2026-06-01
V8FULL_20260711T192053Z_ffe1567_20260712,MSFT,2026-05-07,REJECT,18.0,VGT,9.87,2026-05-29,3,PASS,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,-1.907094490355954,4.168927956245438,2.3673971483694434,-6.076022446601392,2026-05-14,0.4072885382476077,3.5358979634387833,2.475936048021299,-3.1286094251911756,2026-05-21,-1.3536558652035402,6.031830401970706,5.4481043232833315,-7.385486267174246,2026-06-08
V8FULL_20260711T192053Z_ffe1567_20260712,MSFT,2026-05-07,REJECT,18.0,VOOG,9.28,2026-05-29,2,PASS,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,-1.907094490355954,3.0359115408270076,1.2343807329510126,-4.943006031182962,2026-05-14,0.4072885382476077,1.3451857135701406,0.2852237981526562,-0.9378971753225329,2026-05-21,-1.3536558652035402,0.5430117833330916,-0.040714295354282726,-1.8966676485366318,2026-06-08
V8FULL_20260711T192053Z_ffe1567_20260712,TSLA,2026-04-01,REJECT,20.0,VCR,17.67,2026-05-29,2,PASS,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,-5.101597053017626,5.346414909630526,0.1655741064727323,-10.448011962648152,2026-04-09,6.781982663804054,9.742544995420177,1.1970186047156606,-2.9605623316161234,2026-04-16,7.309169199603227,11.177842705091589,-0.3054102057676431,-3.8686735054883616,2026-05-01
V8FULL_20260711T192053Z_ffe1567_20260712,AMZN,2026-05-13,REJECT,35.0,VCR,22.14,2026-05-29,1,PASS,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,-1.5381698772958585,-0.8979900087733195,-0.5752542681332851,-0.640179868522539,2026-05-20,1.8019714707409484,3.113708991180175,1.6412487192259517,-1.3117375204392268,2026-05-28,-11.369121879488276,-0.08395245095896842,0.17154736100696288,-11.285169428529308,2026-06-12
V8FULL_20260711T192053Z_ffe1567_20260712,META,2026-05-01,REJECT,18.0,VOX,22.12,2026-05-29,1,PASS,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,0.2779883598084343,0.6721357137945638,-1.7651256100292834,-0.39414735398612954,2026-05-08,1.034637958036,-0.3666180675903963,-3.0191345439970485,1.4012560256263962,2026-05-15,-1.6958906334819557,-2.179336418655986,-7.66491415390732,0.48344578517403036,2026-06-02
V8FULL_20260711T192053Z_ffe1567_20260712,GOOGL,2026-05-12,MOMENTUM_ACTIVE,100.0,VOX,14.1,2026-05-29,2,PASS,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,0.5342317235442984,0.4954283087738709,1.137294657091581,0.03880341477042748,2026-05-19,0.8376505232426945,2.65262903252097,1.0289947961667156,-1.8149785092782755,2026-05-27,-7.217327969225362,-3.3390107230454658,-3.2428712772093693,-3.8783172461798965,2026-06-11
V8FULL_20260711T192053Z_ffe1567_20260712,COST,2026-05-28,REJECT,35.0,VDC,11.81,2026-05-29,2,PASS,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,-1.441360636621103,-2.2293684325592755,-2.3867969817022328,0.7880077959381726,2026-06-04,-1.1028112350912944,1.6610143420649814,4.060804534226802,-2.763825577156276,2026-06-11,-4.043302994445108,0.8018645881135322,2.7730279606259622,-4.84516758255864,2026-06-29
V8FULL_20260711T192053Z_ffe1567_20260712,WMT,2026-04-01,MOMENTUM_ACTIVE,100.0,VDC,14.46,2026-05-29,1,PASS,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,3.180186423018627,2.50882126413563,-2.6720195390221635,0.6713651588829972,2026-04-09,-0.2636850395774437,-0.13391714670105692,-8.679443537405573,-0.1297678928763868,2026-04-16,5.153819016376904,3.388246856301791,-8.095006054557441,1.7655721600751129,2026-05-01
V8FULL_20260711T192053Z_ffe1567_20260712,XOM,2026-04-29,MOMENTUM_PRESENT_WAIT_CONFIRMATION,84.0,VDE,21.86,2026-05-29,1,PASS,True,SAME_CALENDAR_QUARTER_STABILITY_ASSUMPTION,-2.453578963511438,-2.0621123315484047,-4.748819029538187,-0.39146663196303333,2026-05-06,-0.5641838174142655,-1.3506212907619441,-5.223953292868455,0.7864374733476787,2026-05-13,-4.70379748964228,-4.069942569545026,-9.92611643574033,-0.6338549200972539,2026-05-29
