Profile,Rows,Foundation_Eligible,DMI_Dominance_Pass,Qualified,Mean_Total_Score_Foundation_Eligible,Qualified_D1_Positive,Qualified_D1_Positive_Rate_Pct,Qualified_D1_Mean_Return_Pct,Qualified_D5_Positive,Qualified_D5_Positive_Rate_Pct,Qualified_D5_Mean_Return_Pct,Qualified_D8_Positive,Qualified_D8_Positive_Rate_Pct,Qualified_D8_Mean_Return_Pct
V1,80,27,27,7,9.074074074074074,5,71.42857142857143,2.089155918062066,5,71.42857142857143,3.004795968909922,5,71.42857142857143,5.569447113847063
V2,80,27,27,7,9.074074074074074,5,71.42857142857143,2.089155918062066,5,71.42857142857143,3.004795968909922,5,71.42857142857143,5.569447113847063
V3,80,27,27,11,20.0,6,54.54545454545455,1.1914228463446888,9,81.81818181818181,5.668882305719264,9,81.81818181818181,11.54669899800802
