Run_ID,Processed_At,Ticker,Final_Decision,Final_Decision_Rank,Final_Decision_Reason,External_Message,Analyst_Message,EPS_Message,Event_Message,Action_Status,Score,Action_Rank,Long_Term_Status,Entry_Timing_Status,Classification_Reason,Market_State,Live_Price,Regular_Market_Price,PreMarket_Price,PostMarket_Price,Regular_Session_Close,Score_Price_Source,Score_Price_Change_Pct,Extended_Hours_Change_Pct,Close,Trend_Score,Relative_Strength_Score,Breakout_Score,Freshness_Score,Accumulation_Score,Volatility_Score,Weekly_Trend_Score,Weekly_Trend,Weekly_Close,Weekly_SMA_30,Weekly_SMA_30_Slope_Pct_10W,EMA_20,EMA_50,EMA_150,EMA_200,EMA_200_Slope_Pct_50D,Exchange_Profile,Benchmark_Ticker,Return_63D_Pct,Return_126D_Pct,Return_252D_Pct,Benchmark_Return_126D_Pct,RS_126D_Excess_Pct,RS_Ratio,RS_SMA_50,RS_SMA_200,RS_Slope_Pct_50D,Return_5D_Pct,Return_10D_Pct,High_20D,High_55D,High_100D,High_252D,Distance_From_20D_High_Pct,Distance_From_52W_High_Pct,Lower_High_Day,Lower_Low_Day,Close_Below_EMA20,ATR_14,ATR_Pct,Volume,Volume_Avg_20,Volume_Avg_50,Relative_Volume_20,Avg_Dollar_Volume_50D,Min_Avg_Dollar_Volume_50D,Liquidity_Status,Close_Location_Pct,Extension_Risk,Accumulation_Days_50,Distribution_Days_50,Net_Accumulation_50,Latest_Distribution_Day,Daily_Change_Pct,Last_3H_Return_Pct,Bearish_1H_Candles_Last3,Last_1H_Bearish
V7_20260710_214846_026500,2026-07-10T21:48:51+05:30,BIDU,REJECT,3,below EMA200 | weekly flat | not outperforming benchmark SPY,,,,,Avoid,20.0,5,Avoid,Wait - Last Hour Bearish,below EMA200 | weekly flat | not outperforming benchmark SPY,REGULAR,117.78,117.78,,,117.77999877929688,REGULAR,1.0364265001783224e-06,,117.78,5,0,0,12,10,10,0,Flat,117.78,127.98033349609376,0.47550008278800515,115.81502477268198,120.1969369793948,122.66846332253581,121.18248926781285,1.18742501850726,US,SPY,8.823797788836153,-19.773856032527693,32.844569292901625,9.265782262630662,-29.039638295158355,0.15631573708484023,0.1681998644980416,0.1838354974568853,-11.539165539270947,3.9541013482547127,13.260892796916735,119.87999725341797,152.3699951171875,152.3699951171875,165.3000030517578,-1.751749500776778,28.74773271291387,False,False,False,4.530714852469308,3.8467607849119614,510111,2214350.55,2580356.22,0.23036596441335816,327323781.5123562,5000000,OK,30.54381316597613,False,14.0,7.0,7.0,False,0.22976585725573706,-0.3806179183452829,2,True
V7_20260710_214846_026500,2026-07-10T21:48:54+05:30,SNDK,MOMENTUM_PRESENT_WAIT_CONFIRMATION,2,lower high and lower low | last 1H bearish,,,,,Downgraded - Wait,69.0,3,Watchlist Candidate,Wait - Last Hour Bearish,lower high and lower low | last 1H bearish,REGULAR,1896.605,1896.605,,,1896.60498046875,REGULAR,1.029800622553978e-06,,1896.605,30,25,4,12,15,0,15,Uptrend,1896.605,995.9898271077474,109.32965956939098,1878.7756309712813,1666.6703191239585,1100.8728039867785,937.7576406358668,118.8225059883242,US,SPY,122.7186236818583,436.4308782374864,4005.205559912916,9.265782262630662,427.1650959748558,2.5171438999303226,2.2748225743653046,1.0429871946600262,78.72262103259686,8.687965616045856,-18.774946466809418,2354.389892578125,2354.389892578125,2354.389892578125,2354.389892578125,-19.44388624930925,19.443886249309255,True,True,False,236.73678152901786,12.482134209759959,5651474,11830218.7,12843641.48,0.47771509076159346,21253445130.153927,5000000,OK,85.78696073452312,False,6.0,3.0,3.0,False,2.0629391889140036,6.626027888959896,1,True
V7_20260710_214846_026500,2026-07-10T21:48:56+05:30,STX,MOMENTUM_PRESENT_WAIT_CONFIRMATION,2,relative volume below 0.75x,,,,,Actionable Momentum Candidate,84.0,1,Momentum Candidate,Clean,lower high and lower low,REGULAR,919.0,919.0,,,919.7000122070312,REGULAR,-0.07611310185279274,,919.0,30,25,4,12,10,3,15,Uptrend,919.0,566.9359954833984,57.517370508003786,912.5314641031056,842.2576158577817,613.1757480590114,542.7562170385107,67.12886840423171,US,SPY,83.51738725599024,198.12495000526678,547.1375505586419,9.265782262630662,188.85916774263612,1.219682139420684,1.1714859623807004,0.6690607121679171,49.9120150704645,12.051310731065247,-10.372940905734207,1145.0,1145.0,1145.0,1145.0,-19.737991266375545,19.737991266375545,True,True,False,87.74285888671875,9.547645145453618,1643495,4997589.75,4515837.9,0.3288575257702976,3916187402.3392577,5000000,OK,96.0006454854827,False,15.0,6.0,9.0,False,3.2479830435428125,5.148741418764291,0,False
V7_20260710_215805_996267,2026-07-10T21:58:10+05:30,ALM,REJECT,3,not qualified,,,,,Avoid,49.0,5,Avoid,Clean,,REGULAR,16.27,16.27,,,16.270000457763672,REGULAR,-2.8135443086441114e-06,,16.27,22,12,0,12,0,3,15,Uptrend,16.27,15.756833315531413,29.05387888617874,16.54853256177988,17.487813596562862,15.446012160648003,14.111042472926496,21.86559630923448,US,SPY,-7.714119259818874,71.08306633461552,173.90572126716984,9.250555603302125,61.8325107313134,0.021596293985690962,0.024600893621032953,0.019076266361876953,-25.99968136420244,3.5646082781237265,-1.0942295111923683,19.639999389648438,23.8700008392334,24.40999984741211,24.40999984741211,-17.158856896017262,33.34698852230879,False,False,True,1.228785719190325,7.552462932946067,2915576,5896163.8,5271021.52,0.4944869408139577,94314709.65059578,5000000,OK,98.50739559587868,False,6.0,6.0,0.0,False,10.68027354493788,8.394405127705307,1,False
V7_20260710_215805_996267,2026-07-10T21:58:13+05:30,EQPT,REJECT,3,weekly unknown | distribution cluster,,,,,Avoid,10.0,5,Avoid,Wait - Last Hour Bearish,weekly unknown | distribution cluster,REGULAR,18.23,18.23,,,18.229999542236328,REGULAR,2.511045993358607e-06,,18.23,0,0,0,12,-5,3,0,Unknown,18.23,,,19.65738278455394,20.98645274925375,,,,US,SPY,-10.24125810259282,,,,,0.024197937268540026,0.028345317842467285,,-25.124217244677194,-5.002608167487265,-7.414933948489577,26.780000686645508,27.25,34.5,,-31.926812798437197,,False,False,True,1.7634996005467005,9.673612729274275,3795661,2702663.05,2468947.22,1.4044151748772382,52581096.20314517,5000000,OK,49.9999744376027,False,10.0,16.0,-6.0,False,13.937500000000004,1.2777752346462723,2,True
V7_20260710_215805_996267,2026-07-10T21:58:16+05:30,PLBL,REJECT,3,below EMA200 | weekly downtrend | not outperforming benchmark SPY | distribution cluster | excess volatility,,,,,Avoid,0.0,5,Avoid,Clean,below EMA200 | weekly downtrend | not outperforming benchmark SPY | distribution cluster | excess volatility,REGULAR,7.18,7.18,,,7.179999828338623,REGULAR,2.390827025244846e-06,,7.18,0,0,0,12,1,-5,-10,Downtrend,7.18,8.541333347320556,-5.2377377161379135,8.017254048695415,7.720284106493703,8.245996896957013,8.515750789645194,,US,SPY,-19.8660717697396,-33.58002107964222,,9.250555603302125,-42.83057668294435,0.009530509576967492,0.00990895471065361,0.01242516042234474,-1.6990102847433186,-30.01949473852501,-12.009802276196247,11.09000015258789,11.09000015258789,11.09000015258789,,-35.25698916853016,,True,False,True,1.2107713903699602,16.863111286489698,179305,372110.25,160188.1,0.48185987889341936,1347086.019949959,5000000,LOW,63.7241777693052,False,16.0,14.0,2.0,False,11.83800490147,14.696478687207936,0,False
V7_20260710_215805_996267,2026-07-10T21:58:19+05:30,WDFC,MOMENTUM_PRESENT_WAIT_CONFIRMATION,2,last 3H selling | 2+ bearish hourly candles | last 1H bearish,,,,,Downgraded - Wait,69.0,3,Watchlist Candidate,Wait - Intraday Selling,last 3H selling | 2+ bearish hourly candles | last 1H bearish,REGULAR,267.81,267.81,,,267.80999755859375,REGULAR,9.116187804636411e-07,,267.81,25,12,4,12,5,10,15,Uptrend,267.81,219.4376674194336,4.158999823312226,238.80214813489738,226.6668809167387,219.35758524555825,219.158866680463,0.5764603145140379,US,SPY,20.083398291401533,34.59141911265746,16.57598266689737,9.250555603302125,25.340863509355337,0.3554826977448,0.2953650052206655,0.30586745571888313,15.343068409712647,8.941137373480945,8.839308565882176,298.89898681640625,298.89898681640625,298.89898681640625,298.89898681640625,-10.401168350397306,10.4011683503973,False,False,False,10.609214782714844,3.961470737730049,747633,200866.65,169178.66,3.722036485399642,37858455.86449868,5000000,OK,12.521496004437802,False,4.0,4.0,0.0,False,11.85782392789989,-8.313444888329203,3,True
V7_20260710_220022_333976,2026-07-10T22:00:26+05:30,CDZI,REJECT,3,below EMA200 | weekly downtrend | not outperforming benchmark SPY | distribution cluster,,,,,Avoid,14.0,5,Avoid,Clean,below EMA200 | weekly downtrend | not outperforming benchmark SPY | distribution cluster,REGULAR,4.56,4.56,,,4.559999942779541,REGULAR,1.2548346361995755e-06,,4.56,0,0,0,12,5,7,-10,Downtrend,4.56,4.94533332379659,-6.896768244312613,4.125500008097059,4.290185655975776,4.619693947656611,4.6078535305895,-4.859269545842282,US,SPY,-7.31707460795652,-21.243522797181146,50.99337843707619,9.238954339051798,-30.482477136232944,0.00605344555217778,0.0057621506916474404,0.007306987261383878,-2.7499583126617377,8.830547439777114,24.93150358509679,4.900000095367432,5.190000057220459,5.78000020980835,6.960000038146973,-6.938777321430578,34.48275897978225,False,False,False,0.2971428462437221,6.516290487800925,3305806,886970.3,887946.12,3.72707631811347,3818912.223184345,5000000,LOW,50.72462794611043,False,14.0,10.0,4.0,False,14.285714012553008,-0.10953153073918198,1,False
V7_20260710_220022_333976,2026-07-10T22:00:29+05:30,FBRX,REJECT,3,distribution cluster,,,,,Avoid,40.0,5,Avoid,Clean,distribution cluster,REGULAR,41.635,41.635,,,41.6349983215332,REGULAR,4.031384315261732e-06,,41.635,12,12,8,12,0,3,15,Uptrend,41.635,26.55350010426839,9.103795982570784,23.517618625775285,22.737097802807607,23.03048185515042,22.198882949358797,-1.4852942802979885,US,SPY,22.817103616400345,58.30798938324755,233.6137942881631,9.238954339051798,49.06903504419576,0.055270878413360064,0.02942415103602511,0.033308745233158556,49.08368865536254,99.02007575602165,122.5280707498949,44.86000061035156,44.86000061035156,44.86000061035156,44.86000061035156,-7.189033808455603,7.189033808455606,False,False,False,3.390714236668178,8.143903534689992,1951861,745968.05,449789.22,2.616547719436509,11729840.430388171,5000000,OK,56.18206055831404,True,8.0,9.0,-1.0,False,13.446864126618841,0.9945418134326589,1,False
V7_20260710_220022_333976,2026-07-10T22:00:32+05:30,RXT,REJECT,3,distribution cluster | excess volatility,,,,,Avoid,30.0,5,Avoid,Clean,distribution cluster | excess volatility,REGULAR,5.135,5.135,,,5.130000114440918,REGULAR,0.09746365394822654,,5.135,30,12,0,12,6,-5,15,Uptrend,5.135,2.650899987737338,112.34380014025218,5.9356962066211905,5.090116422389891,3.2850633338513466,2.9112668700100923,116.45577949932253,US,SPY,480.88235074784615,413.5,272.10145056109997,9.238954339051798,404.2610456609482,0.006816763796147566,0.0069734519102366156,0.003125671812296996,217.08645316613814,-10.2272694344286,-19.26100798424818,8.600000381469727,8.600000381469727,8.600000381469727,8.600000381469727,-40.29070032294073,40.29070032294072,True,False,True,1.049142871584211,20.431214636498755,24285906,24174510.3,29153140.12,1.0046079816557856,153977897.54327935,5000000,OK,75.57602893544458,False,11.0,9.0,2.0,False,17.505723901021252,4.9672939628831125,0,False
