Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,170.63999938964844,171.19000244140625,165.60000610351562,167.5,156.7306365966797,991100
2021-01-05,167.8800048828125,168.69000244140625,165.72999572753906,166.61000061035156,155.8979034423828,779100
2021-01-06,166.55999755859375,171.5500030517578,165.6999969482422,170.67999267578125,159.70620727539062,914600
2021-01-07,170.91000366210938,173.4600067138672,170.63999938964844,171.0800018310547,160.08045959472656,746500
2021-01-08,171.3000030517578,174.63999938964844,171.3000030517578,174.5500030517578,163.32740783691406,830300
2021-01-11,173.1699981689453,174.74000549316406,172.75,173.69000244140625,162.52267456054688,627300
2021-01-12,173.6300048828125,175.5399932861328,172.92999267578125,174.24000549316406,163.0373077392578,936200
2021-01-13,173.41000366210938,174.64999389648438,172.50999450683594,174.08999633789062,162.89694213867188,449000
2021-01-14,173.74000549316406,177.0,171.97000122070312,173.47000122070312,162.31680297851562,596900
2021-01-15,173.52999877929688,174.30999755859375,171.11000061035156,173.5500030517578,162.3917236328125,570200
2021-01-19,174.82000732421875,174.82000732421875,171.47999572753906,171.77000427246094,160.7261199951172,1419300
2021-01-20,171.6999969482422,173.2100067138672,170.52000427246094,172.9199981689453,161.80218505859375,610600
2021-01-21,172.72000122070312,173.08999633789062,170.47000122070312,172.2899932861328,161.21267700195312,680600
2021-01-22,172.07000732421875,174.11000061035156,170.8300018310547,173.7100067138672,162.54136657714844,452700
2021-01-25,174.6999969482422,175.1999969482422,172.6699981689453,173.72000122070312,162.55075073242188,503000
2021-01-26,173.6699981689453,174.0399932861328,170.3699951171875,172.5399932861328,161.44656372070312,460200
2021-01-27,171.16000366210938,174.9199981689453,170.22999572753906,171.5399932861328,160.51089477539062,642400
2021-01-28,171.64999389648438,172.8699951171875,169.67999267578125,169.8300018310547,158.91085815429688,861300
2021-01-29,170.9499969482422,173.11000061035156,167.07000732421875,167.5500030517578,156.77745056152344,995400
2021-02-01,168.6699981689453,175.67999267578125,168.6699981689453,174.60000610351562,163.37417602539062,872700
2021-02-02,175.36000061035156,179.8699951171875,174.7100067138672,178.77999877929688,167.28546142578125,888100
2021-02-03,178.9499969482422,180.69000244140625,177.1199951171875,179.4199981689453,167.88427734375,646300
2021-02-04,179.9499969482422,182.8300018310547,179.02000427246094,182.2100067138672,170.49490356445312,1096700
2021-02-05,182.38999938964844,183.38999938964844,177.3800048828125,182.08999633789062,170.38262939453125,1023800
2021-02-08,182.60000610351562,183.89999389648438,181.11000061035156,182.5399932861328,170.8036651611328,919500
2021-02-09,182.85000610351562,183.92999267578125,181.3800048828125,183.1199951171875,171.34637451171875,701700
2021-02-10,184.0,184.39999389648438,182.52000427246094,183.32000732421875,171.53355407714844,654000
2021-02-11,183.97000122070312,183.97000122070312,181.02999877929688,181.7899932861328,170.1018829345703,690000
2021-02-12,181.75999450683594,182.74000549316406,180.0500030517578,181.07000732421875,169.42822265625,721600
2021-02-16,182.0500030517578,184.39999389648438,180.49000549316406,183.35000610351562,171.5615692138672,689400
2021-02-17,182.44000244140625,183.14999389648438,181.0500030517578,181.7899932861328,170.1018829345703,454300
2021-02-18,181.24000549316406,183.3300018310547,180.52999877929688,182.9600067138672,171.1966552734375,589600
2021-02-19,183.8000030517578,184.8800048828125,182.5800018310547,182.75,171.0001983642578,579800
2021-02-22,181.49000549316406,182.58999633789062,180.4499969482422,180.5500030517578,168.9416046142578,759300
2021-02-23,181.25999450683594,181.25999450683594,177.2100067138672,178.5500030517578,167.07022094726562,577100
2021-02-24,178.5500030517578,182.47999572753906,178.5500030517578,181.0800018310547,169.4375762939453,644300
2021-02-25,181.0,181.6199951171875,179.52000427246094,180.52000427246094,168.91354370117188,594900
2021-02-26,181.0,181.41000366210938,175.47999572753906,175.47999572753906,164.19760131835938,958200
2021-03-01,176.72999572753906,182.9199981689453,176.36000061035156,182.4499969482422,170.7194366455078,778600
2021-03-02,182.1199951171875,182.64999389648438,179.7899932861328,179.83999633789062,168.2772674560547,947100
2021-03-03,179.5399932861328,180.19000244140625,177.52000427246094,178.3300018310547,166.86434936523438,581400
2021-03-04,178.83999633789062,179.1199951171875,173.7899932861328,174.91000366210938,163.6642303466797,939600
