Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2023-01-03,109.77999877929688,110.0199966430664,105.48999786376953,106.51000213623047,94.79080963134766,15146200,0.0,0.0
2023-01-04,104.80000305175781,107.16000366210938,104.76000213623047,106.81999969482422,95.06670379638672,18058400,0.0,0.0
2023-01-05,106.33999633789062,109.94999694824219,106.30999755859375,109.20999908447266,97.19371032714844,15946600,0.0,0.0
2023-01-06,110.08000183105469,111.98999786376953,109.66999816894531,110.52999877929688,98.36849212646484,16348100,0.0,0.0
2023-01-09,111.63999938964844,111.63999938964844,107.80999755859375,108.47000122070312,96.53515625,17964600,0.0,0.0
2023-01-10,109.79000091552734,110.33000183105469,108.01000213623047,110.08999633789062,97.9769058227539,15104600,0.0,0.0
2023-01-11,110.98999786376953,111.44999694824219,109.08999633789062,111.37000274658203,99.11608123779297,16710400,0.0,0.0
2023-01-12,111.81999969482422,113.73999786376953,111.73999786376953,113.22000122070312,100.76251983642578,15357300,0.0,0.0
2023-01-13,113.11000061035156,113.48999786376953,112.16000366210938,113.1500015258789,100.70021057128906,12011400,0.0,0.0
2023-01-17,113.41000366210938,114.08000183105469,112.66999816894531,112.93000030517578,100.50440979003906,16542200,0.0,0.0
2023-01-18,113.26000213623047,114.12000274658203,110.4000015258789,110.61000061035156,98.43970489501953,16399700,0.0,0.0
2023-01-19,110.06999969482422,112.12999725341797,109.58000183105469,111.31999969482422,99.07157135009766,12928000,0.0,0.0
2023-01-20,111.36000061035156,113.44000244140625,110.61000061035156,113.3499984741211,100.8781967163086,16515600,0.0,0.0
2023-01-23,113.63999938964844,114.58999633789062,112.63999938964844,112.76000213623047,100.35313415527344,16584400,0.0,0.0
2023-01-24,109.16000366210938,114.0199966430664,104.87000274658203,113.80999755859375,101.28759765625,13583000,0.0,0.0
2023-01-25,113.2300033569336,113.6500015258789,111.38999938964844,113.20999908447266,100.75362396240234,11914700,0.0,0.0
2023-01-26,114.72000122070312,117.77999877929688,114.33999633789062,117.76000213623047,104.8030014038086,21019700,0.0,0.0
2023-01-27,116.94999694824219,117.66999816894531,115.38999938964844,115.61000061035156,102.88955688476562,15179200,0.0,0.0
2023-01-30,115.08999633789062,115.48999786376953,113.1500015258789,113.55999755859375,101.06509399414062,18672100,0.0,0.0
2023-01-31,112.0999984741211,116.4000015258789,110.43000030517578,116.01000213623047,103.24555206298828,27861800,0.0,0.0
2023-02-01,115.83000183105469,117.37999725341797,113.33999633789062,114.73999786376953,102.11527252197266,19464900,0.0,0.0
2023-02-02,114.8499984741211,115.06999969482422,109.83000183105469,111.1500015258789,98.9202880859375,24562100,0.0,0.0
2023-02-03,111.9000015258789,114.11000061035156,111.55999755859375,111.91999816894531,99.60554504394531,20226600,0.0,0.0
2023-02-06,112.36000061035156,113.08999633789062,110.31999969482422,111.7300033569336,99.43647003173828,13855200,0.0,0.0
2023-02-07,112.38999938964844,115.30999755859375,112.0199966430664,114.91999816894531,102.27546691894531,16013300,0.0,0.0
2023-02-08,115.05000305175781,115.83000183105469,113.8499984741211,113.91999816894531,101.38550567626953,18459700,0.0,0.0
2023-02-09,114.62000274658203,116.23999786376953,114.18000030517578,114.3499984741211,101.7681884765625,17439300,0.0,0.0
2023-02-10,116.51000213623047,119.62999725341797,116.16000366210938,119.16999816894531,106.05784606933594,24918600,0.0,0.0
2023-02-13,117.72000122070312,118.18000030517578,115.9000015258789,117.80000305175781,105.64529418945312,14536200,0.91,0.0
2023-02-14,117.01000213623047,117.80999755859375,116.0199966430664,116.41999816894531,104.40768432617188,12079000,0.0,0.0
2023-02-15,115.72000122070312,116.08999633789062,114.13999938964844,116.06999969482422,104.09379577636719,13663400,0.0,0.0
2023-02-16,115.30999755859375,116.77999877929688,114.80000305175781,115.7300033569336,103.78889465332031,11360600,0.0,0.0
2023-02-17,114.19000244140625,114.19000244140625,110.9800033569336,111.27999877929688,99.79804992675781,20758300,0.0,0.0
2023-02-21,110.80999755859375,112.37999725341797,110.80999755859375,111.16999816894531,99.69940948486328,14469400,0.0,0.0
